sep=,
"name","ranking","constituency","party","score","won","lost","image"
"Robert Halfon","57","Harlow","Conservative","1438","3599","2432","http://sexymp.co.uk/mp/253.jpg"
"Jeremy Hunt","58","South West Surrey","Conservative","1424","3679","2427","http://sexymp.co.uk/mp/306.jpg"
"Jake Berry","59","Rossendale and Darwen","Conservative","1381","3729","2276","http://sexymp.co.uk/mp/47.jpg"
"Mark Prisk","60","Hertford and Stortford","Conservative","1593","2974","2546","http://sexymp.co.uk/mp/488.jpg"
"Caroline Spelman","61","Meriden","Conservative","1533","34254","26936","http://sexymp.co.uk/mp/557.jpg"
"Stephen Twigg","62","Liverpool, West Derby","Labour Co-operative","1573","3130","2605","http://sexymp.co.uk/mp/594.jpg"
"Steve Brine","63","Winchester","Conservative","1395","3657","2288","http://sexymp.co.uk/mp/71.jpg"
"Zac Goldsmith","64","Richmond Park","Conservative","1372","4032","2422","http://sexymp.co.uk/mp/232.jpg"
"Anne Marie Morris","65","Newton Abbot","Conservative","1622","29746","26547","http://sexymp.co.uk/mp/434.jpg"
"Chris Heaton-Harris","66","Daventry","Conservative","1549","2893","2341","http://sexymp.co.uk/mp/276.jpg"
"Graham Jones","67","Hyndburn","Labour","1497","3390","2536","http://sexymp.co.uk/mp/326.jpg"
"Mel Stride","68","Central Devon","Conservative","1472","3129","2253","http://sexymp.co.uk/mp/567.jpg"
"Hugh Robertson","69","Faversham and Mid Kent","Conservative","1480","3159","2309","http://sexymp.co.uk/mp/509.jpg"
"Gareth Thomas","70","Harrow West","Labour Co-operative","1613","3050","2703","http://sexymp.co.uk/mp/582.jpg"
"Stephen Williams","71","Bristol West","Liberal Democrat","1512","3141","2415","http://sexymp.co.uk/mp/629.jpg"
"Simon Danczuk","72","Rochdale","Labour","1591","3044","2626","http://sexymp.co.uk/mp/141.jpg"
"Mike Freer","73","Finchley and Golders Green","Conservative","1554","2948","2416","http://sexymp.co.uk/mp/212.jpg"
"Ben Walker","74","Wyre and Preston North","Conservative","1509","3101","2380","http://sexymp.co.uk/mp/606.jpg"
"Nicky Morgan","75","Loughborough","Conservative","1516","34650","26913","http://sexymp.co.uk/mp/432.jpg"
"Alec Shelbrooke","76","Elmet and Rothwell","Conservative","1408","3472","2262","http://sexymp.co.uk/mp/535.jpg"
"John Glen","77","Salisbury","Conservative","1463","3184","2285","http://sexymp.co.uk/mp/228.jpg"
"Crispin Blunt","78","Reigate","Conservative","1517","3130","2449","http://sexymp.co.uk/mp/59.jpg"
"Kevin Brennan","79","Cardiff West","Labour","1567","3154","2657","http://sexymp.co.uk/mp/69.jpg"
"Andy Burnham","80","Leigh","Labour","1548","3314","2713","http://sexymp.co.uk/mp/86.jpg"
"Nic Dakin","81","Scunthorpe","Labour","1646","2856","2673","http://sexymp.co.uk/mp/140.jpg"
"Jon Ashworth","82","Leicester South","Labour","1575","2977","2541","http://sexymp.co.uk/mp/17.jpg"
"Graham Evans","83","Weaver Vale","Conservative","1601","2940","2600","http://sexymp.co.uk/mp/191.jpg"
"Eleanor Laing","84","Epping Forest","Conservative","1491","36120","27253","http://sexymp.co.uk/mp/344.jpg"
"Maria Miller","85","Basingstoke","Conservative","1491","34569","26088","http://sexymp.co.uk/mp/423.jpg"
"David Cameron","86","Witney","Conservative","1507","4150","3209","http://sexymp.co.uk/mp/97.jpg"
"Eric Joyce","87","Falkirk","Labour","1598","2964","2615","http://sexymp.co.uk/mp/332.jpg"
"Graeme Morris","88","Livingston","Labour","1739","2748","2880","http://sexymp.co.uk/mp/433.jpg"
"Julian Brazier","89","Canterbury","Conservative","1568","2954","2502","http://sexymp.co.uk/mp/68.jpg"
"Russell Brown","90","Dumfries and Galloway","Labour","1597","3018","2657","http://sexymp.co.uk/mp/77.jpg"
"Joseph Johnson","91","Orpington","Conservative","1401","3608","2351","http://sexymp.co.uk/mp/323.jpg"
"Tim Laughton","92","East Worthing and Shoreham","Conservative","1578","2924","2515","http://sexymp.co.uk/mp/374.jpg"
"Adam Afriyie","93","Windsor","Conservative","1489","3324","2516","http://sexymp.co.uk/mp/5.jpg"
"Brian Donohoe","94","Central Ayrshire","Labour","1479","3731","2782","http://sexymp.co.uk/mp/162.jpg"
"Chris Evans","95","Islwyn","Labour Co-operative","1375","4375","2727","http://sexymp.co.uk/mp/190.jpg"
"Huw Irranca-Davies","96","Ogmore","Labour","1495","3504","2680","http://sexymp.co.uk/mp/311.jpg"
"Ian Paisley","97","North Antrim","Democratic Unionist","1483","3287","2471","http://sexymp.co.uk/mp/470.jpg"
"Rob Wilson","98","Reading East","Conservative","1442","3303","2323","http://sexymp.co.uk/mp/634.jpg"
"Michael Elliss","99","Northampton North","Conservative","1493","3068","2348","http://sexymp.co.uk/mp/182.jpg"
"Angela Watkinson","100","Hornchurch and Upminster","Conservative","1620","29713","27180","http://sexymp.co.uk/mp/610.jpg"
