sep=,
"name","ranking","constituency","party","score","won","lost","image"
"John Redwood","251","Wokingham","Conservative","1533","2945","2669","http://sexymp.co.uk/mp/496.jpg"
"Smith Henry","252","Crawley","Conservative","1323","3626","2343","http://sexymp.co.uk/mp/549.jpg"
"Christopher Chope","253","Christchurch","Conservative","1592","2763","2715","http://sexymp.co.uk/mp/109.jpg"
"Guy Opperman","254","Hexham","Conservative","1443","2984","2381","http://sexymp.co.uk/mp/464.jpg"
"Douglas Carswell","255","Clacton","Conservative","1478","3091","2605","http://sexymp.co.uk/mp/104.jpg"
"Greg Clark","256","Tunbridge Wells","Conservative","1408","3130","2368","http://sexymp.co.uk/mp/111.jpg"
"Tony Baldry","257","Banbury","Conservative","1459","3014","2471","http://sexymp.co.uk/mp/25.jpg"
"Dai Harvard","258","Merthyr Tydfil and Rhymney","Labour","1563","2906","2760","http://sexymp.co.uk/mp/271.jpg"
"Kris Hopkins","259","Keighley","Conservative","1555","2858","2682","http://sexymp.co.uk/mp/297.jpg"
"Peter Luff","260","Mid Worcestershire","Conservative","1623","2781","2847","http://sexymp.co.uk/mp/378.jpg"
"Karl McCartney","261","Lincoln","Conservative","1409","3067","2319","http://sexymp.co.uk/mp/396.jpg"
"Dennis Skinner","262","Bolsover","Labour","1637","3053","3184","http://sexymp.co.uk/mp/544.jpg"
"Gregory Campbell","263","East Londonderry","Democratic Unionist","1567","2974","2845","http://sexymp.co.uk/mp/99.jpg"
"Philip Davies","264","Shipley","Conservative","1631","2822","2938","http://sexymp.co.uk/mp/149.jpg"
"Ian Austin","265","Dudley North","Labour","1589","2838","2805","http://sexymp.co.uk/mp/18.jpg"
"Tony Lloyd","266","Manchester Central","Labour","1572","2873","2783","http://sexymp.co.uk/mp/369.jpg"
"Malcom Bruce","267","Gordon","Liberal Democrat","1513","2954","2638","http://sexymp.co.uk/mp/80.jpg"
"Jim Fitzpatrick","268","Poplar and Limehouse","Labour","1507","3045","2707","http://sexymp.co.uk/mp/202.jpg"
"Nick Gibb","269","Bognor Regis and Littlehampton","Conservative","1636","2644","2779","http://sexymp.co.uk/mp/222.jpg"
"Jason McCartney","270","Colne Valley","Conservative","1426","3064","2411","http://sexymp.co.uk/mp/395.jpg"
"Mark Pritchard","271","The Wrekin","Conservative","1465","3044","2541","http://sexymp.co.uk/mp/489.jpg"
"Robert Walter","272","North Dorset","Conservative","1610","2697","2744","http://sexymp.co.uk/mp/608.jpg"
"Chris Grayling","273","Epsom and Ewell","Conservative","1471","3062","2586","http://sexymp.co.uk/mp/239.jpg"
"Edward Leigh","274","Gainsborough","Conservative","1666","2697","2951","http://sexymp.co.uk/mp/358.jpg"
"Brooks Newmark","275","Braintree","Conservative","1501","2966","2627","http://sexymp.co.uk/mp/454.jpg"
"John Baron","276","Basildon and Billericay","Conservative","1569","2794","2721","http://sexymp.co.uk/mp/31.jpg"
"Gregg McClymont","277","Cumbernauld, Kilsyth and Kirkintilloch East","Labour","1702","2758","3147","http://sexymp.co.uk/mp/397.jpg"
"Nick Smith","278","Blaenau Gwent","Labour","1503","3059","2723","http://sexymp.co.uk/mp/551.jpg"
"Dan Jarvis","279","Barnsley Central","Labour","1416","3502","2741","http://sexymp.co.uk/mp/317.jpg"
"Paul Maynard","280","Blackpool North and Cleveleys","Conservative","1489","3046","2669","http://sexymp.co.uk/mp/391.jpg"
"Robert Syms","281","Poole","Conservative","1493","2858","2515","http://sexymp.co.uk/mp/578.jpg"
"Simon Kirby","282","Brighton, Kemptown","Conservative","1494","3013","2660","http://sexymp.co.uk/mp/341.jpg"
"Alok Sharma","283","Reading West","Conservative","1597","2693","2732","http://sexymp.co.uk/mp/532.jpg"
"Neil Carmichael","284","Stroud","Conservative","1529","2892","2692","http://sexymp.co.uk/mp/103.jpg"
"Mark Hoban","285","Fareham","Conservative","1591","2760","2785","http://sexymp.co.uk/mp/288.jpg"
"David Miliband","286","South Shields","Labour","1487","3962","3474","http://sexymp.co.uk/mp/420.jpg"
"Barry Sheerman","287","Huddersfield","Labour Co-operative","1730","2616","3095","http://sexymp.co.uk/mp/534.jpg"
"Andrew Turner","288","Isle of Wight","Conservative","1681","2663","2987","http://sexymp.co.uk/mp/591.jpg"
"Tristram Hunt","289","Stoke-on-Trent Central","Labour","1507","3728","3378","http://sexymp.co.uk/mp/307.jpg"
"Peter Bone","290","Wellingborough","Conservative","1508","2921","2645","http://sexymp.co.uk/mp/61.jpg"
"Stephen Gilbert","291","St Austell and Newquay","Liberal Democrat","1514","2839","2604","http://sexymp.co.uk/mp/223.jpg"
"Hugo Swire","292","East Devon","Conservative","1527","3066","2860","http://sexymp.co.uk/mp/577.jpg"
"Ben Bradshaw","293","Exeter","Labour","1588","3175","3208","http://sexymp.co.uk/mp/64.jpg"
"Simon Burns","294","Chelmsford","Conservative","1520","2962","2735","http://sexymp.co.uk/mp/88.jpg"
"Jenny Chapman","295","Darlington","Labour","1447","34378","28632","http://sexymp.co.uk/mp/107.jpg"
"Charles Hendry","296","Wealden","Conservative","1600","2672","2746","http://sexymp.co.uk/mp/280.jpg"
"Anas Sarwar","297","Glasgow Central","Labour","1425","3454","2787","http://sexymp.co.uk/mp/526.jpg"
"David Davis","298","Haltemprice and Howden","Conservative","1432","2965","2420","http://sexymp.co.uk/mp/150.jpg"
"Jonathan Edwards","299","Carmarthen East and Dinefwr","Plaid Cymru","1458","3061","2605","http://sexymp.co.uk/mp/179.jpg"
"Andrew Selous","300","South West Bedfordshire","Conservative","1444","2960","2467","http://sexymp.co.uk/mp/529.jpg"
"Sheryll Murray","301","South East Cornwall","Conservative","1587","26721","27252","http://sexymp.co.uk/mp/449.jpg"
"Dominic Greive","302","Beaconsfield","Conservative","1413","3018","2411","http://sexymp.co.uk/mp/245.jpg"
"Neil Parish","303","Tiverton and Honiton","Conservative","1559","2744","2704","http://sexymp.co.uk/mp/471.jpg"
"David Gauke","304","South West Hertfordshire","Conservative","1509","2852","2634","http://sexymp.co.uk/mp/220.jpg"
"Tom Brake","305","Carshalton and Wallington","Liberal Democrat","1433","3104","2573","http://sexymp.co.uk/mp/66.jpg"
"Jon Cruddas","306","Dagenham and Rainham","Labour","1441","3201","2692","http://sexymp.co.uk/mp/134.jpg"
"John Hayes","307","South Holland and The Deepings","Conservative","1532","2925","2796","http://sexymp.co.uk/mp/272.jpg"
"Graham Stuart","308","Beverley and Holderness","Conservative","1606","2691","2832","http://sexymp.co.uk/mp/570.jpg"
"John Spellar","309","Warley","Labour","1728","2686","3254","http://sexymp.co.uk/mp/556.jpg"
"Martin Horwood","310","Cheltenham","Liberal Democrat","1394","3139","2479","http://sexymp.co.uk/mp/298.jpg"
"Simon Hughes","311","Bermondsey and Old Southwark","Liberal Democrat","1644","2647","2949","http://sexymp.co.uk/mp/304.jpg"
"David Mowat","312","Warrington South","Conservative","1454","2927","2560","http://sexymp.co.uk/mp/439.jpg"
"Andrew Bridgen","313","North West Leicestershire","Conservative","1502","2985","2795","http://sexymp.co.uk/mp/70.jpg"
"Stephen OBrien","314","Eddisbury","Conservative","1453","2907","2541","http://sexymp.co.uk/mp/459.jpg"
"Jack Straw","315","Blackburn","Labour","1568","2787","2855","http://sexymp.co.uk/mp/565.jpg"
"Martin Vickers","316","Cleethorpes","Conservative","1600","2676","2854","http://sexymp.co.uk/mp/602.jpg"
"Pete Wishart","317","Perth and North Perthshire","Scottish National Party","1541","2846","2820","http://sexymp.co.uk/mp/638.jpg"
"Francis Maude","318","Horsham","Conservative","1461","2837","2534","http://sexymp.co.uk/mp/389.jpg"
"Bob Stewart","319","Beckenham","Conservative","1560","2717","2775","http://sexymp.co.uk/mp/562.jpg"
"Andrew Lansley","320","South Cambridgeshire","Conservative","1389","3197","2581","http://sexymp.co.uk/mp/348.jpg"
"Stephen McPartland","321","Stevenage","Conservative","1597","2655","2863","http://sexymp.co.uk/mp/411.jpg"
"Grant Shapps","322","Welwyn Hatfield","Conservative","1440","2942","2575","http://sexymp.co.uk/mp/531.jpg"
"Gavin Barwell","323","Croydon Central","Conservative","1515","2929","2858","http://sexymp.co.uk/mp/33.jpg"
"Andrew Mitchell","324","Sutton Coldfield","Conservative","1493","3037","2876","http://sexymp.co.uk/mp/426.jpg"
"Paul Beresford","325","Mole Valley","Conservative","1414","3047","2577","http://sexymp.co.uk/mp/45.jpg"
"Mark Williams","326","Ceredigion","Liberal Democrat","1544","2742","2783","http://sexymp.co.uk/mp/627.jpg"
"Ivan Lewis","327","Bury South","Labour","1699","2523","3083","http://sexymp.co.uk/mp/363.jpg"
"Chuka Umunna","328","Streatham","Labour","1489","3444","3258","http://sexymp.co.uk/mp/596.jpg"
"James Gray","329","North Wiltshire","Conservative","1565","2769","2901","http://sexymp.co.uk/mp/238.jpg"
"David Hamilton","330","Midlothian","Labour","1479","2983","2791","http://sexymp.co.uk/mp/255.jpg"
"Mark Menzies","331","Fylde","Conservative","1464","2951","2706","http://sexymp.co.uk/mp/416.jpg"
"Jo Swinson","332","East Dunbartonshire","Liberal Democrat","1393","33045","27251","http://sexymp.co.uk/mp/576.jpg"
"Jacob Rees-Mogg","333","North East Somerset","Conservative","1430","3096","2729","http://sexymp.co.uk/mp/498.jpg"
"Laurence Robertson","334","Tewkesbury","Conservative","1529","2734","2782","http://sexymp.co.uk/mp/511.jpg"
"Tim Yeo","335","South Suffolk","Conservative","1545","2673","2787","http://sexymp.co.uk/mp/647.jpg"
"Kelvin Hopkins","336","Luton North","Labour","1649","2662","3159","http://sexymp.co.uk/mp/296.jpg"
"Paul Blomfield","337","Sheffield Central","Labour","1778","2347","3192","http://sexymp.co.uk/mp/57.jpg"
"Geoffrey Cox","338","Torridge and West Devon","Conservative","1475","2794","2688","http://sexymp.co.uk/mp/127.jpg"
"Simon Reevell","339","Dewsbury","Conservative","1652","2537","3036","http://sexymp.co.uk/mp/499.jpg"
"David Ward","340","Bradford East","Liberal Democrat","1398","2940","2540","http://sexymp.co.uk/mp/609.jpg"
"Stephen Metcalfe","341","South Basildon and East Thurrock","Conservative","1541","2756","2931","http://sexymp.co.uk/mp/418.jpg"
"Jerem Wright","342","Kenilworth and Southam","Conservative","1459","2815","2693","http://sexymp.co.uk/mp/645.jpg"
"Chloe Smith","343","Norwich North","Conservative","1334","36135","28591","http://sexymp.co.uk/mp/548.jpg"
"Philip Hollobone","344","Kettering","Conservative","1565","2645","2919","http://sexymp.co.uk/mp/293.jpg"
"Andrew Bingham","345","High Peak","Conservative","1603","2518","2921","http://sexymp.co.uk/mp/49.jpg"
"Justine Greening","346","Putney","Conservative","1351","34611","28462","http://sexymp.co.uk/mp/243.jpg"
"Nigel Adams","347","Selby and Ainsty","Conservative","1418","2826","2590","http://sexymp.co.uk/mp/4.jpg"
"Danny Alexander","348","Inverness, Nairn, Badenoch and Strathspey","Liberal Democrat","1529","2758","2959","http://sexymp.co.uk/mp/8.jpg"
"Jeffrey Donaldson","349","Lagan Valley","Democratic Unionist","1556","2686","2984","http://sexymp.co.uk/mp/161.jpg"
"Damian Green","350","Ashford","Conservative","1556","2567","2849","http://sexymp.co.uk/mp/241.jpg"
"Iain Duncan Smith","351","Chingford and Woodford Green","Conservative","1544","2635","2919","http://sexymp.co.uk/mp/174.jpg"
"Paul Murphy","352","Torfaen","Labour","1702","2417","3227","http://sexymp.co.uk/mp/447.jpg"
"Andy Slaughter","353","Hammersmith","Labour","1613","2559","3109","http://sexymp.co.uk/mp/545.jpg"
"Chris Bryant","354","Rhondda","Labour","1506","3069","3284","http://sexymp.co.uk/mp/81.jpg"
"John Howell","355","Henley","Conservative","1536","2632","2933","http://sexymp.co.uk/mp/302.jpg"
"Andrew Robathan","356","South Leicestershire","Conservative","1529","2568","2860","http://sexymp.co.uk/mp/507.jpg"
"Roberta Blackman-Woods","357","City of Durham","Labour","1441","29592","29504","http://sexymp.co.uk/mp/53.jpg"
"James Brokenshire","358","Old Bexley and Sidcup","Conservative","1536","2634","2975","http://sexymp.co.uk/mp/72.jpg"
"Mike Weatherley","359","Hove","Conservative","1564","2555","3002","http://sexymp.co.uk/mp/613.jpg"
"Glyn Davies","360","Montgomeryshire","Conservative","1551","2575","2988","http://sexymp.co.uk/mp/148.jpg"
"James Paice","361","South East Cambridgeshire","Conservative","1538","2684","3075","http://sexymp.co.uk/mp/469.jpg"
"Tom Blenkinsop","362","Middlesbrough South and East Cleveland","Labour","1493","2906","3160","http://sexymp.co.uk/mp/56.jpg"
"Tracey Crouch","363","Chatham and Aylesford","Conservative","1329","33342","28862","http://sexymp.co.uk/mp/133.jpg"
"Kate Hoey","364","Vauxhall","Labour","1534","26234","30348","http://sexymp.co.uk/mp/291.jpg"
"Ian Liddell-Grainger","365","Bridgwater and West Somerset","Conservative","1560","2521","3026","http://sexymp.co.uk/mp/365.jpg"
"Steve Rotherham","366","Liverpool, Walton","Labour","1673","2324","3164","http://sexymp.co.uk/mp/515.jpg"
"Teresa Pearse","367","Erith and Thamesmead","Labour","1314","33760","28988","http://sexymp.co.uk/mp/475.jpg"
"Liz Kendall","368","Leicester West","Labour","1258","39270","30680","http://sexymp.co.uk/mp/338.jpg"
"Greg Knight","369","East Yorkshire","Conservative","1619","2368","3068","http://sexymp.co.uk/mp/342.jpg"
"Jenny Willot","370","Cardiff Central","Liberal Democrat","1290","31900","26469","http://sexymp.co.uk/mp/632.jpg"
"Lilian Greenwood","371","Nottingham South","Labour","1262","35630","28284","http://sexymp.co.uk/mp/244.jpg"
"John Denham","372","Southampton, Itchen","Labour","1587","2505","3147","http://sexymp.co.uk/mp/153.jpg"
"Natascha Engel","373","North East Derbyshire","Labour","1293","30877","25963","http://sexymp.co.uk/mp/187.jpg"
"Kenneth Clarke","374","Rushcliffe","Conservative","1583","2663","3357","http://sexymp.co.uk/mp/113.jpg"
"Louise Bagshawe","375","Corby","Conservative","1256","39913","31745","http://sexymp.co.uk/mp/20.jpg"
"Meg Hillier","376","Hackney South and Shoreditch","Labour Co-operative","1337","30384","27633","http://sexymp.co.uk/mp/285.jpg"
"Gemma Doyle","377","West Dunbartonshire","Labour Co-operative","1269","36513","29781","http://sexymp.co.uk/mp/167.jpg"
"Julie Elliot","378","Sunderland Central","Labour","1284","31548","26538","http://sexymp.co.uk/mp/181.jpg"
"Luciana Berger","379","Liverpool, Wavertree","Labour Co-operative","1140","50575","32167","http://sexymp.co.uk/mp/46.jpg"
"Joan Ruddock","380","Lewisham, Deptford","Labour","1324","30236","27265","http://sexymp.co.uk/mp/520.jpg"
"Caroline Flint","381","Don Valley","Labour","1157","46131","30614","http://sexymp.co.uk/mp/204.jpg"
"Gloria de Piero","382","Ashfield","Labour","1164","43505","29567","http://sexymp.co.uk/mp/152.jpg"
"Rachel Reeves","383","Leeds West","Labour","1254","37891","30640","http://sexymp.co.uk/mp/500.jpg"
"Albert Owen","384","Ynys M!!n","Labour","1562","2488","3126","http://sexymp.co.uk/mp/468.jpg"
"Peter Aldous","385","Waveney","Conservative","1457","2771","3060","http://sexymp.co.uk/mp/7.jpg"
"Michael Gove","386","Surrey Heath","Conservative","1462","2738","3099","http://sexymp.co.uk/mp/235.jpg"
"Kerry McCarthey","387","Bristol East","Labour","1257","33673","28000","http://sexymp.co.uk/mp/394.jpg"
"John Randall","388","Uxbridge and South Ruislip","Conservative","1668","2430","3482","http://sexymp.co.uk/mp/493.jpg"
"Sharon Hodgeson","389","Washington and Sunderland West","Labour","1386","29037","29830","http://sexymp.co.uk/mp/290.jpg"
"Rosie Winterton","390","Doncaster Central","Labour","1323","29445","27532","http://sexymp.co.uk/mp/637.jpg"
"Katy Clark","391","North Ayrshire and Arran","Labour","1330","30676","29089","http://sexymp.co.uk/mp/112.jpg"
"Catherin McKinnell","392","Newcastle upon Tyne North","Labour","1216","39307","30715","http://sexymp.co.uk/mp/409.jpg"
"Anne McIntosh","393","Thirsk and Malton","Conservative","1510","24485","29751","http://sexymp.co.uk/mp/407.jpg"
"Diana Johnson","394","Kingston upon Hull North","Labour","1318","29355","27452","http://sexymp.co.uk/mp/321.jpg"
"Mark Pawsey","395","Rugby","Conservative","1591","2270","3036","http://sexymp.co.uk/mp/474.jpg"
"Lynne Featherstone","396","Hornsey and Wood Green","Liberal Democrat","1216","35755","28200","http://sexymp.co.uk/mp/199.jpg"
"Shabana Mahmood","397","Birmingham, Ladywood","Labour","1236","34360","28236","http://sexymp.co.uk/mp/385.jpg"
"Tom Harris","398","Glasgow South","Labour","1643","2363","3372","http://sexymp.co.uk/mp/267.jpg"
"Stephen Mosley","399","City of Chester","Conservative","1624","2257","3155","http://sexymp.co.uk/mp/438.jpg"
"Mike Penning","400","Hemel Hempstead","Conservative","1569","2429","3219","http://sexymp.co.uk/mp/476.jpg"
"Bridget Phillipson","401","Houghton and Sunderland South","Labour","1196","39576","30560","http://sexymp.co.uk/mp/482.jpg"
"Mark Durkan","402","Foyle","Social Democratic and Labour","1547","2479","3214","http://sexymp.co.uk/mp/176.jpg"
"Louise Ellman","403","Liverpool, Riverside","Labour Co-operative","1311","29272","27667","http://sexymp.co.uk/mp/184.jpg"
"Barbara Keeley","404","Worsley and Eccles South","Labour","1181","37130","27922","http://sexymp.co.uk/mp/335.jpg"
"Geoffrey Robinson","405","Coventry North West","Labour","1534","2792","3562","http://sexymp.co.uk/mp/512.jpg"
"David Hanson","406","Delyn","Labour","1650","2327","3378","http://sexymp.co.uk/mp/262.jpg"
"Peter Hain","407","Neath","Labour","1425","2841","3185","http://sexymp.co.uk/mp/252.jpg"
"Debbie Abrahams","408","Oldham East and Saddleworth","Labour","1194","35483","27751","http://sexymp.co.uk/mp/3.jpg"
"Yasmin Qureshi","409","Bolton South East","Labour","1300","29451","27763","http://sexymp.co.uk/mp/491.jpg"
"Yvette Cooper","410","Normanton, Pontefract and Castleford","Labour","1297","29973","28265","http://sexymp.co.uk/mp/125.jpg"
"Adrian Bailey","411","West Bromwich West","Labour Co-operative","1581","2461","3378","http://sexymp.co.uk/mp/21.jpg"
"Karen Lumley","412","Redditch","Conservative","1469","24171","29173","http://sexymp.co.uk/mp/379.jpg"
"Nadine Dorries","413","Mid Bedfordshire","Conservative","1157","37253","27545","http://sexymp.co.uk/mp/165.jpg"
"William Bain","414","Glasgow North East","Labour","1583","2406","3332","http://sexymp.co.uk/mp/22.jpg"
"Susan Jones","415","Clwyd South","Labour","1165","37567","28353","http://sexymp.co.uk/mp/330.jpg"
"Emma Reynolds","416","Wolverhampton North East","Labour","1215","35675","29714","http://sexymp.co.uk/mp/502.jpg"
"Siobhain McDonagh","417","Mitcham and Morden","Labour","1213","32622","27185","http://sexymp.co.uk/mp/399.jpg"
"Alex Cunningham","418","Stockton North","Labour","1525","2463","3222","http://sexymp.co.uk/mp/136.jpg"
"Tessa Munt","419","Wells","Liberal Democrat","1262","30241","27533","http://sexymp.co.uk/mp/444.jpg"
"Lorely Burt","420","Solihull","Liberal Democrat","1308","28907","28332","http://sexymp.co.uk/mp/92.jpg"
"Sarah Newton","421","Truro and Falmouth","Conservative","1414","24976","28547","http://sexymp.co.uk/mp/455.jpg"
"Rushanara Ali","422","Bethnal Green and Bow","Labour","1183","35995","28751","http://sexymp.co.uk/mp/11.jpg"
"Emily Thornberry","423","Islington South and Finsbury","Labour","1256","30683","27867","http://sexymp.co.uk/mp/583.jpg"
"Valerie Vaz","424","Walsall South","Labour","1194","35258","28721","http://sexymp.co.uk/mp/601.jpg"
"John Hemmings","425","Birmingham, Yardley","Liberal Democrat","1614","2385","3471","http://sexymp.co.uk/mp/277.jpg"
"Alison Seabeck","426","Plymouth, Moor View","Labour","1329","27778","28605","http://sexymp.co.uk/mp/528.jpg"
"Andrea Leadsom","427","South Northamptonshire","Conservative","1414","24914","29125","http://sexymp.co.uk/mp/353.jpg"
"Alistair Carmichael","428","Orkney and Shetland","Liberal Democrat","1505","2460","3237","http://sexymp.co.uk/mp/102.jpg"
"Jane Ellison","429","Battersea","Conservative","1406","25034","29227","http://sexymp.co.uk/mp/183.jpg"
"Sylvia Hermon","430","North Down","Independent","1185","32308","26691","http://sexymp.co.uk/mp/283.jpg"
"Lisa Nandy","431","Wigan","Labour","1175","37108","30300","http://sexymp.co.uk/mp/451.jpg"
"Fiona ODonnell","432","East Lothian","Labour","1301","27947","28292","http://sexymp.co.uk/mp/460.jpg"
"Geraint Davies","433","Swansea West","Labour Co-operative","1575","2305","3312","http://sexymp.co.uk/mp/147.jpg"
"Mark Hendrick","434","Preston","Labour Co-operative","1579","2307","3357","http://sexymp.co.uk/mp/279.jpg"
"David Simpson","435","Upper Bann","Democratic Unionist","1549","2407","3403","http://sexymp.co.uk/mp/540.jpg"
"Nigel Dodds","436","Belfast North","Democratic Unionist","1629","2200","3447","http://sexymp.co.uk/mp/159.jpg"
"Gregory Barker","437","Bexhill and Battle","Conservative","1543","2155","3102","http://sexymp.co.uk/mp/30.jpg"
"Phil Wilson","438","Sedgefield","Labour","1530","2293","3252","http://sexymp.co.uk/mp/633.jpg"
"David Amess","439","Southend West","Conservative","1495","2271","3107","http://sexymp.co.uk/mp/13.jpg"
"Ed Balls","440","Morley and Outwood","Labour Co-operative","1506","2657","3695","http://sexymp.co.uk/mp/27.jpg"
"Helen Jones","441","Warrington North","Labour","1376","25254","29952","http://sexymp.co.uk/mp/327.jpg"
"Paul Uppal","442","Wolverhampton South West","Conservative","1584","2117","3216","http://sexymp.co.uk/mp/597.jpg"
"Henry Bellingham","443","North West Norfolk","Conservative","1496","2316","3210","http://sexymp.co.uk/mp/40.jpg"
"Dawn Primarolo","444","Bristol South","Labour","1218","28648","27026","http://sexymp.co.uk/mp/487.jpg"
"Stephen Lloyd","445","Eastbourne","Liberal Democrat","1446","2365","3101","http://sexymp.co.uk/mp/368.jpg"
"Robert Neill","446","Bromley and Chislehurst","Conservative","1541","2184","3195","http://sexymp.co.uk/mp/453.jpg"
"Hazel Blears","447","Salford and Eccles","Labour","1291","27430","29131","http://sexymp.co.uk/mp/55.jpg"
"Pamela Nash","448","Airdrie and Shotts","Labour","1066","41373","29285","http://sexymp.co.uk/mp/452.jpg"
"Laura Sandys","449","South Thanet","Conservative","1503","22380","31551","http://sexymp.co.uk/mp/525.jpg"
"Loraine Fullbrook","450","South Ribble","Conservative","1385","23873","29389","http://sexymp.co.uk/mp/213.jpg"
"Lindsay Hoyle","451","Chorley","Labour","1569","2273","3474","http://sexymp.co.uk/mp/303.jpg"
"Austin Mitchell","452","Great Grimsby","Labour","1546","2279","3395","http://sexymp.co.uk/mp/427.jpg"
"Tim Farron","453","Westmorland and Lonsdale","Liberal Democrat","1455","2606","3512","http://sexymp.co.uk/mp/198.jpg"
"Margaret Hodge","454","Barking","Labour","1402","23990","30286","http://sexymp.co.uk/mp/289.jpg"
"Alison McGovern","455","Wirral South","Labour","1136","34097","28352","http://sexymp.co.uk/mp/403.jpg"
"Si!!n James","456","Swansea East","Labour","1369","25147","30468","http://sexymp.co.uk/mp/315.jpg"
"Graham Stringer","457","Blackley and Broughton","Labour","1589","2151","3401","http://sexymp.co.uk/mp/568.jpg"
"Bob Ainsworth","458","Coventry North East","Labour","1511","2492","3620","http://sexymp.co.uk/mp/6.jpg"
"Kate Green","459","Stretford and Urmston","Labour","1367","25067","30685","http://sexymp.co.uk/mp/242.jpg"
"Edward Miliband","460","Doncaster North","Labour","1421","3476","4554","http://sexymp.co.uk/mp/421.jpg"
"Fiona Bruce","461","Congleton","Conservative","1390","23901","30300","http://sexymp.co.uk/mp/79.jpg"
"Yvonne Fovargue","462","Makerfield","Labour","1384","24377","30859","http://sexymp.co.uk/mp/207.jpg"
"Margaret Ritchie","463","South Down","Social Democratic and Labour","1491","2328","3351","http://sexymp.co.uk/mp/506.jpg"
"Nicholas Brown","464","Newcastle upon Tyne East","Labour","1556","2369","3664","http://sexymp.co.uk/mp/76.jpg"
"Stella Creasy","465","Walthamstow","Labour","1071","41589","31372","http://sexymp.co.uk/mp/131.jpg"
"Mary Creagh","466","Wakefield","Labour","1235","28136","29004","http://sexymp.co.uk/mp/130.jpg"
"David Blunkett","467","Sheffield, Brightside and Hillsborough","Labour","1535","2319","3531","http://sexymp.co.uk/mp/58.jpg"
"Guto Bebb","468","Aberconwy","Conservative","1587","2174","3507","http://sexymp.co.uk/mp/35.jpg"
"Michelle Gildernew","469","Fermanagh and South Tyrone","Sinn Fein","1437","24059","33001","http://sexymp.co.uk/mp/224.jpg"
"Graham Allen","470","Nottingham North","Labour","1510","2224","3347","http://sexymp.co.uk/mp/12.jpg"
"Jonathan Evans","471","Cardiff North","Conservative","1490","2202","3241","http://sexymp.co.uk/mp/192.jpg"
"Anne Milton","472","Guildford","Conservative","1421","22711","30877","http://sexymp.co.uk/mp/425.jpg"
"Ian Lavery","473","Wansbeck","Labour","1474","2313","3359","http://sexymp.co.uk/mp/350.jpg"
"Alisdair McDonnell","474","Belfast South","Social Democratic and Labour","1508","2280","3437","http://sexymp.co.uk/mp/400.jpg"
"Margaret Curran","475","Glasgow East","Labour","1299","25809","30086","http://sexymp.co.uk/mp/139.jpg"
"Angela Eagle","476","Wallasey","Labour","1519","21137","32414","http://sexymp.co.uk/mp/177.jpg"
"Mark Hunter","477","Cheadle","Liberal Democrat","1452","2248","3196","http://sexymp.co.uk/mp/308.jpg"
"Mary Glendon","478","North Tyneside","Labour","1285","25874","29623","http://sexymp.co.uk/mp/229.jpg"
"Nicholas Soames","479","Mid Sussex","Conservative","1459","2369","3400","http://sexymp.co.uk/mp/554.jpg"
"Gordon Brown","480","Kirkcaldy and Cowdenbeath","Labour","1354","3092","3902","http://sexymp.co.uk/mp/74.jpg"
"Lyn Brown","481","West Ham","Labour","1362","24336","31089","http://sexymp.co.uk/mp/75.jpg"
"Geoffrey Clifton-Brown","482","The Cotswolds","Conservative","1454","2173","3118","http://sexymp.co.uk/mp/116.jpg"
"Maria Eagle","483","Garston and Halewood","Labour","1454","21889","31394","http://sexymp.co.uk/mp/178.jpg"
"John Bercow","484","Buckingham","Bi-Curious","1381","2626","3459","http://sexymp.co.uk/mp/44.jpg"
"David Wright","485","Telford","Labour","1522","2302","3580","http://sexymp.co.uk/mp/643.jpg"
"Stephen Hepburn","486","Jarrow","Labour","1488","2215","3326","http://sexymp.co.uk/mp/281.jpg"
"Chris Williamson","487","Derby North","Labour","1576","2135","3519","http://sexymp.co.uk/mp/630.jpg"
"Jessica Morden","488","Newport East","Labour","1082","35382","29116","http://sexymp.co.uk/mp/431.jpg"
"Elfyn Llwyd","489","Dwyfor Meirionnydd","Plaid Cymru","1563","2196","3591","http://sexymp.co.uk/mp/370.jpg"
"Joe Benton","490","Bootle","Labour","1486","2347","3534","http://sexymp.co.uk/mp/42.jpg"
"Gary Streeter","491","South West Devon","Conservative","1454","2191","3222","http://sexymp.co.uk/mp/566.jpg"
"Gisela Stuart","492","Birmingham, Edgbaston","Labour","1381","23487","31558","http://sexymp.co.uk/mp/569.jpg"
"Ann Coffey","493","Stockport","Labour","1408","22512","31365","http://sexymp.co.uk/mp/119.jpg"
"Karen Buck","494","Westminster North","Labour","1423","21964","31354","http://sexymp.co.uk/mp/82.jpg"
"Jim Hood","495","Lanark and Hamilton East","Labour","1476","2262","3455","http://sexymp.co.uk/mp/295.jpg"
"Lee Scott","496","Ilford North","Conservative","1442","2090","3077","http://sexymp.co.uk/mp/527.jpg"
"Angie Bray","497","Ealing Central and Acton","Conservative","1449","22036","32686","http://sexymp.co.uk/mp/67.jpg"
"Cathy Jamieson","498","Kilmarnock and Loudoun","Labour Co-operative","1340","24767","32222","http://sexymp.co.uk/mp/316.jpg"
"Stephen Timms","499","East Ham","Labour","1645","2085","3806","http://sexymp.co.uk/mp/585.jpg"
"Tom Clarke","500","Coatbridge, Chryston and Bellshill","Labour","1495","2390","3760","http://sexymp.co.uk/mp/114.jpg"
