sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"John McDonnell","105","Hayes and Harlington","Labour","1550","3254","2865","http://sexymp.co.uk/mp/401.jpg","M","E14000737","65912","Hayes and Harlington","England","79.9","142","83.5","149","18.8","161","21.5","145","covered_by","E09000017"
"John Penrose","106","Weston-super-Mare","Conservative","1457","3149","2419","http://sexymp.co.uk/mp/477.jpg","M","E14001038","65742","Weston-Super-Mare","England","79.6","173","83.5","147","19.1","129","21.6","131","covered_by","E06000024"
"Desmond Swayne","107","New Forest West","Conservative","1508","3110","2584","http://sexymp.co.uk/mp/575.jpg","M","E14000828","65815","New Forest West","England","81.9","15","85.2","20","20.3","11","22.8","16","covered_by","E07000091"
"Ben Walker","108","Wyre and Preston North","Conservative","1463","3163","2450","http://sexymp.co.uk/mp/606.jpg","M","E14001057","65695","Wyre and Preston North","England","77.80000000000001","289","81.4","311","18","258.5","20.4","276.5","overlapped_by (calculated average)","E07000123,E07000128"
"David Burrowes","109","Enfield, Southgate","Conservative","1431","3291","2421","http://sexymp.co.uk/mp/89.jpg","M","E14000692","65567","Enfield, Southgate","England","80.5","89","84","102","19.4","80","21.8","97","covered_by","E09000010"
"Adam Holloway","110","Gravesham","Conservative","1403","3252","2295","http://sexymp.co.uk/mp/294.jpg","M","E14000715","65944","Gravesham","England","79.6","174","83.4","160","18.8","160","21.1","197","covered_by","E07000109"
"Karl Turner","111","Kingston upon Hull East","Labour","1494","3552","2898","http://sexymp.co.uk/mp/592.jpg","M","E14000771","65709","Kingston upon Hull East","England","76.6","335","80.5","339","16.8","337","19.4","331","covered_by","E06000010"
"David Ruffley","112","Bury St Edmunds","Conservative","1356","3427","2223","http://sexymp.co.uk/mp/521.jpg","M","E14000613","66035","Bury St Edmunds","England","81.6","21.5","84.55000000000001","58","19.7","47","22.25","52.5","overlapped_by (calculated average)","E07000203,E07000204"
"David Ruttley","113","Macclesfield","Conservative","1466","3200","2509","http://sexymp.co.uk/mp/523.jpg","M","E14000802","65896","Macclesfield","England","80.4","99","83.4","167","19.2","108","21.2","182","covered_by","E06000049"
"John Denham","114","Southampton, Itchen","Labour","1812","2632","3178","http://sexymp.co.uk/mp/153.jpg","M","E14000955","66016","Southampton, Itchen","England","78.5","242","82.7","225","18.3","227","21","200","covered_by","E06000045"
"Andrew Gwynne","115","Denton and Reddish","Labour","1550","3132","2783","http://sexymp.co.uk/mp/249.jpg","M","E14000661","65924","Denton and Reddish","England","78.05","246.5","81.85","261.5","18.05","233.5","20.200000000000003","252","overlapped_by (calculated average)","E08000007,E08000008"
"Angus MacNiel","116","Na h-Eileanan an Iar","Scottish National Party","1485","3413","2764","http://sexymp.co.uk/mp/381.jpg","M","S14000027","14444","Na h-Eileanan an Iar","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Stephen Twigg","117","Liverpool, West Derby","Labour Co-operative","1511","3205","2694","http://sexymp.co.uk/mp/594.jpg","M","E14000796","65766","Liverpool, West Derby","England","76.1","341","80.2","341","16.6","343","19.2","341","covered_by","E08000012"
"Nick Boles","118","Grantham and Stamford","Conservative","1421","3346","2455","http://sexymp.co.uk/mp/60.jpg","M","E14000714","65683","Grantham and Stamford","England","80.1","125","84","100","18.7","179","21.5","144","covered_by","E07000141"
"Julian Brazier","119","Canterbury","Conservative","1513","3036","2568","http://sexymp.co.uk/mp/68.jpg","M","E14000619","65878","Canterbury","England","80.2","118","83.4","162","18.9","145","21.3","163","covered_by","E07000106"
"Nick Hurd","120","Ruislip, Northwood and Pinner","Conservative","1375","3552","2413","http://sexymp.co.uk/mp/310.jpg","M","E14000906","65681","Ruislip, Northwood and Pinner","England","80.95","75","84.55","79.5","19.85","81","22.45","74.5","overlapped_by (calculated average)","E09000015,E09000017"
"Anas Sarwar","121","Glasgow Central","Labour","1489","3536","2892","http://sexymp.co.uk/mp/526.jpg","M","S14000029","14425","Glasgow Central","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Jon Ashworth","122","Leicester South","Labour","1517","3070","2630","http://sexymp.co.uk/mp/17.jpg","M","E14000783","65604","Leicester South","England","77","326","81.8","293","17.3","320","20.3","292","covered_by","E06000016"
"Bernard Jenkin","123","Harwich and North Essex","Conservative","1415","3330","2436","http://sexymp.co.uk/mp/319.jpg","M","E14000734","65674","Harwich and North Essex","England","78.85","215.5","82.65","222","18.4","205","21.05","201.5","overlapped_by (calculated average)","E07000071,E07000076"
"David Lidington","124","Aylesbury","Conservative","1518","2979","2553","http://sexymp.co.uk/mp/366.jpg","M","E14000538","65739","Aylesbury","England","80.6","93","84.05000000000001","96","19.299999999999997","101.5","21.9","85","overlapped_by (calculated average)","E07000004,E07000007"
"Julian Smith","125","Skipton and Ripon","Conservative","1428","3198","2393","http://sexymp.co.uk/mp/550.jpg","M","E14000928","65986","Skipton and Ripon","England","80.6","85","83.8","121","19.3","101","21.8","105","overlapped_by (calculated average)","E07000165"
"Owen Smith","126","Pontypridd","Labour","1479","3208","2599","http://sexymp.co.uk/mp/552.jpg","M","W07000075","66087","Pontypridd","Wales","78.06666666666668","253.66666666666666","82.36666666666667","241.66666666666666","17.8","266.6666666666667","20.8","210.33333333333334","overlapped_by (calculated average)","W06000014,W06000015,W06000016"
"Edward Garnier","127","Harborough","Conservative","1503","3019","2545","http://sexymp.co.uk/mp/218.jpg","M","E14000728","65675","Harborough","England","80.3","105","84.8","31","19.4","86","22.4","35","overlapped_by (calculated average)","E07000131"
"Jamie Reed","128","Copeland","Labour","1370","4147","2816","http://sexymp.co.uk/mp/497.jpg","M","E14000647","65893","Copeland","England","78.2","262","81.9","287","17.9","267","20.3","284","overlapped_by (calculated average)","E07000026"
"Mike Wood","129","Batley and Spen","Labour","1538","3043","2692","http://sexymp.co.uk/mp/640.jpg","M","E14000548","65751","Batley and Spen","England","78.2","261","82","286","18","255","20.3","294","covered_by","E08000034"
"Douglas Alexander","130","Paisley and Renfrewshire South","Labour","1425","4063","3029","http://sexymp.co.uk/mp/9.jpg","M","S14000053","14450","Paisley and Renfrewshire South","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Zac Goldsmith","131","Richmond Park","Conservative","1322","4077","2533","http://sexymp.co.uk/mp/232.jpg","M","E14000896","65598","Richmond Park","England","81.55000000000001","28","85.35","18","19.65","52.5","22.75","33","overlapped_by (calculated average)","E09000021,E09000027"
"Stephen Crabb","132","Preseli Pembrokeshire","Conservative","1449","3254","2546","http://sexymp.co.uk/mp/128.jpg","M","W07000065","66102","Preseli Pembrokeshire","Wales","79.4","184","82.5","243","18.9","150","21","205","covered_by","W06000009"
"Greg Hands","133","Chelsea and Fulham","Conservative","1443","3289","2551","http://sexymp.co.uk/mp/261.jpg","M","E14000629","65818","Chelsea and Fulham","England","80.6","109.5","84.55","89.5","19.8","88.5","22.35","76","overlapped_by (calculated average)","E09000013,E09000020"
"Sylvia Hermon","134","North Down","Independent","1497","32902","27672","http://sexymp.co.uk/mp/283.jpg","F","N06000013","66136","North Down","Northern Ireland","0","0","0","0","0","0","0","0","no match (Northern Ireland unavailable)",""
"George Freeman","135","Mid Norfolk","Conservative","1510","3063","2630","http://sexymp.co.uk/mp/211.jpg","M","E14000816","65949","Mid Norfolk","England","80.69999999999999","85","83.8","126.5","19.6","76.5","21.65","120.5","overlapped_by (calculated average)","E07000143,E07000149"
"Mike Freer","136","Finchley and Golders Green","Conservative","1482","3014","2488","http://sexymp.co.uk/mp/212.jpg","M","E14000703","65938","Finchley and Golders Green","England","81.4","32","84.5","53","19.9","22","22.3","44","covered_by","E09000003"
"Jeremy Browne","137","Taunton Deane","Liberal Democrat","1455","3149","2493","http://sexymp.co.uk/mp/78.jpg","M","E14000988","65767","Taunton Deane","England","79.8","152","83.8","119","18.9","158","21.3","166","covered_by","E07000190"
"Thomas Docherty","138","Dunfermline and West Fife","Labour","1584","2939","2799","http://sexymp.co.uk/mp/158.jpg","M","S14000017","14414","Dunfermline and West Fife","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Robert Halfon","139","Harlow","Conservative","1375","3657","2542","http://sexymp.co.uk/mp/253.jpg","M","E14000729","65875","Harlow","England","80.2","114","83.8","123","19.3","103","21.5","143","overlapped_by (calculated average)","E07000072"
"Joseph Johnson","140","Orpington","Conservative","1356","3652","2456","http://sexymp.co.uk/mp/323.jpg","M","E14000872","65682","Orpington","England","81","51","84.5","51","19.6","62","21.9","84","covered_by","E09000006"
"Edward Vaisey","141","Wantage","Conservative","1357","3647","2458","http://sexymp.co.uk/mp/598.jpg","M","E14001015","65638","Wantage","England","81.25","41.5","84.55","52.5","19.6","57.5","21.95","76","overlapped_by (calculated average)","E07000179,E07000180"
"Stephen Williams","142","Bristol West","Liberal Democrat","1447","3202","2509","http://sexymp.co.uk/mp/629.jpg","M","E14000602","65574","Bristol West","England","78.3","253","83","206","17.9","268","21.1","193","covered_by","E06000023"
"John Cryer","143","Leyton and Wanstead","Labour","1601","2910","2840","http://sexymp.co.uk/mp/135.jpg","M","E14000790","66013","Leyton and Wanstead","England","79.75","153","83.7","127.5","18.95","146.5","21.65","123","overlapped_by (calculated average)","E09000026,E09000031"
"Jo Swinson","144","East Dunbartonshire","Liberal Democrat","1486","33719","28159","http://sexymp.co.uk/mp/576.jpg","F","S14000018","14415","East Dunbartonshire","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Graham Jones","145","Hyndburn","Labour","1427","3475","2655","http://sexymp.co.uk/mp/326.jpg","M","E14000758","65899","Hyndburn","England","77.6","296","81.6","303","17.2","324","19.9","313","overlapped_by (calculated average)","E07000125"
"Charles Walker","146","Broxbourne","Conservative","1386","3652","2601","http://sexymp.co.uk/mp/604.jpg","M","E14000606","65639","Broxbourne","England","80.1","129","83.6","134","18.9","152","21.7","119","overlapped_by (calculated average)","E07000104"
"Philip Dunne","147","Ludlow","Conservative","1488","3078","2592","http://sexymp.co.uk/mp/175.jpg","M","E14000799","65690","Ludlow","England","79.8","151","83.8","117","19","135","21.6","127","covered_by","E06000051"
"Sam Gyimah","148","East Surrey","Conservative","1364","3433","2371","http://sexymp.co.uk/mp/250.jpg","M","E14000681","65856","East Surrey","England","80.8","65","84","98","19.4","87","21.4","156","overlapped_by (calculated average)","E07000211"
"John Hayes","149","South Holland and The Deepings","Conservative","1570","3026","2858","http://sexymp.co.uk/mp/272.jpg","M","E14000939","66051","South Holland and The Deepings","England","80.1","125","84","100","18.7","179","21.5","144","overlapped_by (calculated average)","E07000141"
"Brandon Lewis","150","Great Yarmouth","Conservative","1434","3144","2440","http://sexymp.co.uk/mp/362.jpg","M","E14000717","65627","Great Yarmouth","England","78","273","82.2","265","18.2","237","20.6","258","covered_by","E07000145"
"Hilary Benn","151","Leeds Central","Labour","1476","3230","2677","http://sexymp.co.uk/mp/41.jpg","M","E14000777","65765","Leeds Central","England","78","272","82.1","272","17.7","292","20.3","291","covered_by","E08000035"
"Charles Kennedy","152","Ross, Skye and Lochaber","Liberal Democrat","1516","3066","2703","http://sexymp.co.uk/mp/339.jpg","M","S14000055","14452","Ross, Skye and Lochaber","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"John Mann","153","Bassetlaw","Labour","1485","3138","2642","http://sexymp.co.uk/mp/387.jpg","M","E14000546","65711","Bassetlaw","England","78.6","240","82.1","269","18","262","20.4","278","covered_by","E07000171"
"Nic Dakin","154","Scunthorpe","Labour","1557","2946","2755","http://sexymp.co.uk/mp/140.jpg","M","E14000914","66027","Scunthorpe","England","78.3","251","82.8","224","18","260","21","206","covered_by","E06000013"
"Gregg McClymont","155","Cumbernauld, Kilsyth and Kirkintilloch East","Labour","1698","2875","3191","http://sexymp.co.uk/mp/397.jpg","M","S14000012","14409","Cumbernauld, Kilsyth and Kirkintilloch East","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Andrew Rosindell","156","Romford","Conservative","1466","3073","2524","http://sexymp.co.uk/mp/514.jpg","M","E14000900","66077","Romford","England","79.3","191","83.8","118","18.6","197","21.8","92","covered_by","E09000016"
"Mark Simmonds","157","Boston and Skegness","Conservative","1390","3230","2348","http://sexymp.co.uk/mp/539.jpg","M","E14000582","65969","Boston and Skegness","England","77.8","290","81.8","292","18","259","20.6","254","overlapped_by (calculated average)","E07000137"
"Duncan Hames","158","Chippenham","Liberal Democrat","1400","3627","2689","http://sexymp.co.uk/mp/254.jpg","M","E14000635","65940","Chippenham","England","80.4","101","83.9","108","19.3","98","21.8","104","covered_by","E06000054"
"Brooks Newmark","159","Braintree","Conservative","1513","3051","2689","http://sexymp.co.uk/mp/454.jpg","M","E14000590","65670","Braintree","England","79.6","167","83","203","18.2","230","20.9","226","covered_by","E07000067"
"Frank Doran","160","Aberdeen North","Labour","1513","3207","2836","http://sexymp.co.uk/mp/163.jpg","M","S14000001","14398","Aberdeen North","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Martin Horwood","161","Cheltenham","Liberal Democrat","1450","3211","2589","http://sexymp.co.uk/mp/298.jpg","M","E14000630","65946","Cheltenham","England","80.6","83","84.3","77","19.4","82","22.2","46","covered_by","E07000078"
"Khalid Mahmood","162","Birmingham, Perry Barr","Labour","1521","3051","2726","http://sexymp.co.uk/mp/384.jpg","M","E14000566","66028","Birmingham, Perry Barr","England","77.6","303","82.1","276","17.8","275","20.6","255","covered_by","E08000025"
"Mel Stride","163","Central Devon","Conservative","1390","3176","2319","http://sexymp.co.uk/mp/567.jpg","M","E14000623","65749","Central Devon","England","80.425","107.5","84.475","62.5","19.349999999999998","97.5","22.125","69.25","overlapped_by (calculated average)","E07000040,E07000042,E07000045,E07000047"
"Tami Mark","164","Alyn and Deeside","Labour","1499","3137","2717","http://sexymp.co.uk/mp/579.jpg","M","W07000043","66103","Alyn and Deeside","Wales","79","215","82.4","251","18.4","214","20.6","256","covered_by","W06000005"
"Robert Buckland","165","South Swindon","Conservative","1441","3013","2395","http://sexymp.co.uk/mp/83.jpg","M","E14000947","65800","South Swindon","England","79.3","196","82.7","227","18.5","204","20.9","216","covered_by","E06000030"
"Jonathan Djanogly","166","Huntingdon","Conservative","1469","3018","2508","http://sexymp.co.uk/mp/155.jpg","M","E14000757","65592","Huntingdon","England","80.9","60","84.4","71","19.5","69","21.7","108","covered_by","E07000011"
"Francis Maude","167","Horsham","Conservative","1511","2940","2602","http://sexymp.co.uk/mp/389.jpg","M","E14000753","65717","Horsham","England","81.7","20.5","84.30000000000001","76.5","19.85","31.5","21.950000000000003","87","overlapped_by (calculated average)","E07000227,E07000228"
"David Mundell","168","Dumfriesshire, Clydesdale and Tweeddale","Conservative","1521","2997","2684","http://sexymp.co.uk/mp/442.jpg","M","S14000014","14411","Dumfriesshire, Clydesdale and Tweeddale","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Kevin Barron","169","Rother Valley","Labour","1590","2973","2930","http://sexymp.co.uk/mp/32.jpg","M","E14000903","65930","Rother Valley","England","78","277","81.6","302","17.5","310","20.2","300","covered_by","E08000018"
"David Lammy","170","Tottenham","Labour","1490","3289","2828","http://sexymp.co.uk/mp/346.jpg","M","E14001002","66074","Tottenham","England","79.4","185","83.8","120","19.2","116","21.9","79","covered_by","E09000014"
"Chris Leslie","171","Nottingham East","Labour Co-operative","1470","3368","2816","http://sexymp.co.uk/mp/360.jpg","M","E14000865","65559","Nottingham East","England","76.9","328","81.5","307","16.8","340","20.5","266","covered_by","E06000018"
"Michael Dugher","172","Barnsley East","Labour","1422","3391","2633","http://sexymp.co.uk/mp/172.jpg","M","E14000542","66012","Barnsley East","England","77.8","288","81.5","311","17.6","298","19.9","317","covered_by","E08000016"
"Clive Betts","173","Sheffield South East","Labour","1506","3185","2814","http://sexymp.co.uk/mp/48.jpg","M","E14000920","65793","Sheffield South East","England","78.7","231","82.4","253","18","247","20.5","263","covered_by","E08000019"
"Alun Cairns","174","Vale of Glamorgan","Conservative","1389","3144","2318","http://sexymp.co.uk/mp/96.jpg","M","W07000078","66098","Vale of Glamorgan","Wales","77.80000000000001","272","81.925","265","17.725","277","20.5","239.75","overlapped_by (calculated average)","W06000013,W06000014,W06000015,W06000016"
"Graham Evans","175","Weaver Vale","Conservative","1504","3019","2666","http://sexymp.co.uk/mp/191.jpg","M","E14001024","65769","Weaver Vale","England","78.15","260.5","81.69999999999999","275.5","17.8","266.5","20.05","288","overlapped_by (calculated average)","E06000050,E06000006"
"Jake Berry","176","Rossendale and Darwen","Conservative","1306","3775","2394","http://sexymp.co.uk/mp/47.jpg","M","E14000902","66019","Rossendale and Darwen","England","77.05","316.5","81.25","316","17.299999999999997","320.5","19.65","322.5","overlapped_by (calculated average)","E06000008,E07000125"
"Iain Stewart","177","Milton Keynes South","Conservative","1417","3258","2517","http://sexymp.co.uk/mp/563.jpg","M","E14000822","66076","Milton Keynes South","England","78.7","229","82.5","244","17.9","263","20.6","261","covered_by","E06000042"
"Graham Brady","178","Altrincham and Sale West","Conservative","1438","3152","2522","http://sexymp.co.uk/mp/65.jpg","M","E14000532","65892","Altrincham and Sale West","England","79.6","163","83.7","126","18.7","181","21.7","114","covered_by","E08000009"
"Malcom Bruce","179","Gordon","Liberal Democrat","1512","3049","2724","http://sexymp.co.uk/mp/80.jpg","M","S14000037","14433","Gordon","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Nadhim Zawahi","180","Stratford-on-Avon","Conservative","1478","3107","2647","http://sexymp.co.uk/mp/649.jpg","M","E14000977","65648","Stratford-on-Avon","England","81","57","84.9","27","19.8","36","22.6","27","covered_by","E07000221"
"Alan Duncan","181","Rutland and Melton","Conservative","1436","3081","2468","http://sexymp.co.uk/mp/173.jpg","M","E14000909","65833","Rutland and Melton","England","80.3","105","84.8","31","19.4","86","22.4","35","overlapped_by (calculated average)","E07000131"
"Jane Ellison","182","Battersea","Conservative","1712","26009","29894","http://sexymp.co.uk/mp/183.jpg","F","E14000549","65731","Battersea","England","79.1","210","83.2","180","18.1","243","20.9","219","covered_by","E09000032"
"Matthew Hancock","183","West Suffolk","Conservative","1367","3188","2283","http://sexymp.co.uk/mp/259.jpg","M","E14001034","65629","West Suffolk","England","81.5","24","84.2","87","19.7","48","22","73","overlapped_by (calculated average)","E07000204"
"George Osborne","184","Tatton","Conservative","1422","3708","2907","http://sexymp.co.uk/mp/465.jpg","M","E14000987","65964","Tatton","England","79.80000000000001","149.5","83.1","191","18.9","153","21","211","overlapped_by (calculated average)","E06000049,E06000050"
"Hugo Swire","185","East Devon","Conservative","1535","3167","2935","http://sexymp.co.uk/mp/577.jpg","M","E14000678","65813","East Devon","England","80.65","91.5","83.95","112.5","19.45","85.5","22.1","61.5","overlapped_by (calculated average)","E07000040,E07000041"
"Simon Burns","186","Chelmsford","Conservative","1530","3049","2801","http://sexymp.co.uk/mp/88.jpg","M","E14000628","65797","Chelmsford","England","80.7","71","84.3","80","19.5","71","21.9","90","covered_by","E07000070"
"Nigel Evans","187","Ribble Valley","Conservative","1424","3145","2484","http://sexymp.co.uk/mp/193.jpg","M","E14000894","65579","Ribble Valley","England","80.1","126","82.8","216","19.2","115","21.1","187","overlapped_by (calculated average)","E07000126"
"Kevan Jones","188","North Durham","Labour","1497","3037","2672","http://sexymp.co.uk/mp/328.jpg","M","E14000840","65745","North Durham","England","77.9","280","81.5","306","17.7","289","19.9","318","covered_by","E06000047"
"Tony Lloyd","189","Manchester Central","Labour","1559","2970","2847","http://sexymp.co.uk/mp/369.jpg","M","E14000807","66048","Manchester Central","England","74.8","345","79.5","346","15.8","346","18.8","344","covered_by","E08000003"
"Anne McIntosh","190","Thirsk and Malton","Conservative","1743","25500","30336","http://sexymp.co.uk/mp/407.jpg","F","E14000993","65686","Thirsk and Malton","England","79.6","164","83.85","137.5","19.1","122","21.75","135.5","overlapped_by (calculated average)","E07000164,E07000168"
"Mark Menzies","191","Fylde","Conservative","1522","3036","2768","http://sexymp.co.uk/mp/416.jpg","M","E14000706","65955","Fylde","England","77.4","318","81","328","17.6","305","20.1","307","overlapped_by (calculated average)","E07000123"
"Christopher Pincher","192","Tamworth","Conservative","1401","3187","2422","http://sexymp.co.uk/mp/484.jpg","M","E14000986","65880","Tamworth","England","79.9","146","82.9","212","18.5","206","20.7","247","overlapped_by (calculated average)","E07000194"
"Frank Field","193","Birkenhead","Labour","1478","3005","2583","http://sexymp.co.uk/mp/200.jpg","M","E14000559","65581","Birkenhead","England","77.9","279","81.9","288","18","253","20.3","296","covered_by","E08000015"
"Robert Syms","194","Poole","Conservative","1497","2928","2585","http://sexymp.co.uk/mp/578.jpg","M","E14000881","65860","Poole","England","80.2","117","84.1","92","19.6","64","21.8","99","covered_by","E06000029"
"Gareth Thomas","195","Harrow West","Labour Co-operative","1504","3129","2791","http://sexymp.co.uk/mp/582.jpg","M","E14000732","65796","Harrow West","England","82","8","85.6","10","20.9","1","23.4","4","covered_by","E09000015"
"Ian Austin","196","Dudley North","Labour","1573","2923","2868","http://sexymp.co.uk/mp/18.jpg","M","E14000671","65806","Dudley North","England","78.9","222","83","195","18.4","215","21.2","180","covered_by","E08000027"
"Chris Evans","197","Islwyn","Labour Co-operative","1309","4434","2872","http://sexymp.co.uk/mp/190.jpg","M","W07000077","66097","Islwyn","Wales","77.6","299","81.5","309","17.3","319","19.6","324","covered_by","W06000018"
"Sarah Newton","198","Truro and Falmouth","Conservative","1690","25904","29205","http://sexymp.co.uk/mp/455.jpg","F","E14001003","65659","Truro and Falmouth","England","79.5","179","83.5","146","19","143","21.3","160","covered_by","E06000052"
"Jim Cunningham","199","Coventry South","Labour","1450","3532","2930","http://sexymp.co.uk/mp/137.jpg","M","E14000651","65877","Coventry South","England","78.1","268","82.1","270","18.3","225","20.8","232","covered_by","E08000026"
"Alistair Darling","200","Edinburgh South West","Labour","1491","3128","2751","http://sexymp.co.uk/mp/142.jpg","M","S14000025","14422","Edinburgh South West","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Liam Fox","201","North Somerset","Conservative","1416","3368","2644","http://sexymp.co.uk/mp/208.jpg","M","E14000850","65817","North Somerset","England","79.6","173","83.5","147","19.1","129","21.6","131","covered_by","E06000024"
"Dai Harvard","202","Merthyr Tydfil and Rhymney","Labour","1540","2999","2827","http://sexymp.co.uk/mp/271.jpg","M","W07000071","66086","Merthyr Tydfil and Rhymney","Wales","77.5","305","81.3","316.5","17.4","313","19.450000000000003","330.5","overlapped_by (calculated average)","W06000024,W06000018"
"Kelvin Hopkins","203","Luton North","Labour","1703","2776","3187","http://sexymp.co.uk/mp/296.jpg","M","E14000800","65887","Luton North","England","78","276","82.1","275","18","256","20.5","271","covered_by","E06000032"
"Michael Moore","204","Berwickshire, Roxburgh and Selkirk","Liberal Democrat","1443","3300","2708","http://sexymp.co.uk/mp/429.jpg","M","S14000008","14405","Berwickshire, Roxburgh and Selkirk","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Andrew Stephenson","205","Pendle","Conservative","1403","3083","2370","http://sexymp.co.uk/mp/560.jpg","M","E14000875","65668","Pendle","England","77.9","282","81.7","301","18.4","208","20.6","259","covered_by","E07000122"
"Jack Straw","206","Blackburn","Labour","1591","2902","2917","http://sexymp.co.uk/mp/565.jpg","M","E14000570","65981","Blackburn","England","76.5","337","80.9","329","17.4","317","19.4","332","covered_by","E06000008"
"John Whittingdale","207","Maldon","Conservative","1466","3063","2597","http://sexymp.co.uk/mp/622.jpg","M","E14000806","65661","Maldon","England","80.65","79","83.85","120.5","19.45","74","21.549999999999997","133.5","overlapped_by (calculated average)","E07000070,E07000074"
"James Gray","208","North Wiltshire","Conservative","1613","2860","2962","http://sexymp.co.uk/mp/238.jpg","M","E14000860","65822","North Wiltshire","England","80.4","101","83.9","108","19.3","98","21.8","104","covered_by","E06000054"
"William Hague","209","Richmond (Yorks)","Conservative","1427","3573","2868","http://sexymp.co.uk/mp/251.jpg","M","E14000895","65722","Richmond (Yorks)","England","81.3","41","85.5","12","19.7","39","22.8","19","overlapped_by (calculated average)","E07000164"
"David Hamilton","210","Midlothian","Labour","1527","3081","2857","http://sexymp.co.uk/mp/255.jpg","M","S14000045","14441","Midlothian","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Jim Murphy","211","East Renfrewshire","Labour","1493","3243","2867","http://sexymp.co.uk/mp/446.jpg","M","S14000021","14418","East Renfrewshire","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Mick Crockart","212","Edinburgh West","Liberal Democrat","1610","2840","2939","http://sexymp.co.uk/mp/132.jpg","M","S14000026","14423","Edinburgh West","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"David Davies","213","Monmouth","Conservative","1404","3164","2449","http://sexymp.co.uk/mp/146.jpg","M","W07000054","66084","Monmouth","Wales","78.85","216","83","193","18.299999999999997","210.5","21.049999999999997","189.5","overlapped_by (calculated average)","W06000020,W06000021"
"Richard Graham","214","Gloucester","Conservative","1396","3402","2599","http://sexymp.co.uk/mp/236.jpg","M","E14000712","65996","Gloucester","England","78","274","83.4","155","18","254","21.5","141","covered_by","E07000081"
"Alan Campbell","215","Tynemouth","Labour","1557","2919","2827","http://sexymp.co.uk/mp/98.jpg","M","E14001006","65868","Tynemouth","England","78.1","267","82","278","17.6","306","20.5","265","covered_by","E08000022"
"Karen Lumley","216","Redditch","Conservative","1725","25147","29760","http://sexymp.co.uk/mp/379.jpg","F","E14000892","65700","Redditch","England","80.7","75","84.6","43","19.9","31","22.4","34","overlapped_by (calculated average)","E07000238"
"Jeffrey Donaldson","217","Lagan Valley","Democratic Unionist","1643","2804","3036","http://sexymp.co.uk/mp/161.jpg","M","N06000009","66132","Lagan Valley","Northern Ireland","0","0","0","0","0","0","0","0","no match (Northern Ireland unavailable)",""
"Dominic Greive","218","Beaconsfield","Conservative","1427","3077","2485","http://sexymp.co.uk/mp/245.jpg","M","E14000550","65687","Beaconsfield","England","81.3","37","84.2","83","19.9","26","22.1","53","overlapped_by (calculated average)","E07000007"
"Tony Baldry","219","Banbury","Conservative","1438","3095","2548","http://sexymp.co.uk/mp/25.jpg","M","E14000539","66008","Banbury","England","80.1","122","83.7","127","19.1","125","21.7","113","covered_by","E07000177"
"Hugh Bayley","220","York Central","Labour","1530","3038","2855","http://sexymp.co.uk/mp/34.jpg","M","E14001061","65965","York Central","England","79.6","172","83.2","181","18.5","201","21.3","159","covered_by","E06000014"
"David Davis","221","Haltemprice and Howden","Conservative","1439","3026","2497","http://sexymp.co.uk/mp/150.jpg","M","E14000724","65671","Haltemprice and Howden","England","79.6","168","82.9","210","18.7","186","20.8","244","covered_by","E06000011"
"Paul Farrelly","222","Newcastle-under-Lyme","Labour","1519","3118","2893","http://sexymp.co.uk/mp/197.jpg","M","E14000834","65861","Newcastle-under-Lyme","England","78.9","221","82.3","256","18.4","211","20.5","270","covered_by","E07000195"
"John Baron","223","Basildon and Billericay","Conservative","1548","2890","2786","http://sexymp.co.uk/mp/31.jpg","M","E14000544","65898","Basildon and Billericay","England","79.5","176","82.9","213","18.8","175","20.9","228","covered_by","E07000066"
"Tessa Munt","224","Wells","Liberal Democrat","1515","30800","28446","http://sexymp.co.uk/mp/444.jpg","F","E14001026","65560","Wells","England","80.55","89","84.15","89","19.25","96.5","21.75","99","overlapped_by (calculated average)","E07000187,E07000188"
