sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Dan Byles","22","North Warwickshire","Conservative","1442","3629","2188","http://sexymp.co.uk/mp/93.jpg","E14000854","66024","North Warwickshire","England","546600","269600","277000","4823","2371","2452","28","21","46","8.8","495.1","593.6","415.4","4.5","3.3","7.3","covered_by","E10000031"
"Amber Rudd","23","Hastings and Rye","Conservative","1514","37460","26154","http://sexymp.co.uk/mp/519.jpg","E14000735","65640","Hastings and Rye","England","527200","254100","273100","6139","2820","3319","21","16","36","11.6","496","586.5","421.3","3.9","3","6.6","covered_by","E10000011"
"Karen Bradley","24","Staffordshire Moorlands","Conservative","1636","32561","27232","http://sexymp.co.uk/mp/63.jpg","E14000966","65907","Staffordshire Moorlands","England","849500","420400","429100","7591","3625","3966","46","33","73","8.9","510.2","589.8","445.6","5.1","3.7","8.1","covered_by","E10000028"
"Damian Collins","25","Folkestone and Hythe","Conservative","1505","3314","2309","http://sexymp.co.uk/mp/121.jpg","E14000704","65779","Folkestone and Hythe","England","1466500","717200","749200","13434","6437","6997","61","38","119","9.2","504.8","603.6","423.2","3.5","2.2","6.7","covered_by","E10000016"
"Dominic Raab","26","Esher and Walton","Conservative","1437","3666","2294","http://sexymp.co.uk/mp/492.jpg","E14000697","66062","Esher and Walton","England","131400","63700","67700","1055","499","556","7","3","11","8","442","519.8","381.5","3.7","1.6","5.8","covered_by","E07000207"
"Nigel Evans","27","Ribble Valley","Conservative","1574","3073","2411","http://sexymp.co.uk/mp/193.jpg","E14000894","65579","Ribble Valley","England","1171600","575400","596100","11676","5661","6015","74","48","116","10","579.4","683.7","490.2","5.4","3.5","8.4","covered_by","E10000017"
"Daniel Kawczynski","28","Shrewsbury and Atcham","Conservative","1444","3743","2393","http://sexymp.co.uk/mp/334.jpg","E14000926","65563","Shrewsbury and Atcham","England","307100","152200","154900","2987","1395","1592","10","7","14","9.7","485.3","555","425.4","3.5","2.4","4.8","covered_by","E06000051"
"Aiden Burley","29","Cannock Chase","Conservative","1432","3482","2192","http://sexymp.co.uk/mp/85.jpg","E14000618","65790","Cannock Chase","England","97600","48200","49400","780","394","386","7","5","9","8","534.4","649.2","437.9","6.2","4.4","7.9","covered_by","E07000192"
"Rehman Chishti","30","Gillingham and Rainham","Conservative","1464","3307","2208","http://sexymp.co.uk/mp/108.jpg","E14000711","65864","Gillingham and Rainham","England","264900","131400","133500","2013","978","1035","12","8","23","7.6","557.6","658.6","474.8","3.4","2.2","6.4","covered_by","E06000035"
"David Davies","31","Monmouth","Conservative","1550","3114","2382","http://sexymp.co.uk/mp/146.jpg","W07000054","66084","Monmouth","Wales","91350","44700","46650","896.5","445.5","451","5.5","4","9","9.8","529.25","643.4000000000001","433.45000000000005","5.75","2.75","9.25","overlapped_by (calculated average)","W06000020,W06000021"
"Duncan Hames","32","Chippenham","Liberal Democrat","1506","3577","2578","http://sexymp.co.uk/mp/254.jpg","E14000635","65940","Chippenham","England","474300","234300","240100","4138","1964","2174","19","17","39","8.7","476","553.2","413.3","3.5","3.1","7.1","covered_by","E06000054"
"Harriet Baldwin","33","West Worcestershire","Conservative","1526","35055","26179","http://sexymp.co.uk/mp/26.jpg","E14001035","65758","West Worcestershire","England","566600","278900","287600","5290","2527","2763","15","10","37","9.3","488.9","572.4","416.6","2.4","1.6","5.9","covered_by","E10000034"
"Mark Field","34","Cities of London and Westminster","Conservative","1460","3497","2351","http://sexymp.co.uk/mp/201.jpg","E14000639","65759","Cities of London and Westminster","England","219600","112000","107600","1083","560","523","11","7","16","4.9","442.6","514.6","375.5","3.6","2.3","5.2","overlapped_by (calculated average)","E09000033"
"Helen Grant","35","Maidstone and The Weald","Conservative","1601","32374","27011","http://sexymp.co.uk/mp/237.jpg","E14000804","65936","Maidstone and The Weald","England","1466500","717200","749200","13434","6437","6997","61","38","119","9.2","504.8","603.6","423.2","3.5","2.2","6.7","covered_by","E10000016"
