sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Louise Bagshawe","27","Corby","Conservative","1569","40768","32358","http://sexymp.co.uk/mp/20.jpg","E14000648","65590","Corby","England","80","135","83.1","185","18.8","165","20.9","230","overlapped_by (calculated average)","E07000152"
"Damian hinds","28","East Hampshire","Conservative","1487","3203","2266","http://sexymp.co.uk/mp/287.jpg","E14000680","65569","East Hampshire","England","81.2","43","84.2","85","19.6","54","21.6","133","covered_by","E07000085"
"Karl McCartney","29","Lincoln","Conservative","1529","3117","2371","http://sexymp.co.uk/mp/396.jpg","E14000792","65704","Lincoln","England","79.2","187.5","82.55","233","18.35","209.5","20.9","215.5","overlapped_by (calculated average)","E07000138,E07000139"
"Craig Whittacker","30","Calder Valley","Conservative","1503","3127","2301","http://sexymp.co.uk/mp/621.jpg","E14000614","65906","Calder Valley","England","77.5","308","82.2","267","17.5","311","20.7","253","covered_by","E08000033"
"Adam Holloway","31","Gravesham","Conservative","1471","3236","2266","http://sexymp.co.uk/mp/294.jpg","E14000715","65944","Gravesham","England","79.6","174","83.4","160","18.8","160","21.1","197","covered_by","E07000109"
"David Ruffley","32","Bury St Edmunds","Conservative","1415","3406","2180","http://sexymp.co.uk/mp/521.jpg","E14000613","66035","Bury St Edmunds","England","81.6","21.5","84.55000000000001","58","19.7","47","22.25","52.5","overlapped_by (calculated average)","E07000203,E07000204"
"Mark Harper","33","Forest of Dean","Conservative","1396","3786","2361","http://sexymp.co.uk/mp/264.jpg","E14000705","66064","Forest of Dean","England","80.2","121","84.1","89","18.9","147","22.1","52","overlapped_by (calculated average)","E07000083"
"Andrew Jones","34","Harrogate and Knaresborough","Conservative","1477","3167","2272","http://sexymp.co.uk/mp/324..jpg","E14000730","65578","Harrogate and Knaresborough","England","80.6","85","83.8","121","19.3","101","21.8","105","covered_by","E07000165"
"Anne Marie Morris","35","Newton Abbot","Conservative","1616","30633","26963","http://sexymp.co.uk/mp/434.jpg","E14000835","65828","Newton Abbot","England","80.1","133","84","107","18.9","157","21.9","85","covered_by","E07000045"
"Karen Bradley","36","Staffordshire Moorlands","Conservative","1569","33413","27691","http://sexymp.co.uk/mp/63.jpg","E14000966","65907","Staffordshire Moorlands","England","79.25","198","82.9","203.5","18.6","189","20.85","222.5","overlapped_by (calculated average)","E07000195,E07000198"
"Jonathan Djanogly","37","Huntingdon","Conservative","1563","2997","2480","http://sexymp.co.uk/mp/155.jpg","E14000757","65592","Huntingdon","England","80.9","60","84.4","71","19.5","69","21.7","108","covered_by","E07000011"
"Michael Dugher","38","Barnsley East","Labour","1514","3367","2596","http://sexymp.co.uk/mp/172.jpg","E14000542","66012","Barnsley East","England","77.8","288","81.5","311","17.6","298","19.9","317","covered_by","E08000016"
"Jamie Reed","39","Copeland","Labour","1428","4127","2769","http://sexymp.co.uk/mp/497.jpg","E14000647","65893","Copeland","England","78.2","262","81.9","287","17.9","267","20.3","284","overlapped_by (calculated average)","E07000026"
"Sarah Teather","40","Brent Central","Liberal Democrat","1446","49493","34177","http://sexymp.co.uk/mp/581.jpg","E14000591","66065","Brent Central","England","79.9","145","84.5","59","19.2","105","22.4","36","covered_by","E09000005"
"Stuart Andrew","41","Pudsey","Conservative","1439","3331","2279","http://sexymp.co.uk/mp/15.jpg","E14000886","65637","Pudsey","England","78","272","82.1","272","17.7","292","20.3","291","covered_by","E08000035"
"Jesse Norman","42","Hereford and South Herefordshire","Conservative","1484","3664","2701","http://sexymp.co.uk/mp/457.jpg","E14000743","65582","Hereford and South Herefordshire","England","79.7","157","83.7","124","18.9","155","22","70","covered_by","E06000019"
"Brian Donohoe","43","Central Ayrshire","Labour","1491","3815","2855","http://sexymp.co.uk/mp/162.jpg","S14000010","14407","Central Ayrshire","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Eleanor Laing","44","Epping Forest","Conservative","1493","36956","27729","http://sexymp.co.uk/mp/344.jpg","E14000693","66044","Epping Forest","England","80.2","114","83.8","123","19.3","103","21.5","143","covered_by","E07000072"
"Rob Wilson","45","Reading East","Conservative","1459","3344","2375","http://sexymp.co.uk/mp/634.jpg","E14000889","65973","Reading East","England","80","136","83.6","140","18.9","143","21.35","158.5","overlapped_by (calculated average)","E06000038,E06000041"
"Christopher Pincher","46","Tamworth","Conservative","1494","3174","2393","http://sexymp.co.uk/mp/484.jpg","E14000986","65880","Tamworth","England","79.9","146","82.9","212","18.5","206","20.7","247","overlapped_by (calculated average)","E07000194"
"Andrew Gwynne","47","Denton and Reddish","Labour","1607","3094","2755","http://sexymp.co.uk/mp/249.jpg","E14000661","65924","Denton and Reddish","England","78.05","246.5","81.85","261.5","18.05","233.5","20.200000000000003","252","overlapped_by (calculated average)","E08000007,E08000008"
"Smith Henry","48","Crawley","Conservative","1409","3666","2409","http://sexymp.co.uk/mp/549.jpg","E14000652","65781","Crawley","England","79.4","183","83.6","138","18.7","187","21.8","95","covered_by","E07000226"
"Rehman Chishti","49","Gillingham and Rainham","Conservative","1422","3344","2266","http://sexymp.co.uk/mp/108.jpg","E14000711","65864","Gillingham and Rainham","England","78.5","243","82.2","268","17.7","291","20.4","277","covered_by","E06000035"
"George Eustice","50","Camborne and Redruth","Conservative","1391","3562","2282","http://sexymp.co.uk/mp/189.jpg","E14000616","65826","Camborne and Redruth","England","79.5","179","83.5","146","19","143","21.3","160","covered_by","E06000052"
"Graham Evans","51","Weaver Vale","Conservative","1594","2997","2639","http://sexymp.co.uk/mp/191.jpg","E14001024","65769","Weaver Vale","England","78.15","260.5","81.69999999999999","275.5","17.8","266.5","20.05","288","overlapped_by (calculated average)","E06000050,E06000006"
"Jake Berry","52","Rossendale and Darwen","Conservative","1377","3764","2351","http://sexymp.co.uk/mp/47.jpg","E14000902","66019","Rossendale and Darwen","England","77.05","316.5","81.25","316","17.299999999999997","320.5","19.65","322.5","overlapped_by (calculated average)","E06000008,E07000125"
"Chris Skidmore","53","Kingswood","Conservative","1379","3642","2278","http://sexymp.co.uk/mp/543.jpg","E14000774","66053","Kingswood","England","81","52","84.6","48","19.6","60","21.8","93","covered_by","E06000025"
"Mark Garnier","54","Wyre Forest","Conservative","1457","3418","2468","http://sexymp.co.uk/mp/219.jpg","E14001058","66078","Wyre Forest","England","79.2","206","83","196","18.8","172","21.1","186","covered_by","E07000239"
"David Laws","55","Yeovil","Liberal Democrat","1473","3567","2640","http://sexymp.co.uk/mp/351.jpg","E14001060","65935","Yeovil","England","80.9","64","84.4","72","19.6","59","22.1","54","covered_by","E07000189"
"James Wharton","56","Stockton South","Conservative","1405","3439","2271","http://sexymp.co.uk/mp/616.jpg","E14000971","65908","Stockton South","England","78.3","254","82.3","254","17.8","278","20.7","251","covered_by","E06000004"
"Tracey Crouch","57","Chatham and Aylesford","Conservative","1576","34067","29456","http://sexymp.co.uk/mp/133.jpg","E14000626","66075","Chatham and Aylesford","England","79.55","164.5","83.30000000000001","172","18.4","207","21.2","170.5","overlapped_by (calculated average)","E06000035,E07000115"
"Jon Ashworth","58","Leicester South","Labour","1565","3040","2599","http://sexymp.co.uk/mp/17.jpg","E14000783","65604","Leicester South","England","77","326","81.8","293","17.3","320","20.3","292","covered_by","E06000016"
"Daniel Kawczynski","59","Shrewsbury and Atcham","Conservative","1395","3785","2473","http://sexymp.co.uk/mp/334.jpg","E14000926","65563","Shrewsbury and Atcham","England","79.8","151","83.8","117","19","135","21.6","127","covered_by","E06000051"
"Jessica Lee","60","Erewash","Conservative","1588","31330","27621","http://sexymp.co.uk/mp/354.jpg","E14000695","65743","Erewash","England","79.8","153","83.6","131","18.3","221","21.7","115","covered_by","E07000036"
