sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country"
"Chris White","43","Warwick and Leamington","Conservative","1442","3440","2254","http://sexymp.co.uk/mp/618.jpg","M","E14001019","65608","Warwick and Leamington","England"
"Tobias Ellwood","44","Bournemouth East","Conservative","1424","3754","2404","http://sexymp.co.uk/mp/185.jpg","M","E14000584","65993","Bournemouth East","England"
"Adam Afriyie","45","Windsor","Conservative","1534","3378","2595","http://sexymp.co.uk/mp/5.jpg","M","E14001042","65552","Windsor","England"
"Malcom Wicks","46","Croydon North","Labour","1560","2884","2300","http://sexymp.co.uk/mp/623.jpg","M","E14000655","65867","Croydon North","England"
"Cheryl Gillan","47","Chesham and Amersham","Conservative","1681","29498","27712","http://sexymp.co.uk/mp/225.jpg","F","E14000631","65801","Chesham and Amersham","England"
"James Duddridge","48","Rochford and Southend East","Conservative","1549","3285","2598","http://sexymp.co.uk/mp/171.jpg","M","E14000899","65584","Rochford and Southend East","England"
"Sheryll Murray","49","South East Cornwall","Conservative","1726","27793","27813","http://sexymp.co.uk/mp/449.jpg","F","E14000938","65684","South East Cornwall","England"
"Oliver Heald","50","North East Hertfordshire","Conservative","1548","3076","2450","http://sexymp.co.uk/mp/273.jpg","M","E14000845","65840","North East Hertfordshire","England"
"George Hollinberry","51","Meon Valley","Conservative","1477","3393","2434","http://sexymp.co.uk/mp/292.jpg","M","E14000811","65772","Meon Valley","England"
"Dominic Raab","52","Esher and Walton","Conservative","1415","3740","2418","http://sexymp.co.uk/mp/492.jpg","M","E14000697","66062","Esher and Walton","England"
"Tracey Crouch","53","Chatham and Aylesford","Conservative","1598","34272","29576","http://sexymp.co.uk/mp/133.jpg","F","E14000626","66075","Chatham and Aylesford","England"
"Jackie Doyle-Price","54","Thurrock","Conservative","1651","29064","26875","http://sexymp.co.uk/mp/168.jpg","F","E14000995","65919","Thurrock","England"
"Margot James","55","Stourbridge","Conservative","1612","31401","27615","http://sexymp.co.uk/mp/314.jpg","F","E14000976","65609","Stourbridge","England"
