sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country"
"Clive Betts","173","Sheffield South East","Labour","1506","3185","2814","http://sexymp.co.uk/mp/48.jpg","M","E14000920","65793","Sheffield South East","England"
"Alun Cairns","174","Vale of Glamorgan","Conservative","1389","3144","2318","http://sexymp.co.uk/mp/96.jpg","M","W07000078","66098","Vale of Glamorgan","Wales"
"Graham Evans","175","Weaver Vale","Conservative","1504","3019","2666","http://sexymp.co.uk/mp/191.jpg","M","E14001024","65769","Weaver Vale","England"
"Jake Berry","176","Rossendale and Darwen","Conservative","1306","3775","2394","http://sexymp.co.uk/mp/47.jpg","M","E14000902","66019","Rossendale and Darwen","England"
"Iain Stewart","177","Milton Keynes South","Conservative","1417","3258","2517","http://sexymp.co.uk/mp/563.jpg","M","E14000822","66076","Milton Keynes South","England"
"Graham Brady","178","Altrincham and Sale West","Conservative","1438","3152","2522","http://sexymp.co.uk/mp/65.jpg","M","E14000532","65892","Altrincham and Sale West","England"
"Malcom Bruce","179","Gordon","Liberal Democrat","1512","3049","2724","http://sexymp.co.uk/mp/80.jpg","M","S14000037","14433","Gordon","Scotland"
"Nadhim Zawahi","180","Stratford-on-Avon","Conservative","1478","3107","2647","http://sexymp.co.uk/mp/649.jpg","M","E14000977","65648","Stratford-on-Avon","England"
"Alan Duncan","181","Rutland and Melton","Conservative","1436","3081","2468","http://sexymp.co.uk/mp/173.jpg","M","E14000909","65833","Rutland and Melton","England"
"Jane Ellison","182","Battersea","Conservative","1712","26009","29894","http://sexymp.co.uk/mp/183.jpg","F","E14000549","65731","Battersea","England"
"Matthew Hancock","183","West Suffolk","Conservative","1367","3188","2283","http://sexymp.co.uk/mp/259.jpg","M","E14001034","65629","West Suffolk","England"
"George Osborne","184","Tatton","Conservative","1422","3708","2907","http://sexymp.co.uk/mp/465.jpg","M","E14000987","65964","Tatton","England"
"Hugo Swire","185","East Devon","Conservative","1535","3167","2935","http://sexymp.co.uk/mp/577.jpg","M","E14000678","65813","East Devon","England"
"Simon Burns","186","Chelmsford","Conservative","1530","3049","2801","http://sexymp.co.uk/mp/88.jpg","M","E14000628","65797","Chelmsford","England"
"Nigel Evans","187","Ribble Valley","Conservative","1424","3145","2484","http://sexymp.co.uk/mp/193.jpg","M","E14000894","65579","Ribble Valley","England"
"Kevan Jones","188","North Durham","Labour","1497","3037","2672","http://sexymp.co.uk/mp/328.jpg","M","E14000840","65745","North Durham","England"
"Tony Lloyd","189","Manchester Central","Labour","1559","2970","2847","http://sexymp.co.uk/mp/369.jpg","M","E14000807","66048","Manchester Central","England"
"Anne McIntosh","190","Thirsk and Malton","Conservative","1743","25500","30336","http://sexymp.co.uk/mp/407.jpg","F","E14000993","65686","Thirsk and Malton","England"
"Mark Menzies","191","Fylde","Conservative","1522","3036","2768","http://sexymp.co.uk/mp/416.jpg","M","E14000706","65955","Fylde","England"
"Christopher Pincher","192","Tamworth","Conservative","1401","3187","2422","http://sexymp.co.uk/mp/484.jpg","M","E14000986","65880","Tamworth","England"
"Frank Field","193","Birkenhead","Labour","1478","3005","2583","http://sexymp.co.uk/mp/200.jpg","M","E14000559","65581","Birkenhead","England"
"Robert Syms","194","Poole","Conservative","1497","2928","2585","http://sexymp.co.uk/mp/578.jpg","M","E14000881","65860","Poole","England"
"Gareth Thomas","195","Harrow West","Labour Co-operative","1504","3129","2791","http://sexymp.co.uk/mp/582.jpg","M","E14000732","65796","Harrow West","England"
"Ian Austin","196","Dudley North","Labour","1573","2923","2868","http://sexymp.co.uk/mp/18.jpg","M","E14000671","65806","Dudley North","England"
"Chris Evans","197","Islwyn","Labour Co-operative","1309","4434","2872","http://sexymp.co.uk/mp/190.jpg","M","W07000077","66097","Islwyn","Wales"
"Sarah Newton","198","Truro and Falmouth","Conservative","1690","25904","29205","http://sexymp.co.uk/mp/455.jpg","F","E14001003","65659","Truro and Falmouth","England"
"Jim Cunningham","199","Coventry South","Labour","1450","3532","2930","http://sexymp.co.uk/mp/137.jpg","M","E14000651","65877","Coventry South","England"
"Alistair Darling","200","Edinburgh South West","Labour","1491","3128","2751","http://sexymp.co.uk/mp/142.jpg","M","S14000025","14422","Edinburgh South West","Scotland"
"Liam Fox","201","North Somerset","Conservative","1416","3368","2644","http://sexymp.co.uk/mp/208.jpg","M","E14000850","65817","North Somerset","England"
"Dai Harvard","202","Merthyr Tydfil and Rhymney","Labour","1540","2999","2827","http://sexymp.co.uk/mp/271.jpg","M","W07000071","66086","Merthyr Tydfil and Rhymney","Wales"
"Kelvin Hopkins","203","Luton North","Labour","1703","2776","3187","http://sexymp.co.uk/mp/296.jpg","M","E14000800","65887","Luton North","England"
"Michael Moore","204","Berwickshire, Roxburgh and Selkirk","Liberal Democrat","1443","3300","2708","http://sexymp.co.uk/mp/429.jpg","M","S14000008","14405","Berwickshire, Roxburgh and Selkirk","Scotland"
"Andrew Stephenson","205","Pendle","Conservative","1403","3083","2370","http://sexymp.co.uk/mp/560.jpg","M","E14000875","65668","Pendle","England"
"Jack Straw","206","Blackburn","Labour","1591","2902","2917","http://sexymp.co.uk/mp/565.jpg","M","E14000570","65981","Blackburn","England"
"John Whittingdale","207","Maldon","Conservative","1466","3063","2597","http://sexymp.co.uk/mp/622.jpg","M","E14000806","65661","Maldon","England"
"James Gray","208","North Wiltshire","Conservative","1613","2860","2962","http://sexymp.co.uk/mp/238.jpg","M","E14000860","65822","North Wiltshire","England"
"William Hague","209","Richmond (Yorks)","Conservative","1427","3573","2868","http://sexymp.co.uk/mp/251.jpg","M","E14000895","65722","Richmond (Yorks)","England"
"David Hamilton","210","Midlothian","Labour","1527","3081","2857","http://sexymp.co.uk/mp/255.jpg","M","S14000045","14441","Midlothian","Scotland"
"Jim Murphy","211","East Renfrewshire","Labour","1493","3243","2867","http://sexymp.co.uk/mp/446.jpg","M","S14000021","14418","East Renfrewshire","Scotland"
"Mick Crockart","212","Edinburgh West","Liberal Democrat","1610","2840","2939","http://sexymp.co.uk/mp/132.jpg","M","S14000026","14423","Edinburgh West","Scotland"
"David Davies","213","Monmouth","Conservative","1404","3164","2449","http://sexymp.co.uk/mp/146.jpg","M","W07000054","66084","Monmouth","Wales"
"Richard Graham","214","Gloucester","Conservative","1396","3402","2599","http://sexymp.co.uk/mp/236.jpg","M","E14000712","65996","Gloucester","England"
"Alan Campbell","215","Tynemouth","Labour","1557","2919","2827","http://sexymp.co.uk/mp/98.jpg","M","E14001006","65868","Tynemouth","England"
"Karen Lumley","216","Redditch","Conservative","1725","25147","29760","http://sexymp.co.uk/mp/379.jpg","F","E14000892","65700","Redditch","England"
"Jeffrey Donaldson","217","Lagan Valley","Democratic Unionist","1643","2804","3036","http://sexymp.co.uk/mp/161.jpg","M","N06000009","66132","Lagan Valley","Northern Ireland"
"Dominic Greive","218","Beaconsfield","Conservative","1427","3077","2485","http://sexymp.co.uk/mp/245.jpg","M","E14000550","65687","Beaconsfield","England"
"Tony Baldry","219","Banbury","Conservative","1438","3095","2548","http://sexymp.co.uk/mp/25.jpg","M","E14000539","66008","Banbury","England"
"Hugh Bayley","220","York Central","Labour","1530","3038","2855","http://sexymp.co.uk/mp/34.jpg","M","E14001061","65965","York Central","England"
"David Davis","221","Haltemprice and Howden","Conservative","1439","3026","2497","http://sexymp.co.uk/mp/150.jpg","M","E14000724","65671","Haltemprice and Howden","England"
"Paul Farrelly","222","Newcastle-under-Lyme","Labour","1519","3118","2893","http://sexymp.co.uk/mp/197.jpg","M","E14000834","65861","Newcastle-under-Lyme","England"
"John Baron","223","Basildon and Billericay","Conservative","1548","2890","2786","http://sexymp.co.uk/mp/31.jpg","M","E14000544","65898","Basildon and Billericay","England"
"Tessa Munt","224","Wells","Liberal Democrat","1515","30800","28446","http://sexymp.co.uk/mp/444.jpg","F","E14001026","65560","Wells","England"
"Toby Perkins","225","Chesterfield","Labour","1452","3205","2698","http://sexymp.co.uk/mp/479.jpg","M","E14000632","65980","Chesterfield","England"
"Justin Tomlinson","226","North Swindon","Conservative","1373","3180","2362","http://sexymp.co.uk/mp/587.jpg","M","E14000851","65760","North Swindon","England"
"Michael Elliss","227","Northampton North","Conservative","1397","3127","2423","http://sexymp.co.uk/mp/182.jpg","M","E14000861","66059","Northampton North","England"
"James Clappison","228","Hertsmere","Conservative","1424","3051","2473","http://sexymp.co.uk/mp/110.jpg","M","E14000745","65994","Hertsmere","England"
"Loraine Fullbrook","229","South Ribble","Conservative","1735","24872","30024","http://sexymp.co.uk/mp/213.jpg","F","E14000943","65951","South Ribble","England"
"Christopher Chope","230","Christchurch","Conservative","1551","2852","2780","http://sexymp.co.uk/mp/109.jpg","M","E14000638","65885","Christchurch","England"
"Andrew Lansley","231","South Cambridgeshire","Conservative","1424","3282","2671","http://sexymp.co.uk/mp/348.jpg","M","E14000934","65922","South Cambridgeshire","England"
"Graeme Morris","232","Livingston","Labour","1595","2849","2939","http://sexymp.co.uk/mp/433.jpg","M","S14000044","14440","Livingston","Scotland"
"Mark Pritchard","233","The Wrekin","Conservative","1442","3116","2608","http://sexymp.co.uk/mp/489.jpg","M","E14000992","65977","The Wrekin","England"
"Tom Brake","234","Carshalton and Wallington","Liberal Democrat","1446","3174","2669","http://sexymp.co.uk/mp/66.jpg","M","E14000621","65972","Carshalton and Wallington","England"
"Greg Clark","235","Tunbridge Wells","Conservative","1384","3195","2442","http://sexymp.co.uk/mp/111.jpg","M","E14001004","65660","Tunbridge Wells","England"
"Michael McCann","236","East Kilbride, Strathaven and Lesmahagow","Labour","1480","3111","2760","http://sexymp.co.uk/mp/393.jpg","M","S14000019","14416","East Kilbride, Strathaven and Lesmahagow","Scotland"
"Stephen OBrien","237","Eddisbury","Conservative","1469","2988","2611","http://sexymp.co.uk/mp/459.jpg","M","E14000686","65756","Eddisbury","England"
"Iain Wright","238","Hartlepool","Labour","1467","3238","2819","http://sexymp.co.uk/mp/644.jpg","M","E14000733","65990","Hartlepool","England"
"Paul Murphy","239","Torfaen","Labour","1789","2534","3259","http://sexymp.co.uk/mp/447.jpg","M","W07000053","66104","Torfaen","Wales"
"Nick Clegg","240","Sheffield, Hallam","Liberal Democrat","1419","3570","2907","http://sexymp.co.uk/mp/115.jpg","M","E14000922","65741","Sheffield, Hallam","England"
"Andrew Bridgen","241","North West Leicestershire","Conservative","1508","3069","2849","http://sexymp.co.uk/mp/70.jpg","M","E14000858","65776","North West Leicestershire","England"
"Simon Danczuk","242","Rochdale","Labour","1456","3132","2705","http://sexymp.co.uk/mp/141.jpg","M","E14000897","65843","Rochdale","England"
"Barry Gardiner","243","Brent North","Labour","1507","3101","2882","http://sexymp.co.uk/mp/217.jpg","M","E14000592","65595","Brent North","England"
"Fabian Hamilton","244","Leeds North East","Labour","1573","2907","2948","http://sexymp.co.uk/mp/256.jpg","M","E14000779","65866","Leeds North East","England"
"Albert Owen","245","Ynys M!!n","Labour","1727","2606","3158","http://sexymp.co.uk/mp/468.jpg","M","W07000041","66115","Ynys Môn","Wales"
"Andy Burnham","246","Leigh","Labour","1427","3412","2825","http://sexymp.co.uk/mp/86.jpg","M","E14000785","65978","Leigh","England"
"Robert Flello","247","Stoke-on-Trent South","Labour","1474","3093","2753","http://sexymp.co.uk/mp/203.jpg","M","E14000974","65770","Stoke-on-Trent South","England"
"Paul Beresford","248","Mole Valley","Conservative","1444","3121","2655","http://sexymp.co.uk/mp/45.jpg","M","E14000824","65693","Mole Valley","England"
"Bob Stewart","249","Beckenham","Conservative","1569","2798","2831","http://sexymp.co.uk/mp/562.jpg","M","E14000551","65725","Beckenham","England"
"Fiona Bruce","250","Congleton","Conservative","1751","24817","30928","http://sexymp.co.uk/mp/79.jpg","F","E14000646","65771","Congleton","England"
"Chris Kelly","251","Dudley South","Conservative","1266","3968","2479","http://sexymp.co.uk/mp/337.jpg","M","E14000672","66054","Dudley South","England"
"John Leech","252","Manchester, Withington","Liberal Democrat","1448","3183","2732","http://sexymp.co.uk/mp/356.jpg","M","E14000809","65819","Manchester, Withington","England"
"Andrew Smith","253","Oxford East","Labour","1516","2960","2798","http://sexymp.co.uk/mp/546.jpg","M","E14000873","66060","Oxford East","England"
"Edward Timson","254","Crewe and Nantwich","Conservative","1303","3379","2276","http://sexymp.co.uk/mp/586.jpg","M","E14000653","65572","Crewe and Nantwich","England"
"Peter Bone","255","Wellingborough","Conservative","1480","2998","2698","http://sexymp.co.uk/mp/61.jpg","M","E14001025","65830","Wellingborough","England"
"John Glen","256","Salisbury","Conservative","1352","3233","2385","http://sexymp.co.uk/mp/228.jpg","M","E14000912","65889","Salisbury","England"
"Sajid Javid","257","Bromsgrove","Conservative","1450","3054","2637","http://sexymp.co.uk/mp/318.jpg","M","E14000605","65617","Bromsgrove","England"
"Andrew Murrison","258","South West Wiltshire","Conservative","1405","3042","2455","http://sexymp.co.uk/mp/450.jpg","M","E14000954","65956","South West Wiltshire","England"
"Stephen Phillips","259","Sleaford and North Hykeham","Conservative","1396","3236","2572","http://sexymp.co.uk/mp/481.jpg","M","E14000929","65920","Sleaford and North Hykeham","England"
"Derek Twigg","260","Halton","Labour","1457","3168","2764","http://sexymp.co.uk/mp/593.jpg","M","E14000725","65915","Halton","England"
"Lorely Burt","261","Solihull","Liberal Democrat","1547","29522","29187","http://sexymp.co.uk/mp/92.jpg","F","E14000931","65879","Solihull","England"
"Chris Huhne","262","Eastleigh","Liberal Democrat","1459","3111","2727","http://sexymp.co.uk/mp/305.jpg","M","E14000685","65881","Eastleigh","England"
"Gregory Campbell","263","East Londonderry","Democratic Unionist","1508","3088","2907","http://sexymp.co.uk/mp/99.jpg","M","N06000006","66129","East Londonderry","Northern Ireland"
"David Laws","264","Yeovil","Liberal Democrat","1356","3578","2672","http://sexymp.co.uk/mp/351.jpg","M","E14001060","65935","Yeovil","England"
"Michael Fallon","265","Sevenoaks","Conservative","1439","2983","2554","http://sexymp.co.uk/mp/196.jpg","M","E14000918","65698","Sevenoaks","England"
"Paul Maynard","266","Blackpool North and Cleveleys","Conservative","1454","3124","2746","http://sexymp.co.uk/mp/391.jpg","M","E14000572","65750","Blackpool North and Cleveleys","England"
"Nick Smith","267","Blaenau Gwent","Labour","1463","3160","2811","http://sexymp.co.uk/mp/551.jpg","M","W07000072","66093","Blaenau Gwent","Wales"
"Jim Fitzpatrick","268","Poplar and Limehouse","Labour","1464","3115","2786","http://sexymp.co.uk/mp/202.jpg","M","E14000882","65917","Poplar and Limehouse","England"
"David Nuttal","269","Bury North","Conservative","1400","3099","2511","http://sexymp.co.uk/mp/458.jpg","M","E14000611","66015","Bury North","England"
"Geoffrey Robinson","270","Coventry North West","Labour","1714","2963","3607","http://sexymp.co.uk/mp/512.jpg","M","E14000650","65575","Coventry North West","England"
"Peter Bottomley","271","Worthing West","Conservative","1443","3082","2670","http://sexymp.co.uk/mp/62.jpg","M","E14001055","65562","Worthing West","England"
"Edward Davey","272","Kingston and Surbiton","Liberal Democrat","1519","2858","2767","http://sexymp.co.uk/mp/143.jpg","M","E14000770","65778","Kingston and Surbiton","England"
"Ian Paisley","273","North Antrim","Democratic Unionist","1360","3346","2552","http://sexymp.co.uk/mp/470.jpg","M","N06000012","66135","North Antrim","Northern Ireland"
"Mark Prisk","274","Hertford and Stortford","Conservative","1437","3043","2619","http://sexymp.co.uk/mp/488.jpg","M","E14000744","66003","Hertford and Stortford","England"
"Kevin Brennan","275","Cardiff West","Labour","1430","3255","2771","http://sexymp.co.uk/mp/69.jpg","M","W07000079","66114","Cardiff West","Wales"
"David Mowat","276","Warrington South","Conservative","1445","3005","2625","http://sexymp.co.uk/mp/439.jpg","M","E14001018","65916","Warrington South","England"
"Mark Reckless","277","Rochester and Strood","Conservative","1453","3002","2657","http://sexymp.co.uk/mp/495.jpg","M","E14000898","66043","Rochester and Strood","England"
"Jacob Rees-Mogg","278","North East Somerset","Conservative","1450","3169","2788","http://sexymp.co.uk/mp/498.jpg","M","E14000846","65619","North East Somerset","England"
"Rory Stewart","279","Penrith and The Border","Conservative","1386","3133","2498","http://sexymp.co.uk/mp/564.jpg","M","E14000877","66081","Penrith and The Border","England"
"Geoffrey Cox","280","Torridge and West Devon","Conservative","1506","2879","2753","http://sexymp.co.uk/mp/127.jpg","M","E14001000","65904","Torridge and West Devon","England"
"Stephen Gilbert","281","St Austell and Newquay","Liberal Democrat","1477","2900","2663","http://sexymp.co.uk/mp/223.jpg","M","E14000961","65591","St Austell and Newquay","England"
"Stewart Hosie","282","Dundee East","Scottish National Party","1487","3025","2818","http://sexymp.co.uk/mp/299.jpg","M","S14000015","14412","Dundee East","Scotland"
"Grant Shapps","283","Welwyn Hatfield","Conservative","1449","3017","2659","http://sexymp.co.uk/mp/531.jpg","M","E14001027","65740","Welwyn Hatfield","England"
"Jeremy Corbyn","284","Islington North","Labour","1502","3064","2917","http://sexymp.co.uk/mp/126.jpg","M","E14000763","65937","Islington North","England"
"Peter Luff","285","Mid Worcestershire","Conservative","1546","2878","2908","http://sexymp.co.uk/mp/378.jpg","M","E14000818","65888","Mid Worcestershire","England"
"Jim McGovern","286","Dundee West","Labour","1559","2863","2941","http://sexymp.co.uk/mp/404.jpg","M","S14000016","14413","Dundee West","Scotland"
"Stephen Dorrell","287","Charnwood","Conservative","1388","3048","2460","http://sexymp.co.uk/mp/164.jpg","M","E14000625","65615","Charnwood","England"
"Nigel Adams","288","Selby and Ainsty","Conservative","1469","2919","2665","http://sexymp.co.uk/mp/4.jpg","M","E14000917","65842","Selby and Ainsty","England"
"Mark Spencer","289","Sherwood","Conservative","1408","3160","2635","http://sexymp.co.uk/mp/558.jpg","M","E14000924","65632","Sherwood","England"
"John Woodcock","290","Barrow and Furness","Labour Co-operative","1424","3217","2748","http://sexymp.co.uk/mp/641.jpg","M","E14000543","66006","Barrow and Furness","England"
"Conor Burns","291","Bournemouth West","Conservative","1525","2903","2860","http://sexymp.co.uk/mp/87.jpg","M","E14000585","65933","Bournemouth West","England"
"Charles Hendry","292","Wealden","Conservative","1547","2762","2808","http://sexymp.co.uk/mp/280.jpg","M","E14001023","65961","Wealden","England"
"David Jones","293","Clwyd West","Conservative","1434","3125","2720","http://sexymp.co.uk/mp/325.jpg","M","W07000059","66100","Clwyd West","Wales"
"Jonathan Lord","294","Woking","Conservative","1390","3042","2479","http://sexymp.co.uk/mp/373.jpg","M","E14001047","66039","Woking","England"
"Andrew Percy","295","Brigg and Goole","Conservative","1442","2942","2596","http://sexymp.co.uk/mp/478.jpg","M","E14000596","66000","Brigg and Goole","England"
"Philip Hammond","296","Runnymede and Weybridge","Conservative","1422","3015","2591","http://sexymp.co.uk/mp/257.jpg","M","E14000907","65589","Runnymede and Weybridge","England"
"Alok Sharma","297","Reading West","Conservative","1536","2775","2794","http://sexymp.co.uk/mp/532.jpg","M","E14000890","65982","Reading West","England"
"Dennis Skinner","298","Bolsover","Labour","1551","3156","3245","http://sexymp.co.uk/mp/544.jpg","M","E14000577","65628","Bolsover","England"
"Andy Slaughter","299","Hammersmith","Labour","1664","2681","3148","http://sexymp.co.uk/mp/545.jpg","M","E14000726","65836","Hammersmith","England"
"Jerem Wright","300","Kenilworth and Southam","Conservative","1491","2912","2762","http://sexymp.co.uk/mp/645.jpg","M","E14000767","65968","Kenilworth and Southam","England"
"Mark Hoban","301","Fareham","Conservative","1527","2847","2845","http://sexymp.co.uk/mp/288.jpg","M","E14000699","65857","Fareham","England"
"Sadiq Khan","302","Tooting","Labour","1595","3006","3277","http://sexymp.co.uk/mp/340.jpg","M","E14000998","65554","Tooting","England"
"Crispin Blunt","303","Reigate","Conservative","1367","3190","2528","http://sexymp.co.uk/mp/59.jpg","M","E14000893","66005","Reigate","England"
"Greg Mulholland","304","Leeds North West","Liberal Democrat","1487","2832","2695","http://sexymp.co.uk/mp/441.jpg","M","E14000780","66068","Leeds North West","England"
"Neil Parish","305","Tiverton and Honiton","Conservative","1504","2836","2761","http://sexymp.co.uk/mp/471.jpg","M","E14000996","65761","Tiverton and Honiton","England"
"John Spellar","306","Warley","Labour","1652","2820","3297","http://sexymp.co.uk/mp/556.jpg","M","E14001016","66079","Warley","England"
"Dan Jarvis","307","Barnsley Central","Labour","1369","3555","2840","http://sexymp.co.uk/mp/317.jpg","M","E14000541","65665","Barnsley Central","England"
"Alan Keen","308","Feltham and Heston","Labour Co-operative","1540","3031","3103","http://sexymp.co.uk/mp/336.jpg","M","E14000701","65655","Feltham and Heston","England"
"Kris Hopkins","309","Keighley","Conservative","1471","2941","2749","http://sexymp.co.uk/mp/297.jpg","M","E14000766","65871","Keighley","England"
"Andrew Selous","310","South West Bedfordshire","Conservative","1398","3015","2534","http://sexymp.co.uk/mp/529.jpg","M","E14000949","65848","South West Bedfordshire","England"
"Graham Stuart","311","Beverley and Holderness","Conservative","1541","2803","2886","http://sexymp.co.uk/mp/570.jpg","M","E14000556","65934","Beverley and Holderness","England"
"Bill Wiggin","312","North Herefordshire","Conservative","1382","3257","2675","http://sexymp.co.uk/mp/624.jpg","M","E14000847","65642","North Herefordshire","England"
"Simon Wright","313","Norwich South","Liberal Democrat","1429","3004","2653","http://sexymp.co.uk/mp/646.jpg","M","E14000864","65634","Norwich South","England"
"Chris Grayling","314","Epsom and Ewell","Conservative","1402","3129","2662","http://sexymp.co.uk/mp/239.jpg","M","E14000694","65803","Epsom and Ewell","England"
"Jeremy Lefroy","315","Stafford","Conservative","1380","3013","2474","http://sexymp.co.uk/mp/357.jpg","M","E14000965","66067","Stafford","England"
"Nick de Bois","316","Enfield North","Conservative","1453","2815","2585","http://sexymp.co.uk/mp/151.jpg","M","E14000691","66050","Enfield North","England"
"Huw Irranca-Davies","317","Ogmore","Labour","1350","3581","2805","http://sexymp.co.uk/mp/311.jpg","M","W07000074","66107","Ogmore","Wales"
"Gavin Shuker","318","Luton South","Labour Co-operative","1429","3132","2788","http://sexymp.co.uk/mp/538.jpg","M","E14000801","66080","Luton South","England"
"Peter Lilley","319","Hitchin and Harpenden","Conservative","1389","3138","2636","http://sexymp.co.uk/mp/367.jpg","M","E14000749","65724","Hitchin and Harpenden","England"
"Neil Carmichael","320","Stroud","Conservative","1456","2972","2768","http://sexymp.co.uk/mp/103.jpg","M","E14000980","65858","Stroud","England"
"Martin Vickers","321","Cleethorpes","Conservative","1541","2777","2908","http://sexymp.co.uk/mp/602.jpg","M","E14000643","66057","Cleethorpes","England"
"Pete Wishart","322","Perth and North Perthshire","Scottish National Party","1490","2936","2873","http://sexymp.co.uk/mp/638.jpg","M","S14000054","14451","Perth and North Perthshire","Scotland"
"Philip Hollobone","323","Kettering","Conservative","1571","2734","2980","http://sexymp.co.uk/mp/293.jpg","M","E14000769","66001","Kettering","England"
"Andrew Mitchell","324","Sutton Coldfield","Conservative","1466","3117","2956","http://sexymp.co.uk/mp/426.jpg","M","E14000985","65703","Sutton Coldfield","England"
"Steve Rotherham","325","Liverpool, Walton","Labour","1736","2443","3197","http://sexymp.co.uk/mp/515.jpg","M","E14000794","65970","Liverpool, Walton","England"
"Gareth Johnson","326","Dartford","Conservative","1417","3074","2728","http://sexymp.co.uk/mp/322.jpg","M","E14000659","66011","Dartford","England"
"Laurence Robertson","327","Tewkesbury","Conservative","1504","2836","2841","http://sexymp.co.uk/mp/511.jpg","M","E14000990","65976","Tewkesbury","England"
"Damian Green","328","Ashford","Conservative","1568","2664","2907","http://sexymp.co.uk/mp/241.jpg","M","E14000536","65811","Ashford","England"
"David Anderson","329","Blaydon","Labour","1574","2766","3051","http://sexymp.co.uk/mp/14.jpg","M","E14000574","65805","Blaydon","England"
"Tim Laughton","330","East Worthing and Shoreham","Conservative","1397","2986","2591","http://sexymp.co.uk/mp/374.jpg","M","E14000682","65780","East Worthing and Shoreham","England"
"Stewart Jackson","331","Peterborough","Conservative","1521","2746","2845","http://sexymp.co.uk/mp/313.jpg","M","E14000878","65649","Peterborough","England"
"Iain Duncan Smith","332","Chingford and Woodford Green","Conservative","1556","2743","2975","http://sexymp.co.uk/mp/174.jpg","M","E14000634","65721","Chingford and Woodford Green","England"
"Kwasi Kwarteng","333","Spelthorne","Conservative","1419","3013","2717","http://sexymp.co.uk/mp/343.jpg","M","E14000959","65942","Spelthorne","England"
"Anne Milton","334","Guildford","Conservative","1737","23687","31469","http://sexymp.co.uk/mp/425.jpg","F","E14000719","65838","Guildford","England"
"Guy Opperman","335","Hexham","Conservative","1352","3041","2471","http://sexymp.co.uk/mp/464.jpg","M","E14000746","65850","Hexham","England"
"Danny Alexander","336","Inverness, Nairn, Badenoch and Strathspey","Liberal Democrat","1536","2849","3015","http://sexymp.co.uk/mp/8.jpg","M","S14000039","14435","Inverness, Nairn, Badenoch and Strathspey","Scotland"
"Andrew George","337","St Ives","Liberal Democrat","1402","3001","2650","http://sexymp.co.uk/mp/221.jpg","M","E14000964","65854","St Ives","England"
"Robert Goodwill","338","Scarborough and Whitby","Conservative","1478","2947","2896","http://sexymp.co.uk/mp/234.jpg","M","E14000913","65891","Scarborough and Whitby","England"
"Eric Joyce","339","Falkirk","Labour","1406","3058","2710","http://sexymp.co.uk/mp/332.jpg","M","S14000028","14424","Falkirk","Scotland"
"David Miliband","340","South Shields","Labour","1406","4044","3592","http://sexymp.co.uk/mp/420.jpg","M","E14000944","65719","South Shields","England"
"John Stevenson","341","Carlisle","Conservative","1475","2962","2904","http://sexymp.co.uk/mp/561.jpg","M","E14000620","65929","Carlisle","England"
"Adrian Bailey","342","West Bromwich West","Labour Co-operative","1723","2583","3414","http://sexymp.co.uk/mp/21.jpg","M","E14001030","66047","West Bromwich West","England"
"Mike Weatherley","343","Hove","Conservative","1594","2662","3055","http://sexymp.co.uk/mp/613.jpg","M","E14000755","65691","Hove","England"
"John Redwood","344","Wokingham","Conservative","1411","3026","2735","http://sexymp.co.uk/mp/496.jpg","M","E14001048","65774","Wokingham","England"
"Jonathan Edwards","345","Carmarthen East and Dinefwr","Plaid Cymru","1379","3117","2693","http://sexymp.co.uk/mp/179.jpg","M","W07000067","66089","Carmarthen East and Dinefwr","Wales"
"Ivan Lewis","346","Bury South","Labour","1615","2640","3122","http://sexymp.co.uk/mp/363.jpg","M","E14000612","65975","Bury South","England"
"Roger Gale","347","North Thanet","Conservative","1489","2800","2842","http://sexymp.co.uk/mp/215.jpg","M","E14000852","65605","North Thanet","England"
"Edward Leigh","348","Gainsborough","Conservative","1538","2791","3018","http://sexymp.co.uk/mp/358.jpg","M","E14000707","65952","Gainsborough","England"
"Jon Cruddas","349","Dagenham and Rainham","Labour","1364","3275","2789","http://sexymp.co.uk/mp/134.jpg","M","E14000657","65985","Dagenham and Rainham","England"
"John Howell","350","Henley","Conservative","1546","2725","2992","http://sexymp.co.uk/mp/302.jpg","M","E14000742","65786","Henley","England"
"Nick Gibb","351","Bognor Regis and Littlehampton","Conservative","1499","2743","2842","http://sexymp.co.uk/mp/222.jpg","M","E14000576","65841","Bognor Regis and Littlehampton","England"
"Gavin Barwell","352","Croydon Central","Conservative","1451","3011","2925","http://sexymp.co.uk/mp/33.jpg","M","E14000654","65603","Croydon Central","England"
"Simon Kirby","353","Brighton, Kemptown","Conservative","1387","3085","2736","http://sexymp.co.uk/mp/341.jpg","M","E14000597","65844","Brighton, Kemptown","England"
"Peter Aldous","354","Waveney","Conservative","1533","2872","3122","http://sexymp.co.uk/mp/7.jpg","M","E14001022","66004","Waveney","England"
"David Gauke","355","South West Hertfordshire","Conservative","1411","2931","2703","http://sexymp.co.uk/mp/220.jpg","M","E14000951","65596","South West Hertfordshire","England"
"David Ward","356","Bradford East","Liberal Democrat","1376","2998","2619","http://sexymp.co.uk/mp/609.jpg","M","E14000587","65694","Bradford East","England"
