sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Gregg McClymont","155","Cumbernauld, Kilsyth and Kirkintilloch East","Labour","1698","2875","3191","http://sexymp.co.uk/mp/397.jpg","M","S14000012","14409","Cumbernauld, Kilsyth and Kirkintilloch East","Scotland","215650","103850","111800","2165.5","1035.5","1130","9","6.5","15","9.7","620.1500000000001","743","522","2.25","1.65","4.95","overlapped_by (calculated average)","S12000045,S12000044"
"Andrew Rosindell","156","Romford","Conservative","1466","3073","2524","http://sexymp.co.uk/mp/514.jpg","M","E14000900","66077","Romford","England","237900","114500","123400","2105","999","1106","12","8","21","8.8","477.8","584.1","395.2","4.1","2.8","7.2","covered_by","E09000016"
"Mark Simmonds","157","Boston and Skegness","Conservative","1390","3230","2348","http://sexymp.co.uk/mp/539.jpg","M","E14000582","65969","Boston and Skegness","England","714800","348300","366500","7512","3747","3765","26","15","42","10.5","531.4","631.4","447.5","3.3","1.9","5.3","covered_by","E10000019"
"Duncan Hames","158","Chippenham","Liberal Democrat","1400","3627","2689","http://sexymp.co.uk/mp/254.jpg","M","E14000635","65940","Chippenham","England","474300","234300","240100","4138","1964","2174","19","17","39","8.7","476","553.2","413.3","3.5","3.1","7.1","covered_by","E06000054"
"Brooks Newmark","159","Braintree","Conservative","1513","3051","2689","http://sexymp.co.uk/mp/454.jpg","M","E14000590","65670","Braintree","England","147500","72400","75100","1224","572","652","7","5","13","8.3","484.6","550","433.8","4","2.8","7.4","covered_by","E07000067"
"Frank Doran","160","Aberdeen North","Labour","1513","3207","2836","http://sexymp.co.uk/mp/163.jpg","M","S14000001","14398","Aberdeen North","Scotland","220400","109300","111200","1973","957","1016","8","5","11","9","618","739.3","511.4","3.1","1.9","4.2","covered_by","S12000033"
"Martin Horwood","161","Cheltenham","Liberal Democrat","1450","3211","2589","http://sexymp.co.uk/mp/298.jpg","M","E14000630","65946","Cheltenham","England","115600","56500","59100","977","466","511","3","1","6","8.4","469.4","566","391.5","2.1","0","4.2","covered_by","E07000078"
"Khalid Mahmood","162","Birmingham, Perry Barr","Labour","1521","3051","2726","http://sexymp.co.uk/mp/384.jpg","M","E14000566","66028","Birmingham, Perry Barr","England","1074300","528800","545400","7985","3926","4059","143","107","193","7.4","579.2","694.3","480.8","8.2","6.1","11","covered_by","E08000025"
"Mel Stride","163","Central Devon","Conservative","1390","3176","2319","http://sexymp.co.uk/mp/567.jpg","M","E14000623","65749","Central Devon","England","747700","362900","384800","8102","3763","4339","34","25","53","10.8","470.8","550.6","403.3","4.5","3.3","7","covered_by","E10000008"
"Tami Mark","164","Alyn and Deeside","Labour","1499","3137","2717","http://sexymp.co.uk/mp/579.jpg","M","W07000043","66103","Alyn and Deeside","Wales","152700","75300","77400","1339","672","667","5","5","6","8.8","528.8","620.2","453.7","2.9","2.9","3.5","covered_by","W06000005"
"Robert Buckland","165","South Swindon","Conservative","1441","3013","2395","http://sexymp.co.uk/mp/83.jpg","M","E14000947","65800","South Swindon","England","209700","104900","104800","1605","775","830","8","6","22","7.7","539.2","614.9","476.6","2.7","2","7.3","covered_by","E06000030"
"Jonathan Djanogly","166","Huntingdon","Conservative","1469","3018","2508","http://sexymp.co.uk/mp/155.jpg","M","E14000757","65592","Huntingdon","England","170000","84800","85300","1164","585","579","6","4","11","6.8","434.9","521.4","367.1","2.9","2","5.4","covered_by","E07000011"
"Francis Maude","167","Horsham","Conservative","1511","2940","2602","http://sexymp.co.uk/mp/389.jpg","M","E14000753","65717","Horsham","England","808900","391700","417200","8388","3832","4556","35","23","63","10.4","473.4","551.6","411.2","3.8","2.5","6.8","covered_by","E10000032"
"David Mundell","168","Dumfriesshire, Clydesdale and Tweeddale","Conservative","1521","2997","2684","http://sexymp.co.uk/mp/442.jpg","M","S14000014","14411","Dumfriesshire, Clydesdale and Tweeddale","Scotland","191333.33333333334","92166.66666666667","99133.33333333333","2051.6666666666665","961.6666666666666","1090","6","4.666666666666667","11","10.9","596.1333333333333","685.6666666666666","520.7666666666667","2.733333333333334","1.0333333333333334","4.366666666666666","overlapped_by (calculated average)","S12000006,S12000026,S12000029"
"Kevin Barron","169","Rother Valley","Labour","1590","2973","2930","http://sexymp.co.uk/mp/32.jpg","M","E14000903","65930","Rother Valley","England","257700","126500","131200","2509","1225","1284","13","11","19","9.7","587.1","695.4","502.8","4.3","3.6","6.2","covered_by","E08000018"
"David Lammy","170","Tottenham","Labour","1490","3289","2828","http://sexymp.co.uk/mp/346.jpg","M","E14001002","66074","Tottenham","England","255500","126800","128699","1107","574","533","15","10","26","4.3","492.2","593","408.9","3.5","2.4","6.1","covered_by","E09000014"
"Chris Leslie","171","Nottingham East","Labour Co-operative","1470","3368","2816","http://sexymp.co.uk/mp/360.jpg","M","E14000865","65559","Nottingham East","England","303900","153200","150700","2257","1159","1098","27","21","48","7.4","621.6","766.4","503.8","6.1","4.7","10.7","covered_by","E06000018"
"Michael Dugher","172","Barnsley East","Labour","1422","3391","2633","http://sexymp.co.uk/mp/172.jpg","M","E14000542","66012","Barnsley East","England","231900","114000","117900","2274","1084","1190","8","4","20","9.8","601.9","696.3","522.1","2.7","1.3","6.6","covered_by","E08000016"
"Clive Betts","173","Sheffield South East","Labour","1506","3185","2814","http://sexymp.co.uk/mp/48.jpg","M","E14000920","65793","Sheffield South East","England","551800","272500","279200","4719","2288","2431","35","22","50","8.6","555.6","660.5","469","5.2","3.2","7.3","covered_by","E08000019"
"Alun Cairns","174","Vale of Glamorgan","Conservative","1389","3144","2318","http://sexymp.co.uk/mp/96.jpg","M","W07000078","66098","Vale of Glamorgan","Wales","211475","103775","107700","1903.5","930.5","973","10.75","7.75","15.75","9.3","580.15","693.425","488.925","3.7","2.55","5.225","overlapped_by (calculated average)","W06000013,W06000014,W06000015,W06000016"
"Graham Evans","175","Weaver Vale","Conservative","1504","3019","2666","http://sexymp.co.uk/mp/191.jpg","M","E14001024","65769","Weaver Vale","England","227600","110950","116650","2132","1024.5","1107.5","11.5","9.5","24","9.2","579","676.5999999999999","503.25","4.15","3.0999999999999996","9.15","overlapped_by (calculated average)","E06000050,E06000006"
"Jake Berry","176","Rossendale and Darwen","Conservative","1306","3775","2394","http://sexymp.co.uk/mp/47.jpg","M","E14000902","66019","Rossendale and Darwen","England","462466.6666666667","227466.66666666666","234933.33333333334","4510.666666666667","2194.6666666666665","2316","30","19.333333333333332","47.333333333333336","9.3","618.4333333333333","739.9666666666667","514.0666666666667","5.066666666666666","2.3000000000000003","6.466666666666666","overlapped_by (calculated average)","E06000008,E10000017,E07000125"
"Iain Stewart","177","Milton Keynes South","Conservative","1417","3258","2517","http://sexymp.co.uk/mp/563.jpg","M","E14000822","66076","Milton Keynes South","England","249900","123600","126300","1552","763","789","12","9","30","6.2","538.2","644.6","453.6","3.1","2.3","7.6","covered_by","E06000042"
"Graham Brady","178","Altrincham and Sale West","Conservative","1438","3152","2522","http://sexymp.co.uk/mp/65.jpg","M","E14000532","65892","Altrincham and Sale West","England","227100","111200","115900","1847","866","981","9","6","15","8.1","500.6","571.4","441.4","3.1","2.1","5.2","covered_by","E08000009"
"Malcom Bruce","179","Gordon","Liberal Democrat","1512","3049","2724","http://sexymp.co.uk/mp/80.jpg","M","S14000037","14433","Gordon","Scotland","247600","122900","124700","2191","1074","1117","8","3","17","8.8","550.4","631.5","479.4","3","1.1","6.3","covered_by","S12000034"
"Nadhim Zawahi","180","Stratford-on-Avon","Conservative","1478","3107","2647","http://sexymp.co.uk/mp/649.jpg","M","E14000977","65648","Stratford-on-Avon","England","120800","58700","62100","1160","589","571","6","6","6","9.6","440","559.4","346.8","5.2","5.2","5.2","covered_by","E07000221"
"Alan Duncan","181","Rutland and Melton","Conservative","1436","3081","2468","http://sexymp.co.uk/mp/173.jpg","M","E14000909","65833","Rutland and Melton","England","368450","182100","186350","3073","1545","1528","12","10.5","23.5","8.25","456.9","558.7","375.1","1.6","1.35","6.9","overlapped_by (calculated average)","E10000018,E07000131"
"Jane Ellison","182","Battersea","Conservative","1712","26009","29894","http://sexymp.co.uk/mp/183.jpg","F","E14000549","65731","Battersea","England","307700","149200","158500","1521","726","795","18","13","41","4.9","531.7","628.4","451.5","3.3","2.4","7.4","covered_by","E09000032"
"Matthew Hancock","183","West Suffolk","Conservative","1367","3188","2283","http://sexymp.co.uk/mp/259.jpg","M","E14001034","65629","West Suffolk","England","730100","360900","369200","6880","3337","3543","35","21","54","9.4","465.2","547.2","395.1","4.2","2.5","6.4","covered_by","E10000029"
"George Osborne","184","Tatton","Conservative","1422","3708","2907","http://sexymp.co.uk/mp/465.jpg","M","E14000987","65964","Tatton","England","350100","171150","178950","3287.5","1539.5","1748","16","13.5","31","9.399999999999999","504.45","581.15","438.45","4.1","3.5","8","overlapped_by (calculated average)","E06000049,E06000050"
"Hugo Swire","185","East Devon","Conservative","1535","3167","2935","http://sexymp.co.uk/mp/577.jpg","M","E14000678","65813","East Devon","England","747700","362900","384800","8102","3763","4339","34","25","53","10.8","470.8","550.6","403.3","4.5","3.3","7","covered_by","E10000008"
"Simon Burns","186","Chelmsford","Conservative","1530","3049","2801","http://sexymp.co.uk/mp/88.jpg","M","E14000628","65797","Chelmsford","England","168500","83000","85500","1324","658","666","5","4","9","7.9","461.5","552.6","383.5","2.5","2","4.5","covered_by","E07000070"
"Nigel Evans","187","Ribble Valley","Conservative","1424","3145","2484","http://sexymp.co.uk/mp/193.jpg","M","E14000894","65579","Ribble Valley","England","1171600","575400","596100","11676","5661","6015","74","48","116","10","579.4","683.7","490.2","5.4","3.5","8.4","covered_by","E10000017"
"Kevan Jones","188","North Durham","Labour","1497","3037","2672","http://sexymp.co.uk/mp/328.jpg","M","E14000840","65745","North Durham","England","513000","251200","261800","5202","2462","2740","23","16","49","10.1","599.1","684.3","525.2","3.9","2.7","8.4","covered_by","E06000047"
"Tony Lloyd","189","Manchester Central","Labour","1559","2970","2847","http://sexymp.co.uk/mp/369.jpg","M","E14000807","66048","Manchester Central","England","502900","253100","249800","3487","1809","1678","47","34","80","6.9","736.9","902.4","599.1","5.8","4.2","9.8","covered_by","E08000003"
"Anne McIntosh","190","Thirsk and Malton","Conservative","1743","25500","30336","http://sexymp.co.uk/mp/407.jpg","F","E14000993","65686","Thirsk and Malton","England","601200","296400","304800","6049","2844","3205","19","14","35","10.1","495","579.3","425.4","3.1","2.3","5.8","covered_by","E10000023"
"Mark Menzies","191","Fylde","Conservative","1522","3036","2768","http://sexymp.co.uk/mp/416.jpg","M","E14000706","65955","Fylde","England","1171600","575400","596100","11676","5661","6015","74","48","116","10","579.4","683.7","490.2","5.4","3.5","8.4","covered_by","E10000017"
"Christopher Pincher","192","Tamworth","Conservative","1401","3187","2422","http://sexymp.co.uk/mp/484.jpg","M","E14000986","65880","Tamworth","England","849500","420400","429100","7591","3625","3966","46","33","73","8.9","510.2","589.8","445.6","5.1","3.7","8.1","covered_by","E10000028"
"Frank Field","193","Birkenhead","Labour","1478","3005","2583","http://sexymp.co.uk/mp/200.jpg","M","E14000559","65581","Birkenhead","England","319800","153800","166000","3370","1589","1781","17","15","34","10.5","567.6","683.7","467.3","4.5","3.9","8.9","covered_by","E08000015"
"Robert Syms","194","Poole","Conservative","1497","2928","2585","http://sexymp.co.uk/mp/578.jpg","M","E14000881","65860","Poole","England","148100","72400","75600","1524","713","811","7","4","13","10.3","479.2","566.5","405.4","4","2.3","7.3","covered_by","E06000029"
"Gareth Thomas","195","Harrow West","Labour Co-operative","1504","3129","2791","http://sexymp.co.uk/mp/582.jpg","M","E14000732","65796","Harrow West","England","240500","118900","121600","1414","711","703","18","11","23","5.9","410.8","497.7","336.8","5.2","3.2","6.6","covered_by","E09000015"
"Ian Austin","196","Dudley North","Labour","1573","2923","2868","http://sexymp.co.uk/mp/18.jpg","M","E14000671","65806","Dudley North","England","313300","153900","159400","2933","1458","1475","13","11","21","9.4","538.4","652.8","445.3","3.5","3","5.6","covered_by","E08000027"
"Chris Evans","197","Islwyn","Labour Co-operative","1309","4434","2872","http://sexymp.co.uk/mp/190.jpg","M","W07000077","66097","Islwyn","Wales","178800","87600","91100","1672","822","850","7","4","16","9.4","603.2","721.9","505.1","3.3","1.9","7.6","covered_by","W06000018"
"Sarah Newton","198","Truro and Falmouth","Conservative","1690","25904","29205","http://sexymp.co.uk/mp/455.jpg","F","E14001003","65659","Truro and Falmouth","England","536000","259600","276400","5663","2764","2899","33","22","39","10.6","502.9","606.2","416.9","5.7","3.8","6.7","covered_by","E06000052"
"Jim Cunningham","199","Coventry South","Labour","1450","3532","2930","http://sexymp.co.uk/mp/137.jpg","M","E14000651","65877","Coventry South","England","316900","157800","159100","2630","1303","1327","27","17","34","8.3","577.2","689.7","479.4","5.6","3.5","7","covered_by","E08000026"
"Alistair Darling","200","Edinburgh South West","Labour","1491","3128","2751","http://sexymp.co.uk/mp/142.jpg","M","S14000025","14422","Edinburgh South West","Scotland","495400","239700","255600","4232","2013","2219","22","15","35","8.5","590.1","712.9","492.2","4","2.7","6.3","covered_by","S12000036"
"Liam Fox","201","North Somerset","Conservative","1416","3368","2644","http://sexymp.co.uk/mp/208.jpg","M","E14000850","65817","North Somerset","England","203100","98700","104400","2214","1013","1201","12","9","12","10.9","512.8","595.8","442.5","5.1","3.9","5.1","covered_by","E06000024"
"Dai Harvard","202","Merthyr Tydfil and Rhymney","Labour","1540","2999","2827","http://sexymp.co.uk/mp/271.jpg","M","W07000071","66086","Merthyr Tydfil and Rhymney","Wales","118850","58200","60600","1130","557.5","572.5","5.5","3.5","12","9.7","618.25","749","507.25","4.25","2.9","9","overlapped_by (calculated average)","W06000024,W06000018"
"Kelvin Hopkins","203","Luton North","Labour","1703","2776","3187","http://sexymp.co.uk/mp/296.jpg","M","E14000800","65887","Luton North","England","203600","102300","101300","1309","663","646","17","10","21","6.4","558.4","650.9","472.8","4.8","2.8","5.9","covered_by","E06000032"
"Michael Moore","204","Berwickshire, Roxburgh and Selkirk","Liberal Democrat","1443","3300","2708","http://sexymp.co.uk/mp/429.jpg","M","S14000008","14405","Berwickshire, Roxburgh and Selkirk","Scotland","113200","54900","58200","1234","574","660","3","1","7","10.9","567.5","640.4","499.2","2.7","0","6.3","covered_by","S12000026"
"Andrew Stephenson","205","Pendle","Conservative","1403","3083","2370","http://sexymp.co.uk/mp/560.jpg","M","E14000875","65668","Pendle","England","89600","44100","45500","812","401","411","11","6","14","9.1","598.2","692.6","517.3","8.4","4.6","10.7","covered_by","E07000122"
"Jack Straw","206","Blackburn","Labour","1591","2902","2917","http://sexymp.co.uk/mp/565.jpg","M","E14000570","65981","Blackburn","England","147700","73600","74000","1189","596","593","12","8","26","8.1","634.8","765.6","519.5","5.1","3.4","11","covered_by","E06000008"
"John Whittingdale","207","Maldon","Conservative","1466","3063","2597","http://sexymp.co.uk/mp/622.jpg","M","E14000806","65661","Maldon","England","1396600","681800","714800","12864","6082","6782","64","46","113","9.2","499","580.6","430.9","3.9","2.8","6.9","covered_by","E10000012"
"James Gray","208","North Wiltshire","Conservative","1613","2860","2962","http://sexymp.co.uk/mp/238.jpg","M","E14000860","65822","North Wiltshire","England","474300","234300","240100","4138","1964","2174","19","17","39","8.7","476","553.2","413.3","3.5","3.1","7.1","covered_by","E06000054"
"William Hague","209","Richmond (Yorks)","Conservative","1427","3573","2868","http://sexymp.co.uk/mp/251.jpg","M","E14000895","65722","Richmond (Yorks)","England","601200","296400","304800","6049","2844","3205","19","14","35","10.1","495","579.3","425.4","3.1","2.3","5.8","covered_by","E10000023"
"David Hamilton","210","Midlothian","Labour","1527","3081","2857","http://sexymp.co.uk/mp/255.jpg","M","S14000045","14441","Midlothian","Scotland","82400","39300","43000","782","375","407","6","3","7","9.5","601.2","704.4","509.3","6.1","3.1","7.1","covered_by","S12000019"
"Jim Murphy","211","East Renfrewshire","Labour","1493","3243","2867","http://sexymp.co.uk/mp/446.jpg","M","S14000021","14418","East Renfrewshire","Scotland","89900","43100","46800","825","379","446","1","0","6","9.2","515.2","624.4","434","0","0","7.4","covered_by","S12000011"
"Mick Crockart","212","Edinburgh West","Liberal Democrat","1610","2840","2939","http://sexymp.co.uk/mp/132.jpg","M","S14000026","14423","Edinburgh West","Scotland","495400","239700","255600","4232","2013","2219","22","15","35","8.5","590.1","712.9","492.2","4","2.7","6.3","covered_by","S12000036"
"David Davies","213","Monmouth","Conservative","1404","3164","2449","http://sexymp.co.uk/mp/146.jpg","M","W07000054","66084","Monmouth","Wales","91350","44700","46650","896.5","445.5","451","5.5","4","9","9.8","529.25","643.4000000000001","433.45000000000005","5.75","2.75","9.25","overlapped_by (calculated average)","W06000020,W06000021"
"Richard Graham","214","Gloucester","Conservative","1396","3402","2599","http://sexymp.co.uk/mp/236.jpg","M","E14000712","65996","Gloucester","England","121900","60100","61800","1003","536","467","5","2","13","8.2","556.7","727.6","416.9","2.8","0","7.1","covered_by","E07000081"
"Alan Campbell","215","Tynemouth","Labour","1557","2919","2827","http://sexymp.co.uk/mp/98.jpg","M","E14001006","65868","Tynemouth","England","201200","97100","104100","2014","960","1054","6","6","18","10","576.2","693.9","490.1","2.5","2.5","7.4","covered_by","E08000022"
"Karen Lumley","216","Redditch","Conservative","1725","25147","29760","http://sexymp.co.uk/mp/379.jpg","F","E14000892","65700","Redditch","England","566600","278900","287600","5290","2527","2763","15","10","37","9.3","488.9","572.4","416.6","2.4","1.6","5.9","covered_by","E10000034"
"Jeffrey Donaldson","217","Lagan Valley","Democratic Unionist","1643","2804","3036","http://sexymp.co.uk/mp/161.jpg","M","N06000009","66132","Lagan Valley","Northern Ireland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","no match (no polygons)",""
"Dominic Greive","218","Beaconsfield","Conservative","1427","3077","2485","http://sexymp.co.uk/mp/245.jpg","M","E14000550","65687","Beaconsfield","England","506600","249000","257600","3793","1863","1930","20","16","58","7.5","447.5","536","374.1","3.3","2.6","9.4","covered_by","E10000002"
"Tony Baldry","219","Banbury","Conservative","1438","3095","2548","http://sexymp.co.uk/mp/25.jpg","M","E14000539","66008","Banbury","England","142300","70400","71900","1025","506","519","7","6","18","7.2","470.6","560.8","400.4","3.6","3.1","9.3","covered_by","E07000177"
"Hugh Bayley","220","York Central","Labour","1530","3038","2855","http://sexymp.co.uk/mp/34.jpg","M","E14001061","65965","York Central","England","197800","96300","101500","1794","894","900","8","5","13","9.1","526.5","650.8","429","3.9","2.4","6.2","covered_by","E06000014"
"David Davis","221","Haltemprice and Howden","Conservative","1439","3026","2497","http://sexymp.co.uk/mp/150.jpg","M","E14000724","65671","Haltemprice and Howden","England","334700","163600","171100","3571","1703","1868","12","7","16","10.7","515.1","600.4","441.8","3.9","2.3","5.2","covered_by","E06000011"
"Paul Farrelly","222","Newcastle-under-Lyme","Labour","1519","3118","2893","http://sexymp.co.uk/mp/197.jpg","M","E14000834","65861","Newcastle-under-Lyme","England","123900","61200","62600","1203","586","617","8","5","10","9.7","542.6","637.6","474.5","6.3","3.9","7.8","covered_by","E07000195"
"John Baron","223","Basildon and Billericay","Conservative","1548","2890","2786","http://sexymp.co.uk/mp/31.jpg","M","E14000544","65898","Basildon and Billericay","England","175000","84900","90100","1407","648","759","7","4","21","8","501.4","571.5","445.6","3","1.7","9","covered_by","E07000066"
"Tessa Munt","224","Wells","Liberal Democrat","1515","30800","28446","http://sexymp.co.uk/mp/444.jpg","F","E14001026","65560","Wells","England","531600","259300","272200","5366","2519","2847","23","19","43","10.1","467","550.3","396.1","4","3.3","7.4","covered_by","E10000027"
"Toby Perkins","225","Chesterfield","Labour","1452","3205","2698","http://sexymp.co.uk/mp/479.jpg","M","E14000632","65980","Chesterfield","England","103800","50900","52900","1118","536","582","3","2","0","10.8","592.1","702.9","498.5","2.4","0","0","covered_by","E07000034"
"Justin Tomlinson","226","North Swindon","Conservative","1373","3180","2362","http://sexymp.co.uk/mp/587.jpg","M","E14000851","65760","North Swindon","England","209700","104900","104800","1605","775","830","8","6","22","7.7","539.2","614.9","476.6","2.7","2","7.3","covered_by","E06000030"
"Michael Elliss","227","Northampton North","Conservative","1397","3127","2423","http://sexymp.co.uk/mp/182.jpg","M","E14000861","66059","Northampton North","England","212500","104500","108000","1714","813","901","23","17","31","8.1","593.2","679.3","516.6","7","5.1","9.3","covered_by","E07000154"
"James Clappison","228","Hertsmere","Conservative","1424","3051","2473","http://sexymp.co.uk/mp/110.jpg","M","E14000745","65994","Hertsmere","England","100400","48500","51900","841","382","459","7","7","12","8.4","485.2","546.7","439.4","5.4","5.4","9.3","covered_by","E07000098"
"Loraine Fullbrook","229","South Ribble","Conservative","1735","24872","30024","http://sexymp.co.uk/mp/213.jpg","F","E14000943","65951","South Ribble","England","1171600","575400","596100","11676","5661","6015","74","48","116","10","579.4","683.7","490.2","5.4","3.5","8.4","covered_by","E10000017"
"Christopher Chope","230","Christchurch","Conservative","1551","2852","2780","http://sexymp.co.uk/mp/109.jpg","M","E14000638","65885","Christchurch","England","413800","201700","212100","4623","2251","2372","11","6","18","11.2","429.3","511","361.2","3","1.6","4.9","covered_by","E10000009"
"Andrew Lansley","231","South Cambridgeshire","Conservative","1424","3282","2671","http://sexymp.co.uk/mp/348.jpg","M","E14000934","65922","South Cambridgeshire","England","622300","310500","311800","4550","2220","2330","24","17","45","7.3","440.6","520.2","377.4","3.2","2.3","6","covered_by","E10000003"
"Graeme Morris","232","Livingston","Labour","1595","2849","2939","http://sexymp.co.uk/mp/433.jpg","M","S14000044","14440","Livingston","Scotland","173000","84600","88400","1424","667","757","6","4","13","8.2","649.7","718","590.8","2.8","1.9","6.1","covered_by","S12000040"
"Mark Pritchard","233","The Wrekin","Conservative","1442","3116","2608","http://sexymp.co.uk/mp/489.jpg","M","E14000992","65977","The Wrekin","England","236950","117400","119550","2153.5","1030.5","1123","11","6.5","12.5","8.8","533.25","624.7","455.54999999999995","4.35","2.5","4.75","overlapped_by (calculated average)","E06000051,E06000020"
"Tom Brake","234","Carshalton and Wallington","Liberal Democrat","1446","3174","2669","http://sexymp.co.uk/mp/66.jpg","M","E14000621","65972","Carshalton and Wallington","England","191100","92900","98200","1371","670","701","6","5","18","7.2","474.9","577.9","398.4","2.2","1.8","6.5","covered_by","E09000029"
"Greg Clark","235","Tunbridge Wells","Conservative","1384","3195","2442","http://sexymp.co.uk/mp/111.jpg","M","E14001004","65660","Tunbridge Wells","England","115200","56600","58700","899","438","461","2","1","6","7.8","428.8","540.4","338.7","0","0","4.4","covered_by","E07000116"
"Michael McCann","236","East Kilbride, Strathaven and Lesmahagow","Labour","1480","3111","2760","http://sexymp.co.uk/mp/393.jpg","M","S14000019","14416","East Kilbride, Strathaven and Lesmahagow","Scotland","312700","149900","162800","3214","1511","1703","12","11","24","10.3","651.6","767.1","559.8","3.4","3.1","6.8","covered_by","S12000029"
"Stephen OBrien","237","Eddisbury","Conservative","1469","2988","2611","http://sexymp.co.uk/mp/459.jpg","M","E14000686","65756","Eddisbury","England","350100","171150","178950","3287.5","1539.5","1748","16","13.5","31","9.399999999999999","504.45","581.15","438.45","4.1","3.5","8","overlapped_by (calculated average)","E06000049,E06000050"
"Iain Wright","238","Hartlepool","Labour","1467","3238","2819","http://sexymp.co.uk/mp/644.jpg","M","E14000733","65990","Hartlepool","England","92100","44800","47300","922","439","483","4","3","12","10","619.5","718","538.1","3.4","2.5","10","covered_by","E06000001"
"Paul Murphy","239","Torfaen","Labour","1789","2534","3259","http://sexymp.co.uk/mp/447.jpg","M","W07000053","66104","Torfaen","Wales","91200","44400","46800","913","455","458","7","6","12","10","574","708.7","459.1","6.4","5.5","10.9","covered_by","W06000020"
"Nick Clegg","240","Sheffield, Hallam","Liberal Democrat","1419","3570","2907","http://sexymp.co.uk/mp/115.jpg","M","E14000922","65741","Sheffield, Hallam","England","551800","272500","279200","4719","2288","2431","35","22","50","8.6","555.6","660.5","469","5.2","3.2","7.3","covered_by","E08000019"
"Andrew Bridgen","241","North West Leicestershire","Conservative","1508","3069","2849","http://sexymp.co.uk/mp/70.jpg","M","E14000858","65776","North West Leicestershire","England","93700","46400","47200","784","390","394","7","5","7","8.4","497.7","599.3","405.7","6.9","5","6.9","covered_by","E07000134"
"Simon Danczuk","242","Rochdale","Labour","1456","3132","2705","http://sexymp.co.uk/mp/141.jpg","M","E14000897","65843","Rochdale","England","211900","103800","108100","1858","935","923","12","8","24","8.8","624.6","755.1","514.6","4","2.6","7.9","covered_by","E08000005"
"Barry Gardiner","243","Brent North","Labour","1507","3101","2882","http://sexymp.co.uk/mp/217.jpg","M","E14000592","65595","Brent North","England","312200","157300","155000","1471","791","680","31","21","50","4.7","458","561.7","368.1","5.9","4","9.5","covered_by","E09000005"
"Fabian Hamilton","244","Leeds North East","Labour","1573","2907","2948","http://sexymp.co.uk/mp/256.jpg","M","E14000779","65866","Leeds North East","England","750700","368000","382700","6362","3065","3297","43","33","98","8.5","578.9","682.4","493.6","4.2","3.3","9.6","covered_by","E08000035"
"Albert Owen","245","Ynys M!!n","Labour","1727","2606","3158","http://sexymp.co.uk/mp/468.jpg","M","W07000041","66115","Ynys Môn","Wales","69900","34400","35500","783","377","406","5","4","10","11.2","521.9","625.5","431.5","6.5","5.2","12.9","covered_by","W06000001"
"Andy Burnham","246","Leigh","Labour","1427","3412","2825","http://sexymp.co.uk/mp/86.jpg","M","E14000785","65978","Leigh","England","318100","158100","160100","2915","1388","1527","13","8","30","9.2","624","705.2","551.9","3.3","2","7.5","covered_by","E08000010"
"Robert Flello","247","Stoke-on-Trent South","Labour","1474","3093","2753","http://sexymp.co.uk/mp/203.jpg","M","E14000974","65770","Stoke-on-Trent South","England","248700","123900","124800","2311","1135","1176","32","25","36","9.3","633.4","730.6","550.4","8.4","6.6","9.4","covered_by","E06000021"
"Paul Beresford","248","Mole Valley","Conservative","1444","3121","2655","http://sexymp.co.uk/mp/45.jpg","M","E14000824","65693","Mole Valley","England","1135400","556400","578900","9419","4408","5011","41","29","89","8.3","446.2","524","380.7","2.9","2.1","6.3","covered_by","E10000030"
"Bob Stewart","249","Beckenham","Conservative","1569","2798","2831","http://sexymp.co.uk/mp/562.jpg","M","E14000551","65725","Beckenham","England","310600","149200","161400","2530","1159","1371","8","5","24","8.1","453.5","531.7","389","1.9","1.2","5.8","covered_by","E09000006"
"Fiona Bruce","250","Congleton","Conservative","1751","24817","30928","http://sexymp.co.uk/mp/79.jpg","F","E14000646","65771","Congleton","England","370700","181700","189000","3420","1576","1844","15","11","29","9.2","480.5","545.4","424.5","3.7","2.7","7.2","covered_by","E06000049"
"Chris Kelly","251","Dudley South","Conservative","1266","3968","2479","http://sexymp.co.uk/mp/337.jpg","M","E14000672","66054","Dudley South","England","313300","153900","159400","2933","1458","1475","13","11","21","9.4","538.4","652.8","445.3","3.5","3","5.6","covered_by","E08000027"
"John Leech","252","Manchester, Withington","Liberal Democrat","1448","3183","2732","http://sexymp.co.uk/mp/356.jpg","M","E14000809","65819","Manchester, Withington","England","502900","253100","249800","3487","1809","1678","47","34","80","6.9","736.9","902.4","599.1","5.8","4.2","9.8","covered_by","E08000003"
"Andrew Smith","253","Oxford East","Labour","1516","2960","2798","http://sexymp.co.uk/mp/546.jpg","M","E14000873","66060","Oxford East","England","150200","74800","75500","949","487","462","7","7","12","6.3","546.6","700.9","412.1","3.4","3.4","5.7","covered_by","E07000178"
