sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Anne Marie Morris","22","Newton Abbot","Conservative","1807","30892","27071","http://sexymp.co.uk/mp/434.jpg","F","E14000835","65828","Newton Abbot","England","124300","60200","64099","1422","666","756","5","3","5","11.4","475","567.5","392.7","4.3","2.6","4.3","covered_by","E07000045"
"Caroline Dinenage","23","Gosport","Conservative","1627","39455","27572","http://sexymp.co.uk/mp/154.jpg","F","E14000713","65928","Gosport","England","1322100","647500","674600","11397","5389","6008","50","30","81","8.6","454.5","524.8","396.7","3.3","2","5.3","covered_by","E10000014"
"Nadine Dorries","24","Mid Bedfordshire","Conservative","1664","38230","28229","http://sexymp.co.uk/mp/165.jpg","F","E14000813","65718","Mid Bedfordshire","England","206700","102150","104600","1545.5","767","778.5","15.5","10","18.5","7.55","486.75","569.7","415.65","6.35","4","7.15","overlapped_by (calculated average)","E06000055,E06000056"
"Karen Bradley","25","Staffordshire Moorlands","Conservative","1731","33655","27785","http://sexymp.co.uk/mp/63.jpg","F","E14000966","65907","Staffordshire Moorlands","England","849500","420400","429100","7591","3625","3966","46","33","73","8.9","510.2","589.8","445.6","5.1","3.7","8.1","covered_by","E10000028"
"Harriet Baldwin","26","West Worcestershire","Conservative","1646","36148","26759","http://sexymp.co.uk/mp/26.jpg","F","E14001035","65758","West Worcestershire","England","566600","278900","287600","5290","2527","2763","15","10","37","9.3","488.9","572.4","416.6","2.4","1.6","5.9","covered_by","E10000034"
"Eleanor Laing","27","Epping Forest","Conservative","1654","37208","27829","http://sexymp.co.uk/mp/344.jpg","F","E14000693","66044","Epping Forest","England","124900","60500","64400","1139","525","614","4","3","9","9.1","485.8","557.6","427.4","2.5","1.9","5.6","covered_by","E07000072"
"Chloe Smith","28","Norwich North","Conservative","1694","37026","29274","http://sexymp.co.uk/mp/548.jpg","F","E14000863","65768","Norwich North","England","124700","60900","63800","1281","578","703","5","5","8","10.3","441.2","479.2","412.6","4.4","4.4","6.9","covered_by","E07000144"
"Anne Maine","29","St Albans","Conservative","1624","35766","27184","http://sexymp.co.uk/mp/386.jpg","F","E14000960","65715","St Albans","England","1119800","549000","570800","8708","4199","4509","53","44","107","7.8","474.1","564.5","401","3.5","2.9","7.1","covered_by","E10000015"
"Richard Drax","30","South Dorset","Conservative","1406","4583","2407","http://sexymp.co.uk/mp/169.jpg","M","E14000936","65788","South Dorset","England","413800","201700","212100","4623","2251","2372","11","6","18","11.2","429.3","511","361.2","3","1.6","4.9","covered_by","E10000009"
"Justine Greening","31","Putney","Conservative","1674","35534","29141","http://sexymp.co.uk/mp/243.jpg","F","E14000887","66045","Putney","England","307700","149200","158500","1521","726","795","18","13","41","4.9","531.7","628.4","451.5","3.3","2.4","7.4","covered_by","E09000032"
"Louise Bagshawe","32","Corby","Conservative","1623","41006","32476","http://sexymp.co.uk/mp/20.jpg","F","E14000648","65590","Corby","England","694000","342300","351600","5720","2797","2923","46","33","82","8.2","540.8","631.6","460.4","5","3.6","8.8","covered_by","E10000021"
"Helen Grant","33","Maidstone and The Weald","Conservative","1641","33405","27598","http://sexymp.co.uk/mp/237.jpg","F","E14000804","65936","Maidstone and The Weald","England","1466500","717200","749200","13434","6437","6997","61","38","119","9.2","504.8","603.6","423.2","3.5","2.2","6.7","covered_by","E10000016"
"Chris Skidmore","34","Kingswood","Conservative","1448","3660","2302","http://sexymp.co.uk/mp/543.jpg","M","E14000774","66053","Kingswood","England","263400","130699","132700","2011","980","1031","5","4","12","7.6","456","538.5","380.3","1.6","1.3","3.8","covered_by","E06000025"
"Robin Walker","35","Worcester","Conservative","1440","3693","2307","http://sexymp.co.uk/mp/605.jpg","M","E14001052","65577","Worcester","England","98700","48600","50100","738","365","373","5","5","10","7.5","503.3","615.6","418.3","3.8","3.8","7.5","covered_by","E07000237"
"Angela Watkinson","36","Hornchurch and Upminster","Conservative","1684","30811","27766","http://sexymp.co.uk/mp/610.jpg","F","E14000751","66069","Hornchurch and Upminster","England","198100","96300","101750","1623.5","775.5","848","8","5.5","17","8","512.6","618.35","428.29999999999995","2.9","2.05","6.300000000000001","overlapped_by (calculated average)","E06000034,E09000016"
"Aiden Burley","37","Cannock Chase","Conservative","1455","3544","2293","http://sexymp.co.uk/mp/85.jpg","M","E14000618","65790","Cannock Chase","England","97600","48200","49400","780","394","386","7","5","9","8","534.4","649.2","437.9","6.2","4.4","7.9","covered_by","E07000192"
