sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Nicky Morgan","22","Loughborough","Conservative","1587","35468","27360","http://sexymp.co.uk/mp/432.jpg","E14000797","65785","Loughborough","England","165900","82800","83100","1360","683","677","6","6","13","8.2","501.1","609.3","410.8","3.4","3.4","7.2","covered_by","E07000130"
"Chloe Smith","23","Norwich North","Conservative","1601","36792","29169","http://sexymp.co.uk/mp/548.jpg","E14000863","65768","Norwich North","England","124700","60900","63800","1281","578","703","5","5","8","10.3","441.2","479.2","412.6","4.4","4.4","6.9","covered_by","E07000144"
"Anne Maine","24","St Albans","Conservative","1565","35516","27077","http://sexymp.co.uk/mp/386.jpg","E14000960","65715","St Albans","England","1119800","549000","570800","8708","4199","4509","53","44","107","7.8","474.1","564.5","401","3.5","2.9","7.1","covered_by","E10000015"
"Caroline Spelman","25","Meriden","Conservative","1579","35114","27425","http://sexymp.co.uk/mp/557.jpg","E14000812","65932","Meriden","England","206900","100400","106400","1789","895","894","10","8","19","8.6","459.6","558.9","386.8","4.2","3.4","8","covered_by","E08000029"
"Justine Greening","26","Putney","Conservative","1608","35313","29030","http://sexymp.co.uk/mp/243.jpg","E14000887","66045","Putney","England","307700","149200","158500","1521","726","795","18","13","41","4.9","531.7","628.4","451.5","3.3","2.4","7.4","covered_by","E09000032"
"Louise Bagshawe","27","Corby","Conservative","1569","40768","32358","http://sexymp.co.uk/mp/20.jpg","E14000648","65590","Corby","England","694000","342300","351600","5720","2797","2923","46","33","82","8.2","540.8","631.6","460.4","5","3.6","8.8","covered_by","E10000021"
"Damian hinds","28","East Hampshire","Conservative","1487","3203","2266","http://sexymp.co.uk/mp/287.jpg","E14000680","65569","East Hampshire","England","116000","56500","59500","1047","470","577","3","2","5","9","447.1","507.5","397.9","2.5","0","4.2","covered_by","E07000085"
"Karl McCartney","29","Lincoln","Conservative","1529","3117","2371","http://sexymp.co.uk/mp/396.jpg","E14000792","65704","Lincoln","England","714800","348300","366500","7512","3747","3765","26","15","42","10.5","531.4","631.4","447.5","3.3","1.9","5.3","covered_by","E10000019"
"Craig Whittacker","30","Calder Valley","Conservative","1503","3127","2301","http://sexymp.co.uk/mp/621.jpg","E14000614","65906","Calder Valley","England","204200","99800","104400","1850","908","942","16","10","22","9.1","584.3","718.4","475.6","6.2","3.9","8.5","covered_by","E08000033"
"Adam Holloway","31","Gravesham","Conservative","1471","3236","2266","http://sexymp.co.uk/mp/294.jpg","E14000715","65944","Gravesham","England","101800","50200","51600","832","407","425","4","4","15","8.2","521.2","622.1","427.7","2.9","2.9","10.7","covered_by","E07000109"
"David Ruffley","32","Bury St Edmunds","Conservative","1415","3406","2180","http://sexymp.co.uk/mp/521.jpg","E14000613","66035","Bury St Edmunds","England","730100","360900","369200","6880","3337","3543","35","21","54","9.4","465.2","547.2","395.1","4.2","2.5","6.4","covered_by","E10000029"
"Mark Harper","33","Forest of Dean","Conservative","1396","3786","2361","http://sexymp.co.uk/mp/264.jpg","E14000705","66064","Forest of Dean","England","598300","293300","305000","5470","2656","2814","19","10","43","9.1","484.1","583.6","401.2","2.8","1.5","6.4","covered_by","E10000013"
"Andrew Jones","34","Harrogate and Knaresborough","Conservative","1477","3167","2272","http://sexymp.co.uk/mp/324..jpg","E14000730","65578","Harrogate and Knaresborough","England","158700","77600","81100","1516","664","852","5","4","9","9.6","472.7","531.4","429.5","3","2.4","5.4","covered_by","E07000165"
"Anne Marie Morris","35","Newton Abbot","Conservative","1616","30633","26963","http://sexymp.co.uk/mp/434.jpg","E14000835","65828","Newton Abbot","England","124300","60200","64099","1422","666","756","5","3","5","11.4","475","567.5","392.7","4.3","2.6","4.3","covered_by","E07000045"
"Karen Bradley","36","Staffordshire Moorlands","Conservative","1569","33413","27691","http://sexymp.co.uk/mp/63.jpg","E14000966","65907","Staffordshire Moorlands","England","849500","420400","429100","7591","3625","3966","46","33","73","8.9","510.2","589.8","445.6","5.1","3.7","8.1","covered_by","E10000028"
"Jonathan Djanogly","37","Huntingdon","Conservative","1563","2997","2480","http://sexymp.co.uk/mp/155.jpg","E14000757","65592","Huntingdon","England","170000","84800","85300","1164","585","579","6","4","11","6.8","434.9","521.4","367.1","2.9","2","5.4","covered_by","E07000011"
"Michael Dugher","38","Barnsley East","Labour","1514","3367","2596","http://sexymp.co.uk/mp/172.jpg","E14000542","66012","Barnsley East","England","231900","114000","117900","2274","1084","1190","8","4","20","9.8","601.9","696.3","522.1","2.7","1.3","6.6","covered_by","E08000016"
"Jamie Reed","39","Copeland","Labour","1428","4127","2769","http://sexymp.co.uk/mp/497.jpg","E14000647","65893","Copeland","England","499800","246100","253700","5464","2556","2908","17","10","28","10.9","556.9","633.6","488.6","3.4","2","5.5","covered_by","E10000006"
"Sarah Teather","40","Brent Central","Liberal Democrat","1446","49493","34177","http://sexymp.co.uk/mp/581.jpg","E14000591","66065","Brent Central","England","312200","157300","155000","1471","791","680","31","21","50","4.7","458","561.7","368.1","5.9","4","9.5","covered_by","E09000005"
"Stuart Andrew","41","Pudsey","Conservative","1439","3331","2279","http://sexymp.co.uk/mp/15.jpg","E14000886","65637","Pudsey","England","750700","368000","382700","6362","3065","3297","43","33","98","8.5","578.9","682.4","493.6","4.2","3.3","9.6","covered_by","E08000035"
"Jesse Norman","42","Hereford and South Herefordshire","Conservative","1484","3664","2701","http://sexymp.co.uk/mp/457.jpg","E14000743","65582","Hereford and South Herefordshire","England","183600","90400","93300","1915","934","981","11","8","8","10.4","504.2","603","424.9","5.9","4.3","4.3","covered_by","E06000019"
"Brian Donohoe","43","Central Ayrshire","Labour","1491","3815","2855","http://sexymp.co.uk/mp/162.jpg","S14000010","14407","Central Ayrshire","Scotland","111600","53500","58000","1412","655","757","8","3","8","12.7","621.6","712.5","551.1","7.5","2.8","7.4","covered_by","S12000028"
"Eleanor Laing","44","Epping Forest","Conservative","1493","36956","27729","http://sexymp.co.uk/mp/344.jpg","E14000693","66044","Epping Forest","England","124900","60500","64400","1139","525","614","4","3","9","9.1","485.8","557.6","427.4","2.5","1.9","5.6","covered_by","E07000072"
"Rob Wilson","45","Reading East","Conservative","1459","3344","2375","http://sexymp.co.uk/mp/634.jpg","E14000889","65973","Reading East","England","155100","77300","77800","1031.5","497.5","534","9.5","8","19.5","6.65","484.35","561.1","414.29999999999995","4.1","3.55","8.7","overlapped_by (calculated average)","E06000038,E06000041"
"Christopher Pincher","46","Tamworth","Conservative","1494","3174","2393","http://sexymp.co.uk/mp/484.jpg","E14000986","65880","Tamworth","England","849500","420400","429100","7591","3625","3966","46","33","73","8.9","510.2","589.8","445.6","5.1","3.7","8.1","covered_by","E10000028"
"Andrew Gwynne","47","Denton and Reddish","Labour","1607","3094","2755","http://sexymp.co.uk/mp/249.jpg","E14000661","65924","Denton and Reddish","England","251500","123100","128350","2352","1117","1235","18","10","24","9.4","584.65","680.05","499.29999999999995","5.55","3.0999999999999996","7.3999999999999995","overlapped_by (calculated average)","E08000007,E08000008"
"Smith Henry","48","Crawley","Conservative","1409","3666","2409","http://sexymp.co.uk/mp/549.jpg","E14000652","65781","Crawley","England","107100","52900","54100","732","370","362","7","3","11","6.8","493.8","615.3","400.9","4.1","1.7","6.4","covered_by","E07000226"
"Rehman Chishti","49","Gillingham and Rainham","Conservative","1422","3344","2266","http://sexymp.co.uk/mp/108.jpg","E14000711","65864","Gillingham and Rainham","England","264900","131400","133500","2013","978","1035","12","8","23","7.6","557.6","658.6","474.8","3.4","2.2","6.4","covered_by","E06000035"
"George Eustice","50","Camborne and Redruth","Conservative","1391","3562","2282","http://sexymp.co.uk/mp/189.jpg","E14000616","65826","Camborne and Redruth","England","536000","259600","276400","5663","2764","2899","33","22","39","10.6","502.9","606.2","416.9","5.7","3.8","6.7","covered_by","E06000052"
"Graham Evans","51","Weaver Vale","Conservative","1594","2997","2639","http://sexymp.co.uk/mp/191.jpg","E14001024","65769","Weaver Vale","England","227600","110950","116650","2132","1024.5","1107.5","11.5","9.5","24","9.2","579","676.5999999999999","503.25","4.15","3.0999999999999996","9.15","overlapped_by (calculated average)","E06000006,E06000050"
"Jake Berry","52","Rossendale and Darwen","Conservative","1377","3764","2351","http://sexymp.co.uk/mp/47.jpg","E14000902","66019","Rossendale and Darwen","England","462466.6666666667","227466.66666666666","234933.33333333334","4510.666666666667","2194.6666666666665","2316","30","19.333333333333332","47.333333333333336","9.3","618.4333333333333","739.9666666666667","514.0666666666667","5.066666666666666","2.3000000000000003","6.466666666666666","overlapped_by (calculated average)","E06000008,E10000017,E07000125"
"Chris Skidmore","53","Kingswood","Conservative","1379","3642","2278","http://sexymp.co.uk/mp/543.jpg","E14000774","66053","Kingswood","England","263400","130699","132700","2011","980","1031","5","4","12","7.6","456","538.5","380.3","1.6","1.3","3.8","covered_by","E06000025"
"Mark Garnier","54","Wyre Forest","Conservative","1457","3418","2468","http://sexymp.co.uk/mp/219.jpg","E14001058","66078","Wyre Forest","England","98000","48300","49700","976","482","494","3","3","9","10","519.9","617.2","435.1","2.9","2.9","8.5","covered_by","E07000239"
