sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country"
"Andrew Stephenson","43","Pendle","Conservative","1529","3020","2301","http://sexymp.co.uk/mp/560.jpg","E14000875","65668","Pendle","England"
"Simon Hart","44","Carmarthen West and South Pembrokeshire","Conservative","1466","3163","2184","http://sexymp.co.uk/mp/268.jpg","W07000066","66109","Carmarthen West and South Pembrokeshire","Wales"
"Anne Maine","45","St Albans","Conservative","1532","34704","26611","http://sexymp.co.uk/mp/386.jpg","E14000960","65715","St Albans","England"
"William Hague","46","Richmond (Yorks)","Conservative","1559","3497","2795","http://sexymp.co.uk/mp/251.jpg","E14000895","65722","Richmond (Yorks)","England"
"Brandon Lewis","47","Great Yarmouth","Conservative","1532","3077","2368","http://sexymp.co.uk/mp/362.jpg","E14000717","65627","Great Yarmouth","England"
"David Morris","48","Morecambe and Lunesdale","Conservative","1435","3397","2229","http://sexymp.co.uk/mp/435.jpg","E14000825","65633","Morecambe and Lunesdale","England"
"James Duddridge","49","Rochford and Southend East","Conservative","1546","3200","2518","http://sexymp.co.uk/mp/171.jpg","E14000899","65584","Rochford and Southend East","England"
"Alan Duncan","50","Rutland and Melton","Conservative","1553","3020","2401","http://sexymp.co.uk/mp/173.jpg","E14000909","65833","Rutland and Melton","England"
"Jonathan Reynolds","51","Stalybridge and Hyde","Labour Co-operative","1551","3341","2654","http://sexymp.co.uk/mp/503.jpg","E14000967","65960","Stalybridge and Hyde","England"
"Caroline Dinenage","52","Gosport","Conservative","1470","38319","26987","http://sexymp.co.uk/mp/154.jpg","E14000713","65928","Gosport","England"
"Stuart Andrew","53","Pudsey","Conservative","1445","3293","2239","http://sexymp.co.uk/mp/15.jpg","E14000886","65637","Pudsey","England"
"Nick Hurd","54","Ruislip, Northwood and Pinner","Conservative","1429","3490","2308","http://sexymp.co.uk/mp/310.jpg","E14000906","65681","Ruislip, Northwood and Pinner","England"
"Jeremy Browne","55","Taunton Deane","Liberal Democrat","1535","3080","2420","http://sexymp.co.uk/mp/78.jpg","E14000988","65767","Taunton Deane","England"
"Chris Kelly","56","Dudley South","Conservative","1377","3918","2362","http://sexymp.co.uk/mp/337.jpg","E14000672","66054","Dudley South","England"
"Robert Halfon","57","Harlow","Conservative","1438","3599","2432","http://sexymp.co.uk/mp/253.jpg","E14000729","65875","Harlow","England"
"Jeremy Hunt","58","South West Surrey","Conservative","1424","3679","2427","http://sexymp.co.uk/mp/306.jpg","E14000953","65678","South West Surrey","England"
"Jake Berry","59","Rossendale and Darwen","Conservative","1381","3729","2276","http://sexymp.co.uk/mp/47.jpg","E14000902","66019","Rossendale and Darwen","England"
"Mark Prisk","60","Hertford and Stortford","Conservative","1593","2974","2546","http://sexymp.co.uk/mp/488.jpg","E14000744","66003","Hertford and Stortford","England"
"Caroline Spelman","61","Meriden","Conservative","1533","34254","26936","http://sexymp.co.uk/mp/557.jpg","E14000812","65932","Meriden","England"
"Stephen Twigg","62","Liverpool, West Derby","Labour Co-operative","1573","3130","2605","http://sexymp.co.uk/mp/594.jpg","E14000796","65766","Liverpool, West Derby","England"
"Steve Brine","63","Winchester","Conservative","1395","3657","2288","http://sexymp.co.uk/mp/71.jpg","E14001041","65921","Winchester","England"
"Zac Goldsmith","64","Richmond Park","Conservative","1372","4032","2422","http://sexymp.co.uk/mp/232.jpg","E14000896","65598","Richmond Park","England"
"Anne Marie Morris","65","Newton Abbot","Conservative","1622","29746","26547","http://sexymp.co.uk/mp/434.jpg","E14000835","65828","Newton Abbot","England"
"Chris Heaton-Harris","66","Daventry","Conservative","1549","2893","2341","http://sexymp.co.uk/mp/276.jpg","E14000660","66025","Daventry","England"
"Graham Jones","67","Hyndburn","Labour","1497","3390","2536","http://sexymp.co.uk/mp/326.jpg","E14000758","65899","Hyndburn","England"
"Mel Stride","68","Central Devon","Conservative","1472","3129","2253","http://sexymp.co.uk/mp/567.jpg","E14000623","65749","Central Devon","England"
"Hugh Robertson","69","Faversham and Mid Kent","Conservative","1480","3159","2309","http://sexymp.co.uk/mp/509.jpg","E14000700","65764","Faversham and Mid Kent","England"
"Gareth Thomas","70","Harrow West","Labour Co-operative","1613","3050","2703","http://sexymp.co.uk/mp/582.jpg","E14000732","65796","Harrow West","England"
"Stephen Williams","71","Bristol West","Liberal Democrat","1512","3141","2415","http://sexymp.co.uk/mp/629.jpg","E14000602","65574","Bristol West","England"
"Simon Danczuk","72","Rochdale","Labour","1591","3044","2626","http://sexymp.co.uk/mp/141.jpg","E14000897","65843","Rochdale","England"
"Mike Freer","73","Finchley and Golders Green","Conservative","1554","2948","2416","http://sexymp.co.uk/mp/212.jpg","E14000703","65938","Finchley and Golders Green","England"
"Ben Walker","74","Wyre and Preston North","Conservative","1509","3101","2380","http://sexymp.co.uk/mp/606.jpg","E14001057","65695","Wyre and Preston North","England"
"Nicky Morgan","75","Loughborough","Conservative","1516","34650","26913","http://sexymp.co.uk/mp/432.jpg","E14000797","65785","Loughborough","England"
"Alec Shelbrooke","76","Elmet and Rothwell","Conservative","1408","3472","2262","http://sexymp.co.uk/mp/535.jpg","E14000689","65677","Elmet and Rothwell","England"
"John Glen","77","Salisbury","Conservative","1463","3184","2285","http://sexymp.co.uk/mp/228.jpg","E14000912","65889","Salisbury","England"
"Crispin Blunt","78","Reigate","Conservative","1517","3130","2449","http://sexymp.co.uk/mp/59.jpg","E14000893","66005","Reigate","England"
"Kevin Brennan","79","Cardiff West","Labour","1567","3154","2657","http://sexymp.co.uk/mp/69.jpg","W07000079","66114","Cardiff West","Wales"
