sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Dominic Raab","26","Esher and Walton","Conservative","1437","3666","2294","http://sexymp.co.uk/mp/492.jpg","E14000697","66062","Esher and Walton","England","81.6","21","84.5","61","19.8","37","22.2","48","covered_by","E07000207"
"Nigel Evans","27","Ribble Valley","Conservative","1574","3073","2411","http://sexymp.co.uk/mp/193.jpg","E14000894","65579","Ribble Valley","England","80.1","126","82.8","216","19.2","115","21.1","187","overlapped_by (calculated average)","E07000126"
"Daniel Kawczynski","28","Shrewsbury and Atcham","Conservative","1444","3743","2393","http://sexymp.co.uk/mp/334.jpg","E14000926","65563","Shrewsbury and Atcham","England","79.8","151","83.8","117","19","135","21.6","127","covered_by","E06000051"
"Aiden Burley","29","Cannock Chase","Conservative","1432","3482","2192","http://sexymp.co.uk/mp/85.jpg","E14000618","65790","Cannock Chase","England","78.7","230","82.9","209","18","245","21","214","covered_by","E07000192"
"Rehman Chishti","30","Gillingham and Rainham","Conservative","1464","3307","2208","http://sexymp.co.uk/mp/108.jpg","E14000711","65864","Gillingham and Rainham","England","78.5","243","82.2","268","17.7","291","20.4","277","covered_by","E06000035"
"David Davies","31","Monmouth","Conservative","1550","3114","2382","http://sexymp.co.uk/mp/146.jpg","W07000054","66084","Monmouth","Wales","78.85","216","83","193","18.299999999999997","210.5","21.049999999999997","189.5","overlapped_by (calculated average)","W06000020,W06000021"
"Duncan Hames","32","Chippenham","Liberal Democrat","1506","3577","2578","http://sexymp.co.uk/mp/254.jpg","E14000635","65940","Chippenham","England","80.4","101","83.9","108","19.3","98","21.8","104","covered_by","E06000054"
"Harriet Baldwin","33","West Worcestershire","Conservative","1526","35055","26179","http://sexymp.co.uk/mp/26.jpg","E14001035","65758","West Worcestershire","England","80.7","75","84.6","43","19.9","31","22.4","34","overlapped_by (calculated average)","E07000238"
"Mark Field","34","Cities of London and Westminster","Conservative","1460","3497","2351","http://sexymp.co.uk/mp/201.jpg","E14000639","65759","Cities of London and Westminster","England","81.1","45","85.1","23","20.6","7","23","13","overlapped_by (calculated average)","E09000033"
"Helen Grant","35","Maidstone and The Weald","Conservative","1601","32374","27011","http://sexymp.co.uk/mp/237.jpg","E14000804","65936","Maidstone and The Weald","England","80.65","86.5","84.25","89","19.200000000000003","115","21.8","110.5","overlapped_by (calculated average)","E07000110,E07000116"
"Chris Skidmore","36","Kingswood","Conservative","1406","3609","2207","http://sexymp.co.uk/mp/543.jpg","E14000774","66053","Kingswood","England","81","52","84.6","48","19.6","60","21.8","93","covered_by","E06000025"
"Chris Leslie","37","Nottingham East","Labour Co-operative","1591","3286","2719","http://sexymp.co.uk/mp/360.jpg","E14000865","65559","Nottingham East","England","76.9","328","81.5","307","16.8","340","20.5","266","covered_by","E06000018"
"Margot James","38","Stourbridge","Conservative","1646","30296","27025","http://sexymp.co.uk/mp/314.jpg","E14000976","65609","Stourbridge","England","78.9","222","83","195","18.4","215","21.2","180","covered_by","E08000027"
"Nick Boles","39","Grantham and Stamford","Conservative","1494","3292","2364","http://sexymp.co.uk/mp/60.jpg","E14000714","65683","Grantham and Stamford","England","80.1","125","84","100","18.7","179","21.5","144","covered_by","E07000141"
"James Wharton","40","Stockton South","Conservative","1436","3403","2216","http://sexymp.co.uk/mp/616.jpg","E14000971","65908","Stockton South","England","78.3","254","82.3","254","17.8","278","20.7","251","covered_by","E06000004"
"Julian Sturdy","41","York Outer","Conservative","1487","3221","2293","http://sexymp.co.uk/mp/572.jpg","E14001062","66037","York Outer","England","79.6","172","83.2","181","18.5","201","21.3","159","covered_by","E06000014"
"Charlie Elphicke","42","Dover","Conservative","1442","3366","2227","http://sexymp.co.uk/mp/186.jpg","E14000670","65555","Dover","England","79.2","198","82.3","260","18.8","164","20.7","250","covered_by","E07000108"
"Andrew Stephenson","43","Pendle","Conservative","1529","3020","2301","http://sexymp.co.uk/mp/560.jpg","E14000875","65668","Pendle","England","77.9","282","81.7","301","18.4","208","20.6","259","covered_by","E07000122"
"Simon Hart","44","Carmarthen West and South Pembrokeshire","Conservative","1466","3163","2184","http://sexymp.co.uk/mp/268.jpg","W07000066","66109","Carmarthen West and South Pembrokeshire","Wales","79.4","184","82.5","243","18.9","150","21","205","covered_by","W06000009"
"Anne Maine","45","St Albans","Conservative","1532","34704","26611","http://sexymp.co.uk/mp/386.jpg","E14000960","65715","St Albans","England","80.7","85","84.46666666666667","68.33333333333333","19.166666666666664","113.33333333333333","22.200000000000003","64.33333333333333","overlapped_by (calculated average)","E07000100,E07000102,E07000104"
"William Hague","46","Richmond (Yorks)","Conservative","1559","3497","2795","http://sexymp.co.uk/mp/251.jpg","E14000895","65722","Richmond (Yorks)","England","81.3","41","85.5","12","19.7","39","22.8","19","overlapped_by (calculated average)","E07000164"
"Brandon Lewis","47","Great Yarmouth","Conservative","1532","3077","2368","http://sexymp.co.uk/mp/362.jpg","E14000717","65627","Great Yarmouth","England","78","273","82.2","265","18.2","237","20.6","258","covered_by","E07000145"
"David Morris","48","Morecambe and Lunesdale","Conservative","1435","3397","2229","http://sexymp.co.uk/mp/435.jpg","E14000825","65633","Morecambe and Lunesdale","England","77.4","314","82.2","264","17.6","300","20.8","234","covered_by","E07000121"
"James Duddridge","49","Rochford and Southend East","Conservative","1546","3200","2518","http://sexymp.co.uk/mp/171.jpg","E14000899","65584","Rochford and Southend East","England","80.45","101.5","83.6","141.5","19.1","122.5","21.45","143","overlapped_by (calculated average)","E06000033,E07000075"
