sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Justin Tomlinson","114","North Swindon","Conservative","1458","3124","2284","http://sexymp.co.uk/mp/587.jpg","E14000851","65760","North Swindon","England","79.3","196","82.7","227","18.5","204","20.9","216","covered_by","E06000030"
"Graham Brady","115","Altrincham and Sale West","Conservative","1508","3094","2449","http://sexymp.co.uk/mp/65.jpg","E14000532","65892","Altrincham and Sale West","England","79.6","163","83.7","126","18.7","181","21.7","114","covered_by","E08000009"
"David Burrowes","116","Enfield, Southgate","Conservative","1453","3222","2335","http://sexymp.co.uk/mp/89.jpg","E14000692","65567","Enfield, Southgate","England","80.5","89","84","102","19.4","80","21.8","97","covered_by","E09000010"
"Nick Clegg","117","Sheffield, Hallam","Liberal Democrat","1519","3505","2822","http://sexymp.co.uk/mp/115.jpg","E14000922","65741","Sheffield, Hallam","England","78.7","231","82.4","253","18","247","20.5","263","covered_by","E08000019"
"Steve Baker","118","Wycombe","Conservative","1387","3572","2318","http://sexymp.co.uk/mp/24.jpg","E14001056","66010","Wycombe","England","81.3","37","84.2","83","19.9","26","22.1","53","covered_by","E07000007"
"David Nuttal","119","Bury North","Conservative","1515","3043","2441","http://sexymp.co.uk/mp/458.jpg","E14000611","66015","Bury North","England","78","270","81","326","17.8","280","19.6","325","covered_by","E08000002"
"Peter Bottomley","120","Worthing West","Conservative","1567","3012","2601","http://sexymp.co.uk/mp/62.jpg","E14001055","65562","Worthing West","England","79.25","193.5","83.2","174.5","18.700000000000003","174.5","21.35","152.5","overlapped_by (calculated average)","E07000224,E07000229"
"Malcom Wicks","121","Croydon North","Labour","1508","2797","2220","http://sexymp.co.uk/mp/623.jpg","E14000655","65867","Croydon North","England","79.2","197","83.2","183","18.5","203","21.2","172","covered_by","E09000008"
"Jonathan Djanogly","122","Huntingdon","Conservative","1536","2946","2443","http://sexymp.co.uk/mp/155.jpg","E14000757","65592","Huntingdon","England","80.9","60","84.4","71","19.5","69","21.7","108","covered_by","E07000011"
"Jackie Doyle-Price","123","Thurrock","Conservative","1630","28033","26335","http://sexymp.co.uk/mp/168.jpg","E14000995","65919","Thurrock","England","79.2","203","82.4","249","17.9","266","20.4","280","covered_by","E06000034"
"Matthew Hancock","124","West Suffolk","Conservative","1427","3131","2193","http://sexymp.co.uk/mp/259.jpg","E14001034","65629","West Suffolk","England","81.5","24","84.2","87","19.7","48","22","73","overlapped_by (calculated average)","E07000204"
"Damian hinds","125","East Hampshire","Conservative","1430","3160","2223","http://sexymp.co.uk/mp/287.jpg","E14000680","65569","East Hampshire","England","81.2","43","84.2","85","19.6","54","21.6","133","covered_by","E07000085"
"David Laws","126","Yeovil","Liberal Democrat","1454","3529","2586","http://sexymp.co.uk/mp/351.jpg","E14001060","65935","Yeovil","England","80.9","64","84.4","72","19.6","59","22.1","54","covered_by","E07000189"
"Christopher Pincher","127","Tamworth","Conservative","1466","3120","2333","http://sexymp.co.uk/mp/484.jpg","E14000986","65880","Tamworth","England","79.9","146","82.9","212","18.5","206","20.7","247","overlapped_by (calculated average)","E07000194"
"Mark Spencer","128","Sherwood","Conservative","1525","3098","2531","http://sexymp.co.uk/mp/558.jpg","E14000924","65632","Sherwood","England","79.13333333333333","196.33333333333334","82.5","241","17.96666666666667","250.66666666666666","20.5","259.6666666666667","overlapped_by (calculated average)","E07000170,E07000173,E07000175"
"Stephen Crabb","129","Preseli Pembrokeshire","Conservative","1486","3181","2463","http://sexymp.co.uk/mp/128.jpg","W07000065","66102","Preseli Pembrokeshire","Wales","79.4","184","82.5","243","18.9","150","21","205","covered_by","W06000009"
"John Cryer","130","Leyton and Wanstead","Labour","1662","2816","2772","http://sexymp.co.uk/mp/135.jpg","E14000790","66013","Leyton and Wanstead","England","79.75","153","83.7","127.5","18.95","146.5","21.65","123","overlapped_by (calculated average)","E09000026,E09000031"
"George Eustice","131","Camborne and Redruth","Conservative","1368","3518","2223","http://sexymp.co.uk/mp/189.jpg","E14000616","65826","Camborne and Redruth","England","79.5","179","83.5","146","19","143","21.3","160","covered_by","E06000052"
"Philip Hammond","132","Runnymede and Weybridge","Conservative","1557","2949","2527","http://sexymp.co.uk/mp/257.jpg","E14000907","65589","Runnymede and Weybridge","England","81.6","21","84.5","61","19.8","37","22.2","48","overlapped_by (calculated average)","E07000207"
"Stewart Jackson","133","Peterborough","Conservative","1714","2657","2779","http://sexymp.co.uk/mp/313.jpg","E14000878","65649","Peterborough","England","78.5","246","82.65","233","18.299999999999997","227.5","21","205.5","overlapped_by (calculated average)","E06000031,E07000010"
"David Anderson","134","Blaydon","Labour","1777","2669","2995","http://sexymp.co.uk/mp/14.jpg","E14000574","65805","Blaydon","England","78","272","81.9","281","18","253","20","295.5","overlapped_by (calculated average)","E06000048,E08000020"
"Richard Fuller","135","Bedford","Conservative","1425","3439","2417","http://sexymp.co.uk/mp/214.jpg","E14000552","65561","Bedford","England","79.3","190","83.1","184","19","134","21.5","146","covered_by","E06000055"
"Jim Murphy","136","East Renfrewshire","Labour","1576","3166","2796","http://sexymp.co.uk/mp/446.jpg","S14000021","14418","East Renfrewshire","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Sam Gyimah","137","East Surrey","Conservative","1402","3391","2297","http://sexymp.co.uk/mp/250.jpg","E14000681","65856","East Surrey","England","80.8","65","84","98","19.4","87","21.4","156","overlapped_by (calculated average)","E07000211"
"Fabian Hamilton","138","Leeds North East","Labour","1693","2813","2886","http://sexymp.co.uk/mp/256.jpg","E14000779","65866","Leeds North East","England","78","272","82.1","272","17.7","292","20.3","291","covered_by","E08000035"
"Gareth Johnson","139","Dartford","Conservative","1577","2993","2654","http://sexymp.co.uk/mp/322.jpg","E14000659","66011","Dartford","England","81.5","26","84.4","74","20","19","21.9","88","overlapped_by (calculated average)","E07000111"
"Gordon Marsden","140","Blackpool South","Labour","1531","3136","2608","http://sexymp.co.uk/mp/388.jpg","E14000573","65679","Blackpool South","England","74","346","80","344","16.5","344","19.3","335","covered_by","E06000009"
"James Morris","141","Halesowen and Rowley Regis","Conservative","1382","3581","2337","http://sexymp.co.uk/mp/437.jpg","E14000722","65971","Halesowen and Rowley Regis","England","77.85","276","82.15","256.5","17.7","273.5","20.75","236.5","overlapped_by (calculated average)","E08000027,E08000028"
"Daniel Poulter","142","Central Suffolk and North Ipswich","Conservative","1457","3136","2332","http://sexymp.co.uk/mp/485.jpg","E14000624","65748","Central Suffolk and North Ipswich","England","80.53333333333333","98","84.06666666666668","102.66666666666667","19.333333333333332","93.66666666666667","21.933333333333334","92","overlapped_by (calculated average)","E07000202,E07000203,E07000205"
"Bill Wiggin","143","North Herefordshire","Conservative","1520","3177","2596","http://sexymp.co.uk/mp/624.jpg","E14000847","65642","North Herefordshire","England","79.7","157","83.7","124","18.9","155","22","70","covered_by","E06000019"
"Nadhim Zawahi","144","Stratford-on-Avon","Conservative","1545","3032","2571","http://sexymp.co.uk/mp/649.jpg","E14000977","65648","Stratford-on-Avon","England","81","57","84.9","27","19.8","36","22.6","27","covered_by","E07000221"
"Mick Crockart","145","Edinburgh West","Liberal Democrat","1711","2751","2886","http://sexymp.co.uk/mp/132.jpg","S14000026","14423","Edinburgh West","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Ben Gummer","146","Ipswich","Conservative","1436","3414","2459","http://sexymp.co.uk/mp/248.jpg","E14000761","65925","Ipswich","England","79.3","194","83.4","169","18.6","191","21.6","134","covered_by","E07000202"
"George Hollinberry","147","Meon Valley","Conservative","1425","3307","2336","http://sexymp.co.uk/mp/292.jpg","E14000811","65772","Meon Valley","England","80.93333333333334","74.66666666666667","84.50000000000001","80.33333333333333","19.5","72","22.166666666666668","84.66666666666667","overlapped_by (calculated average)","E07000085,E07000090,E07000094"
"Stewart Hosie","148","Dundee East","Scottish National Party","1613","2952","2749","http://sexymp.co.uk/mp/299.jpg","S14000015","14412","Dundee East","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Tami Mark","149","Alyn and Deeside","Labour","1551","3055","2623","http://sexymp.co.uk/mp/579.jpg","W07000043","66103","Alyn and Deeside","Wales","79","215","82.4","251","18.4","214","20.6","256","covered_by","W06000005"
"Iain Wright","150","Hartlepool","Labour","1555","3156","2723","http://sexymp.co.uk/mp/644.jpg","E14000733","65990","Hartlepool","England","77.4","315","81.5","308","17.3","318","20","310","covered_by","E06000001"
"Mark Garnier","151","Wyre Forest","Conservative","1432","3361","2407","http://sexymp.co.uk/mp/219.jpg","E14001058","66078","Wyre Forest","England","79.2","206","83","196","18.8","172","21.1","186","covered_by","E07000239"
"Alan Johnson","152","Kingston upon Hull West and Hessle","Labour","1585","3066","2759","http://sexymp.co.uk/mp/320.jpg","E14000773","65984","Kingston upon Hull West and Hessle","England","78.1","251.5","81.7","274.5","17.75","261.5","20.1","287.5","overlapped_by (calculated average)","E06000011,E06000010"
"David Ruffley","153","Bury St Edmunds","Conservative","1360","3370","2123","http://sexymp.co.uk/mp/521.jpg","E14000613","66035","Bury St Edmunds","England","81.6","21.5","84.55000000000001","58","19.7","47","22.25","52.5","overlapped_by (calculated average)","E07000203,E07000204"
"Alistair Darling","154","Edinburgh South West","Labour","1563","3044","2665","http://sexymp.co.uk/mp/142.jpg","S14000025","14422","Edinburgh South West","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Andrew Griffiths","155","Burton","Conservative","1413","3210","2233","http://sexymp.co.uk/mp/247.jpg","E14000610","65708","Burton","England","78.5","246","82.9","211","18.3","226","21","208","covered_by","E07000193"
"Bernard Jenkin","156","Harwich and North Essex","Conservative","1430","3262","2339","http://sexymp.co.uk/mp/319.jpg","E14000734","65674","Harwich and North Essex","England","78.85","215.5","82.65","222","18.4","205","21.05","201.5","overlapped_by (calculated average)","E07000071,E07000076"
"John Leech","157","Manchester, Withington","Liberal Democrat","1539","3124","2649","http://sexymp.co.uk/mp/356.jpg","E14000809","65819","Manchester, Withington","England","74.8","345","79.5","346","15.8","346","18.8","344","covered_by","E08000003"
"Owen Smith","158","Pontypridd","Labour","1498","3141","2505","http://sexymp.co.uk/mp/552.jpg","W07000075","66087","Pontypridd","Wales","78.06666666666668","253.66666666666666","82.36666666666667","241.66666666666666","17.8","266.6666666666667","20.8","210.33333333333334","overlapped_by (calculated average)","W06000014,W06000015,W06000016"
"Robin Walker","159","Worcester","Conservative","1340","3646","2217","http://sexymp.co.uk/mp/605.jpg","E14001052","65577","Worcester","England","78.8","225","83.3","177","18.2","234","21.5","151","covered_by","E07000237"
"Robert Flello","160","Stoke-on-Trent South","Labour","1571","3015","2677","http://sexymp.co.uk/mp/203.jpg","E14000974","65770","Stoke-on-Trent South","England","76.7","332","80.5","338","17.2","327","19.8","322","covered_by","E06000021"
"Hugh Bayley","161","York Central","Labour","1620","2942","2787","http://sexymp.co.uk/mp/34.jpg","E14001061","65965","York Central","England","79.6","172","83.2","181","18.5","201","21.3","159","covered_by","E06000014"
"Rory Stewart","162","Penrith and The Border","Conservative","1488","3082","2431","http://sexymp.co.uk/mp/564.jpg","E14000877","66081","Penrith and The Border","England","78.35","253","81.95","284","18.15","240","20.3","285","overlapped_by (calculated average)","E07000026,E07000028"
"Derek Twigg","163","Halton","Labour","1552","3079","2666","http://sexymp.co.uk/mp/593.jpg","E14000725","65915","Halton","England","77.1","321","80.6","336","17","335","19.3","336","covered_by","E06000006"
"Greg Hands","164","Chelsea and Fulham","Conservative","1470","3228","2480","http://sexymp.co.uk/mp/261.jpg","E14000629","65818","Chelsea and Fulham","England","80.6","109.5","84.55","89.5","19.8","88.5","22.35","76","overlapped_by (calculated average)","E09000013,E09000020"
"Sadiq Khan","165","Tooting","Labour","1750","2912","3220","http://sexymp.co.uk/mp/340.jpg","E14000998","65554","Tooting","England","79.1","210","83.2","180","18.1","243","20.9","219","covered_by","E09000032"
"Ian Murray","166","Edinburgh South","Labour","1563","3030","2672","http://sexymp.co.uk/mp/448.jpg","S14000024","14421","Edinburgh South","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Edward Garnier","167","Harborough","Conservative","1523","2955","2470","http://sexymp.co.uk/mp/218.jpg","E14000728","65675","Harborough","England","80.3","105","84.8","31","19.4","86","22.4","35","overlapped_by (calculated average)","E07000131"
"David Lammy","168","Tottenham","Labour","1535","3201","2721","http://sexymp.co.uk/mp/346.jpg","E14001002","66074","Tottenham","England","79.4","185","83.8","120","19.2","116","21.9","79","covered_by","E09000014"
"David Ruttley","169","Macclesfield","Conservative","1478","3128","2440","http://sexymp.co.uk/mp/523.jpg","E14000802","65896","Macclesfield","England","80.4","99","83.4","167","19.2","108","21.2","182","covered_by","E06000049"
"Theresa May","170","Maidenhead","Conservative","1564","31231","27721","http://sexymp.co.uk/mp/390.jpg","E14000803","65901","Maidenhead","England","81.35","35","84.55","49.5","19.700000000000003","49.5","21.9","85","overlapped_by (calculated average)","E06000040,E06000041"
"John Stevenson","171","Carlisle","Conservative","1646","2882","2841","http://sexymp.co.uk/mp/561.jpg","E14000620","65929","Carlisle","England","78.5","244","82","281","18.4","213","20.3","286","covered_by","E07000028"
"Alun Cairns","172","Vale of Glamorgan","Conservative","1425","3095","2228","http://sexymp.co.uk/mp/96.jpg","W07000078","66098","Vale of Glamorgan","Wales","77.80000000000001","272","81.925","265","17.725","277","20.5","239.75","overlapped_by (calculated average)","W06000013,W06000014,W06000015,W06000016"
"Alan Campbell","173","Tynemouth","Labour","1648","2799","2762","http://sexymp.co.uk/mp/98.jpg","E14001006","65868","Tynemouth","England","78.1","267","82","278","17.6","306","20.5","265","covered_by","E08000022"
"Gavin Williamson","174","South Staffordshire","Conservative","1379","3206","2136","http://sexymp.co.uk/mp/631.jpg","E14000945","65943","South Staffordshire","England","80.1","130","83.2","182","18.7","184","21.2","173","covered_by","E07000196"
"Stephen Phillips","175","Sleaford and North Hykeham","Conservative","1482","3163","2504","http://sexymp.co.uk/mp/481.jpg","E14000929","65920","Sleaford and North Hykeham","England","79.5","166.66666666666666","83.03333333333333","188.66666666666666","18.46666666666667","199.33333333333334","21.099999999999998","191.66666666666666","overlapped_by (calculated average)","E07000138,E07000139,E07000141"
"John Woodcock","176","Barrow and Furness","Labour Co-operative","1529","3139","2664","http://sexymp.co.uk/mp/641.jpg","E14000543","66006","Barrow and Furness","England","80.9","63","83.4","156","19.6","53","21.5","148","overlapped_by (calculated average)","E07000031"
"Conor Burns","177","Bournemouth West","Conservative","1654","2788","2787","http://sexymp.co.uk/mp/87.jpg","E14000585","65933","Bournemouth West","England","79.4","177","83.6","141","19","136.5","21.4","153","overlapped_by (calculated average)","E06000028,E06000029"
"Barry Gardiner","178","Brent North","Labour","1596","3006","2805","http://sexymp.co.uk/mp/217.jpg","E14000592","65595","Brent North","England","79.9","145","84.5","59","19.2","105","22.4","36","covered_by","E09000005"
"Charles Kennedy","179","Ross, Skye and Lochaber","Liberal Democrat","1550","2994","2633","http://sexymp.co.uk/mp/339.jpg","S14000055","14452","Ross, Skye and Lochaber","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Tom Greatrix","180","Rutherglen and Hamilton West","Labour Co-operative","1515","3315","2779","http://sexymp.co.uk/mp/240.jpg","S14000056","14453","Rutherglen and Hamilton West","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Craig Whittacker","181","Calder Valley","Conservative","1429","3074","2257","http://sexymp.co.uk/mp/621.jpg","E14000614","65906","Calder Valley","England","77.5","308","82.2","267","17.5","311","20.7","253","covered_by","E08000033"
"Thomas Docherty","182","Dunfermline and West Fife","Labour","1613","2832","2720","http://sexymp.co.uk/mp/158.jpg","S14000017","14414","Dunfermline and West Fife","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Adam Holloway","183","Gravesham","Conservative","1395","3194","2218","http://sexymp.co.uk/mp/294.jpg","E14000715","65944","Gravesham","England","79.6","174","83.4","160","18.8","160","21.1","197","covered_by","E07000109"
"Marcus Jones","184","Nuneaton","Conservative","1640","2713","2690","http://sexymp.co.uk/mp/329.jpg","E14000868","65663","Nuneaton","England","78.45","249","82.44999999999999","247.5","17.75","288","20.4","279","overlapped_by (calculated average)","E07000218,E07000219"
"Jessica Lee","185","Erewash","Conservative","1559","30369","27155","http://sexymp.co.uk/mp/354.jpg","E14000695","65743","Erewash","England","79.8","153","83.6","131","18.3","221","21.7","115","covered_by","E07000036"
"Jesse Norman","186","Hereford and South Herefordshire","Conservative","1424","3578","2611","http://sexymp.co.uk/mp/457.jpg","E14000743","65582","Hereford and South Herefordshire","England","79.7","157","83.7","124","18.9","155","22","70","covered_by","E06000019"
"George Osborne","187","Tatton","Conservative","1456","3641","2802","http://sexymp.co.uk/mp/465.jpg","E14000987","65964","Tatton","England","79.80000000000001","149.5","83.1","191","18.9","153","21","211","overlapped_by (calculated average)","E06000049,E06000050"
"Paul Farrelly","188","Newcastle-under-Lyme","Labour","1584","3035","2811","http://sexymp.co.uk/mp/197.jpg","E14000834","65861","Newcastle-under-Lyme","England","78.9","221","82.3","256","18.4","211","20.5","270","covered_by","E07000195"
"Matthew Offord","189","Hendon","Conservative","1363","3801","2498","http://sexymp.co.uk/mp/461.jpg","E14000741","65754","Hendon","England","81.4","32","84.5","53","19.9","22","22.3","44","covered_by","E09000003"
"Edward Davey","190","Kingston and Surbiton","Liberal Democrat","1620","2773","2701","http://sexymp.co.uk/mp/143.jpg","E14000770","65778","Kingston and Surbiton","England","81.7","23","85.15","22","20","32.5","22.4","40","overlapped_by (calculated average)","E09000021,E07000208"
"Michael Dugher","191","Barnsley East","Labour","1452","3307","2544","http://sexymp.co.uk/mp/172.jpg","E14000542","66012","Barnsley East","England","77.8","288","81.5","311","17.6","298","19.9","317","covered_by","E08000016"
"Philip Dunne","192","Ludlow","Conservative","1514","2992","2527","http://sexymp.co.uk/mp/175.jpg","E14000799","65690","Ludlow","England","79.8","151","83.8","117","19","135","21.6","127","covered_by","E06000051"
"Michael Fallon","193","Sevenoaks","Conservative","1523","2898","2481","http://sexymp.co.uk/mp/196.jpg","E14000918","65698","Sevenoaks","England","81.5","26","84.4","74","20","19","21.9","88","covered_by","E07000111"
"Mark Simmonds","194","Boston and Skegness","Conservative","1408","3175","2269","http://sexymp.co.uk/mp/539.jpg","E14000582","65969","Boston and Skegness","England","77.8","290","81.8","292","18","259","20.6","254","overlapped_by (calculated average)","E07000137"
"Stephen Dorrell","195","Charnwood","Conservative","1477","2981","2388","http://sexymp.co.uk/mp/164.jpg","E14000625","65615","Charnwood","England","80.16666666666667","117.66666666666667","84.23333333333333","80.66666666666667","18.933333333333334","146","21.933333333333334","82","overlapped_by (calculated average)","E07000129,E07000130,E07000132"
"Gavin Shuker","196","Luton South","Labour Co-operative","1547","3051","2705","http://sexymp.co.uk/mp/538.jpg","E14000801","66080","Luton South","England","79.25","186","83.05","188","18.6","181","21.05","198","overlapped_by (calculated average)","E06000056,E06000032"
"Julian Smith","197","Skipton and Ripon","Conservative","1426","3148","2326","http://sexymp.co.uk/mp/550.jpg","E14000928","65986","Skipton and Ripon","England","80.6","85","83.8","121","19.3","101","21.8","105","overlapped_by (calculated average)","E07000165"
"Sarah Teather","198","Brent Central","Liberal Democrat","1386","48648","33555","http://sexymp.co.uk/mp/581.jpg","E14000591","66065","Brent Central","England","79.9","145","84.5","59","19.2","105","22.4","36","covered_by","E09000005"
"Jeremy Corbyn","199","Islington North","Labour","1605","2962","2845","http://sexymp.co.uk/mp/126.jpg","E14000763","65937","Islington North","England","77.8","289","83.2","179","17.7","290","21.2","171","covered_by","E09000019"
"Richard Graham","200","Gloucester","Conservative","1439","3316","2507","http://sexymp.co.uk/mp/236.jpg","E14000712","65996","Gloucester","England","78","274","83.4","155","18","254","21.5","141","covered_by","E07000081"
"Khalid Mahmood","201","Birmingham, Perry Barr","Labour","1549","2952","2628","http://sexymp.co.uk/mp/384.jpg","E14000566","66028","Birmingham, Perry Barr","England","77.6","303","82.1","276","17.8","275","20.6","255","covered_by","E08000025"
"Clive Betts","202","Sheffield South East","Labour","1539","3102","2729","http://sexymp.co.uk/mp/48.jpg","E14000920","65793","Sheffield South East","England","78.7","231","82.4","253","18","247","20.5","263","covered_by","E08000019"
"Elizabeth Truss","203","South West Norfolk","Conservative","1417","39673","28958","http://sexymp.co.uk/mp/590.jpg","E14000952","65652","South West Norfolk","England","79.85","148.5","83.65","140.5","19.05","129.5","21.450000000000003","146","overlapped_by (calculated average)","E07000143,E07000146"
"Frank Doran","204","Aberdeen North","Labour","1546","3104","2760","http://sexymp.co.uk/mp/163.jpg","S14000001","14398","Aberdeen North","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Mark Lancaster","205","Milton Keynes North","Conservative","1373","3286","2228","http://sexymp.co.uk/mp/347.jpg","E14000821","65953","Milton Keynes North","England","78.7","229","82.5","244","17.9","263","20.6","261","covered_by","E06000042"
"Jeremy Lefroy","206","Stafford","Conservative","1480","2951","2391","http://sexymp.co.uk/mp/357.jpg","E14000965","66067","Stafford","England","80.19999999999999","117","83.4","157.5","19.15","117.5","21.35","156.5","overlapped_by (calculated average)","E07000196,E07000197"
"John Mann","207","Bassetlaw","Labour","1502","3057","2559","http://sexymp.co.uk/mp/387.jpg","E14000546","65711","Bassetlaw","England","78.6","240","82.1","269","18","262","20.4","278","covered_by","E07000171"
"Andrew Rosindell","208","Romford","Conservative","1488","3001","2456","http://sexymp.co.uk/mp/514.jpg","E14000900","66077","Romford","England","79.3","191","83.8","118","18.6","197","21.8","92","covered_by","E09000016"
"Karl Turner","209","Kingston upon Hull East","Labour","1477","3465","2790","http://sexymp.co.uk/mp/592.jpg","E14000771","65709","Kingston upon Hull East","England","76.6","335","80.5","339","16.8","337","19.4","331","covered_by","E06000010"
"Nick de Bois","210","Enfield North","Conservative","1571","2735","2523","http://sexymp.co.uk/mp/151.jpg","E14000691","66050","Enfield North","England","80.5","89","84","102","19.4","80","21.8","97","covered_by","E09000010"
"Liam Fox","211","North Somerset","Conservative","1452","3293","2556","http://sexymp.co.uk/mp/208.jpg","E14000850","65817","North Somerset","England","79.6","173","83.5","147","19.1","129","21.6","131","covered_by","E06000024"
"Mark Francois","212","Rayleigh and Wickford","Conservative","1438","3034","2303","http://sexymp.co.uk/mp/210.jpg","E14000888","65795","Rayleigh and Wickford","England","80.35","109","83.75","129","19.200000000000003","113.5","21.45","145.5","overlapped_by (calculated average)","E07000066,E07000075"
"Andrew Jones","213","Harrogate and Knaresborough","Conservative","1398","3117","2214","http://sexymp.co.uk/mp/324..jpg","E14000730","65578","Harrogate and Knaresborough","England","80.6","85","83.8","121","19.3","101","21.8","105","covered_by","E07000165"
"Michael Moore","214","Berwickshire, Roxburgh and Selkirk","Liberal Democrat","1481","3226","2621","http://sexymp.co.uk/mp/429.jpg","S14000008","14405","Berwickshire, Roxburgh and Selkirk","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Andrew Smith","215","Oxford East","Labour","1597","2859","2730","http://sexymp.co.uk/mp/546.jpg","E14000873","66060","Oxford East","England","78.9","220","83.1","186","18.7","183","21.8","101","covered_by","E07000178"
"Douglas Alexander","216","Paisley and Renfrewshire South","Labour","1416","3980","2921","http://sexymp.co.uk/mp/9.jpg","S14000053","14450","Paisley and Renfrewshire South","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"David Jones","217","Clwyd West","Conservative","1521","3044","2637","http://sexymp.co.uk/mp/325.jpg","W07000059","66100","Clwyd West","Wales","78.65","233.5","81.9","280","18.5","199","20.65","237.5","overlapped_by (calculated average)","W06000003,W06000004"
"Desmond Swayne","218","New Forest West","Conservative","1489","3034","2514","http://sexymp.co.uk/mp/575.jpg","E14000828","65815","New Forest West","England","81.9","15","85.2","20","20.3","11","22.8","16","covered_by","E07000091"
"David Lidington","219","Aylesbury","Conservative","1508","2909","2487","http://sexymp.co.uk/mp/366.jpg","E14000538","65739","Aylesbury","England","80.6","93","84.05000000000001","96","19.299999999999997","101.5","21.9","85","overlapped_by (calculated average)","E07000004,E07000007"
"Michael McCann","220","East Kilbride, Strathaven and Lesmahagow","Labour","1529","3028","2669","http://sexymp.co.uk/mp/393.jpg","S14000019","14416","East Kilbride, Strathaven and Lesmahagow","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Toby Perkins","221","Chesterfield","Labour","1492","3106","2593","http://sexymp.co.uk/mp/479.jpg","E14000632","65980","Chesterfield","England","77.7","293","82.3","261","17.6","293","20.6","260","covered_by","E07000034"
"Andrew George","222","St Ives","Liberal Democrat","1516","2930","2542","http://sexymp.co.uk/mp/221.jpg","E14000964","65854","St Ives","England","79.5","179","83.5","146","19","143","21.3","160","covered_by","E06000052"
"Charles Walker","223","Broxbourne","Conservative","1380","3588","2509","http://sexymp.co.uk/mp/604.jpg","E14000606","65639","Broxbourne","England","80.1","129","83.6","134","18.9","152","21.7","119","overlapped_by (calculated average)","E07000104"
"Stephen Barclay","224","North East Cambridgeshire","Conservative","1318","3477","2173","http://sexymp.co.uk/mp/29.jpg","E14000842","66063","North East Cambridgeshire","England","79.5","172.33333333333334","83.53333333333335","160.66666666666666","18.833333333333332","160","21.600000000000005","143","overlapped_by (calculated average)","E06000031,E07000009,E07000010"
"Chris Huhne","225","Eastleigh","Liberal Democrat","1520","3021","2639","http://sexymp.co.uk/mp/305.jpg","E14000685","65881","Eastleigh","England","81.6","22","84.9","30","19.7","41","22.3","41","covered_by","E07000086"
"Oliver Heald","226","North East Hertfordshire","Conservative","1453","3003","2386","http://sexymp.co.uk/mp/273.jpg","E14000845","65840","North East Hertfordshire","England","80.15","122.75","83.27499999999999","172.75","18.725","166.5","21.175","181.75","overlapped_by (calculated average)","E07000097,E07000099,E07000101,E07000104"
"Phillip Lee","227","Bracknell","Conservative","1387","3232","2299","http://sexymp.co.uk/mp/355.jpg","E14000586","65697","Bracknell","England","81.19999999999999","45.5","84.25","78","19.65","53.5","21.700000000000003","110","overlapped_by (calculated average)","E06000036,E06000041"
"Peter Lilley","228","Hitchin and Harpenden","Conservative","1489","3066","2569","http://sexymp.co.uk/mp/367.jpg","E14000749","65724","Hitchin and Harpenden","England","80.80000000000001","78.5","84.05","119.5","19.1","121","21.65","143","overlapped_by (calculated average)","E07000099,E07000100"
"John McDonnell","229","Hayes and Harlington","Labour","1524","3168","2792","http://sexymp.co.uk/mp/401.jpg","E14000737","65912","Hayes and Harlington","England","79.9","142","83.5","149","18.8","161","21.5","145","covered_by","E09000017"
"Greg Mulholland","230","Leeds North West","Liberal Democrat","1579","2764","2625","http://sexymp.co.uk/mp/441.jpg","E14000780","66068","Leeds North West","England","78","272","82.1","272","17.7","292","20.3","291","covered_by","E08000035"
"Frank Field","231","Birkenhead","Labour","1505","2916","2506","http://sexymp.co.uk/mp/200.jpg","E14000559","65581","Birkenhead","England","77.9","279","81.9","288","18","253","20.3","296","covered_by","E08000015"
"Roger Gale","232","North Thanet","Conservative","1636","2724","2789","http://sexymp.co.uk/mp/215.jpg","E14000852","65605","North Thanet","England","78.9","210","82.95","204.5","18.35","212","21.05","202.5","overlapped_by (calculated average)","E07000106,E07000114"
"Mark Reckless","233","Rochester and Strood","Conservative","1522","2923","2582","http://sexymp.co.uk/mp/495.jpg","E14000898","66043","Rochester and Strood","England","78.5","243","82.2","268","17.7","291","20.4","277","covered_by","E06000035"
