sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country"
"Eleanor Laing","44","Epping Forest","Conservative","1493","36956","27729","http://sexymp.co.uk/mp/344.jpg","E14000693","66044","Epping Forest","England"
"Rob Wilson","45","Reading East","Conservative","1459","3344","2375","http://sexymp.co.uk/mp/634.jpg","E14000889","65973","Reading East","England"
"Christopher Pincher","46","Tamworth","Conservative","1494","3174","2393","http://sexymp.co.uk/mp/484.jpg","E14000986","65880","Tamworth","England"
"Andrew Gwynne","47","Denton and Reddish","Labour","1607","3094","2755","http://sexymp.co.uk/mp/249.jpg","E14000661","65924","Denton and Reddish","England"
"Smith Henry","48","Crawley","Conservative","1409","3666","2409","http://sexymp.co.uk/mp/549.jpg","E14000652","65781","Crawley","England"
"Rehman Chishti","49","Gillingham and Rainham","Conservative","1422","3344","2266","http://sexymp.co.uk/mp/108.jpg","E14000711","65864","Gillingham and Rainham","England"
"George Eustice","50","Camborne and Redruth","Conservative","1391","3562","2282","http://sexymp.co.uk/mp/189.jpg","E14000616","65826","Camborne and Redruth","England"
"Graham Evans","51","Weaver Vale","Conservative","1594","2997","2639","http://sexymp.co.uk/mp/191.jpg","E14001024","65769","Weaver Vale","England"
"Jake Berry","52","Rossendale and Darwen","Conservative","1377","3764","2351","http://sexymp.co.uk/mp/47.jpg","E14000902","66019","Rossendale and Darwen","England"
"Chris Skidmore","53","Kingswood","Conservative","1379","3642","2278","http://sexymp.co.uk/mp/543.jpg","E14000774","66053","Kingswood","England"
"Mark Garnier","54","Wyre Forest","Conservative","1457","3418","2468","http://sexymp.co.uk/mp/219.jpg","E14001058","66078","Wyre Forest","England"
"David Laws","55","Yeovil","Liberal Democrat","1473","3567","2640","http://sexymp.co.uk/mp/351.jpg","E14001060","65935","Yeovil","England"
"James Wharton","56","Stockton South","Conservative","1405","3439","2271","http://sexymp.co.uk/mp/616.jpg","E14000971","65908","Stockton South","England"
"Tracey Crouch","57","Chatham and Aylesford","Conservative","1576","34067","29456","http://sexymp.co.uk/mp/133.jpg","E14000626","66075","Chatham and Aylesford","England"
"Jon Ashworth","58","Leicester South","Labour","1565","3040","2599","http://sexymp.co.uk/mp/17.jpg","E14000783","65604","Leicester South","England"
"Daniel Kawczynski","59","Shrewsbury and Atcham","Conservative","1395","3785","2473","http://sexymp.co.uk/mp/334.jpg","E14000926","65563","Shrewsbury and Atcham","England"
